非晶态装甲云	Nimboarmadura amorfa
拦截机机库	Interceptor - Hangar
无敌护盾	Escudo de invulnerabilidad
虚空辉光舰机库	Hangar de Mantarraya del Vacío
折跃离开	Exotransposicionar
单兵防御矩阵	Matriz defensiva personal
诺娃飞船发射所有武器	Nova - Nave - Disparar todas las armas
声呐提示	Ping sonar
瞄准EMP	PEM objetivo
目标敌人	Enemigo objetivo
地铁运输	Subterráneo - Transporte
切换被暴露	Activar exposición
死亡射线	Láser mortal
武藏射线	Rayo musashi
聚变发射器	Lanzador nuclear
NovaXanthosRocketBarrage	NovaXanthosRocketBarrage
天启	Revelación
异虫DNA	ADN zerg
放置生物机械修理无人机	Colocar dron de reparación biomecánico
放置灵能发射器	Colocar Emisor psiónico
收割者队列3	Yum-Kimil - Cola3
收割者蜘蛛雷重新定向	Yum-Kimil - Minas araña - Redirigir
RotatingTurretActiveMorphIssueOrderCP	RotatingTurretActiveMorphIssueOrderCP
RotatingTurretActiveParent	RotatingTurretActiveParent
RotatingTurretActiveSCCW	RotatingTurretActiveSCCW
RotatingTurretActiveSCW	RotatingTurretActiveSCW
RotatingTurretPassiveParent	RotatingTurretPassiveParent
RotatingTurretPassiveSCCW	RotatingTurretPassiveSCCW
RotatingTurretPassiveSCW	RotatingTurretPassiveSCW
备用感应无人机发射物	Dron sensor alternativo - Misil
侦测无人机隐形	Dron sensor - Camuflaje
侦测无人机隐形场	Dron sensor - Campo de camuflaje
侦测无人机锁定	Dron sensor - Fijar objetivo
侦测无人机锁定取消	Dron sensor - Fijar objetivo - Cancelar
大和排炮	Cañón Yamato lateral
喷气背包重新部署	Propulsor - Redesplegar
激光束	Rayo láser
飞弹弹幕	Andanada de misiles
电力开关	Interruptor de energía
超级强化剂重新定向基地	Superestimpack - Redirigir - Base
强化剂注射	Infusión de Estimpack
埋设地雷	Colocar Mina
复活完成	Revivir completo.
离子力场	Campo de fuerza iónico
禁用技能复制	Deshabilitar habilidades - Copia
巨型EMP反隐形	PEM gigante - Descamuflar
Map Wide Sonar - Search Behavior	Sonar global - Comportamiento de búsqueda
抑制隐形	Suprimir camuflaje
不可阻挡	Imparable
现形	Revelado
开图器	Revelador
Revealer Warm Up	Revelador - Preparación
害怕	Asustado
Suppress Attack (1s)	Suprimir ataque (1s)
蜂群手雷	Granada del Enjambre
Vulture Laid Mine	Buitre - Mina plantada
诺娃刚被一枚EMP弹击中不久，短时间内无法再隐形。	Nova recibió un impacto de munición PEM y no podrá camuflarse durante un breve período.
该单位正在吸收对其造成的部分伤害。	Esta unidad está absorbiendo una parte del daño que le infligen.
该单位不会攻击敌方单位，除非被命令这么做。	Esta unidad no atacará a unidades enemigas a menos que se le dé esa orden.
诺娃刚被一枚巨型EMP弹击中不久，耗尽了她的所有能量。	Una munición PEM gigante impactó a Nova y la dejó sin energía.
斯通刚刚被一枚EMP弹击中，他在短时间内无法隐形。	Stone recibió el impacto de una munición PEM y no podrá camuflarse durante un período breve.
对攻击和技能免疫	Invulnerable a los ataques y las habilidades
斯通正在吸收对其造成的伤害，他对精神控制效果免疫。	Stone está absorbiendo el daño que le infligen y es inmune a los efectos de control mental.
该单位暂时无法隐形。	Esta unidad no podrá camuflarse temporariamente.
该单位对减速、昏迷以及精神控制免疫。	Esta unidad es inmune a los efectos de inmovilización, aturdimiento y control mental.
诺娃正在吸收对其造成的部分伤害。	Nova está absorbiendo una parte del daño que le infligen.
该单位正在持续恢复生命。	Esta unidad regenera vida con el transcurso del tiempo.
该单位正在恐惧中瑟瑟发抖。	Esta unidad está temblando de miedo.
该单位在超级强化剂效果下，移动和攻击速度更快了。	Esta unidad se mueve y ataca más rápido mientras está bajo los efectos de un Superestimpack.
斯通的攻击和移动速度大幅提高。斯通正在持续治疗生命值。	Aumenta notablemente la velocidad de ataque y movimiento de Stone. Stone recupera vida con el tiempo.
该单位受到减速效果，并且无法攻击或使用消耗能量的技能。	Esta unidad está ralentizada y no puede atacar ni usar habilidades que consumen energía.
冲击波导弹巢	Batería de misiles de onda expansiva
部署磁轨炮塔	Desplegar torreta de cañón de riel
建筑塌陷	Edificación - Derrumbe
建筑探险撤销	Edificación - Derrumbe - Deshacer
将圣坛变为枯竭	Cambiar sagrario - Agotado
将圣坛变为流动状	Cambiar sagrario a "Cargado"
出生旧版后虫	Crear Reina clásica
EMP冲击	Explosión PEM
侦测器锥形范围开启	Cono detector activado
侦测器锥形范围关闭	Cono detector desactivado
人类保卫者实验室大门 窄 默认关闭	DdH - Puerta de laboratorio - Estrecha - Predeterminado - Cerrar
人类保卫者实验室大门 窄 默认打开	DdH - Puerta de laboratorio - Estrecha - Predeterminado - Abrir
人类保卫者实验室大门 宽 默认关闭	DdH - Puerta de laboratorio - Ancha - Predeterminado - Cerrar
人类保卫者实验室大门 宽 默认打开	DdH - Puerta de laboratorio - Ancha - Predeterminado - Abrir
[PH] Efficiency Module	Módulo de eficiencia
[PH] Fast Build	Construcción rápida
优化后勤	Logística optimizada
建造悬浮恶蝠	Construir Murciélago infernal aéreo
悬浮恶蝠	Murciélago infernal aéreo
悬浮恶火模式	Demonio aéreo - Modo
建造悬浮恶火坦克	Construir Tanque de Demonio aéreo
悬浮坦克模式	Modo tanque flotante
战术跳跃前往	Hipersalto de entrada
战术跳跃离开	Hipersalto de salida
孵化易爆感染体	Engendrar Infestado volátil
内置科技模块	Módulo tecnológico interno
进入地铁	Entrar al subterráneo
多任务MAF伺服器	Servos MAF multitarea
切换探测模式与目视模式	Activar modo visión y detección
目视模式	Modo Visión
探测模式	Modo Detección
取消绊索	Cancelar trampa láser
摧毁无人机	Destruir dron
解除无敌护盾	Desactivar Escudo de invulnerabilidad
激活无敌护盾	Activar Escudo de invulnerabilidad
目标EMP	PEM objetivo
暴露模式	Modo Exposición
隐匿模式	Modo Cobertura
NovaXanthosLaserFire	NovaXanthosLaserFire
关闭维修模式	Modo reparación desactivado
开启维修模式	Modo reparación activado
关闭行驶模式	Modo viaje desactivado
开启行驶模式	Modo viaje activado
电力关闭	Apagar
电力开启	Encender
研究快速部署	Investigar Despliegue rápido
重设炮塔	Restablecer Torreta
训练士兵	Entrenar Soldado
装填蜘蛛雷	Reabastecer Minas araña
孵化畸变体	Engendrar Aberración
孵化被感染的医疗兵	Engendrar Médica infestada
孵化被感染的人类	Engendrar Terran infestado
孵化感染者	Engendrar Infestador
转动炮塔	Girar torreta
离开地铁	Salir del subterráneo
女妖发射多枚飞弹进行直线轰炸。	Los ataques de las Banshees lanzan varias ráfagas de misiles en línea recta.
恶蝠与恶火对轻甲单位造成的伤害提高10点。	Los Murciélagos infernales y los Demonios infligen +10 de daño contra unidades ligeras.
收割者的攻击对建筑造成大量伤害。	Los ataques de los Yum-Kimiles infligen mucho daño contra las estructuras.
战列巡航舰可以同时攻击最多4个目标。	Los Cruceros de batalla pueden atacar hasta cuatro objetivos al mismo tiempo.
使对空武器的射程提高3，地面武器的射程提高1。	Aumenta el alcance de las armas antiaéreas en 3 y el de las armas terrestres en 1.
战术打击飞行器。可以使用隐形技能。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Nave de asalto táctico. Puede usar la habilidad Camuflar.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres.</c>
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡	Complejo de producción de infantería.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Marines<n/>- Yum-Kimiles<n/>- Construcción de Búnkeres con VCE
治疗一名友方生物或机械目标。<n/><n/><c val="f078ff">每秒治疗<d ref="Effect,HealingDroneHeal,RechargeVitalRate[0]"/>点生命值。</c>	Sana una unidad biológica o mecánica aliada.<n/><n/><c val="f078ff">Sana <d ref="Effect,HealingDroneHeal,RechargeVitalRate[0]"/> de vida por segundo.</c>
步兵研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 劫掠者	Estructura de investigación de infantería. Cualquier estructura de producción puede albergar un Tecnolab.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Merodeadores
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 攻城坦克	Estructura de investigación vehicular. Cualquier estructura de producción puede albergar un Tecnolab.<n/><n/><c val="ffff8a">Habilita:</c><n/>- Tanques de Asedio
塔达林圣坛已经枯竭。	Este altar tal'darim está agotado.
蒙大拿F200。它不只是货运卡车，它是蒙大拿F200。	El Montana F200. No es un simple camión de carga. Es un Montana F200.
塔达林阵营<n/>终极星灵舰船。装备有无敌护盾、航母拦截机，并且可以使用热能射线枪。<n/><n/><c val="ffff8a">可以对空和对地。</c>	Facción tal'darim<n/>Máximo navío protoss. Está armado con un Escudo de invulnerabilidad e Interceptores de Portanaves, y puede usar la habilidad Lanza térmica.<n/><n/><c val="ffff8a">Ataca a unidades terrestres y aéreas.</c>
使该单位隐形，防止敌方发现或攻击该单位。隐形后的单位只会被侦测单位或侦测效果发现。<n/><n/><c val="f078ff">每秒消耗<d ref="-1 * (Behavior,ReaperCloak,Modification.VitalRegenArray[2] + Unit,Reaper,EnergyRegenRate)" precision="1"/>点能量。</c>	Camufla a la unidad y evita que las unidades enemigas puedan verla o atacarla. Una unidad camuflada solo puede ser descubierta por detectores o efectos.<n/><n/><c val="f078ff">Drena <d ref="-1 * (Behavior,ReaperCloak,Modification.VitalRegenArray[2] + Unit,Reaper,EnergyRegenRate)" precision="1"/> de energía por segundo.</c>
使该单位隐形，防止敌方发现或攻击该单位。隐形后的单位只会被侦测单位或侦测效果发现。<n/><n/><c val="f078ff">每秒消耗<d ref="-1 * (Behavior,LiberatorCloak,Modification.VitalRegenArray[2] + Unit,Liberator,EnergyRegenRate)" precision="1"/>点能量。</c>	Camufla a la unidad para impedir que las unidades enemigas la vean o la ataquen. Las unidades camufladas solo se descubren con detectores o efectos.<n/><n/><c val="f078ff">Drena <d ref="-1 * (Behavior,LiberatorCloak,Modification.VitalRegenArray[2] + Unit,Liberator,EnergyRegenRate)" precision="1"/> de energía por segundo.</c>
收割者处于永久隐形状态。	El Yum-Kimil se camufla de forma permanente.
该女妖处于永久隐形状态。	La Banshee se camufla de forma permanente.
安保机器人。侦测附近的隐形单位，发射EMP弹使其显形。	Robot de seguridad. Detecta unidades camufladas cercanas y dispara una munición PEM para revelarlas.
瓦利·马德森1500型轻便摩托车。御风而行。	La Low Cruiser Varley-Matheson 1500. Vuela como el viento.
给幽灵提供一道护盾，降低其受到的伤害，直至吸收总共<d ref="Behavior,DOMGhostPersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/>点伤害为止。护盾持续<d time="20"/>。	Provee un escudo a la Fantasma que reduce el daño recibido hasta que se absorbe <d ref="Behavior,DOMGhostPersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/> del daño total. El escudo dura <d time="20"/>.
制造恢复剂，使用时可对诺娃及其周围的友方单位恢复生命值和能量值。	Crea cargas de restauración que recargan la vida y la energía de Nova y las unidades aliadas cercanas cuando se usan.
研发领域的专家。	Experto en desarrollo e investigación.
通过精确瞄准，幽灵可以发射一枚<d ref="Effect,DOMSnipeDamage,Amount"/>点伤害的狙击弹。伤害无视护甲。<n/><n/><c val="#ColorAttackInfo">只能对生物单位使用。</c>	Luego de apuntar cuidadosamente, el Fantasma dispara una bala con su rifle de francotirador que inflige <d ref="Effect,DOMSnipeDamage,Amount"/> de daño. Ignora armaduras.<n/><n/><c val="#ColorAttackInfo">Solo puede usarse sobre unidades biológicas.</c>
专业支援单位。可以使用吞噬、黑暗虫群和瘟疫。	Unidad de apoyo especializada. Puede usar Consumir, Enjambre oscuro y Plaga.
巨型人类战列巡航舰。在维修期间没有任何防御力。	Crucero de batalla terran gigante. En este momento se encuentra en reparación y es vulnerable.
[PH] Cooldown costs -50%	Costo de tiempo de recuperación: -50%
[PH] Energy costs -50%	Costo de energía: -50%
临时被作为应急掩体使用的一座颠球体育场。	Un estadio de pádbol que se usa como refugio de emergencia.
废弃的尤摩扬采矿设备。	Equipamiento de minería umojano abandonado.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶蝠	Complejo de producción vehicular. <n/><n/><c val="ffff8a">Habilita:</c><n/>- Murciélagos infernales
[PH] Reduces build time of this unit by 67%.	Reduce 67% el tiempo de construcción de esta unidad.
大幅缩短建造歌利亚所需时间。	Reduce significativamente el tiempo que se necesita para construir Goliats.
大幅缩短训练恶蝠所需时间。	Reduce significativamente el tiempo que se necesita para construir Murciélagos infernales.
大幅缩短建造解放者所需时间。	Reduce significativamente el tiempo que se necesita para construir Libertadores.
大幅缩短训练陆战队员所需时间。	Reduce significativamente el tiempo que se necesita para entrenar Marines.
自动化防御建筑。使用火焰压制清扫周围区域。</n><n/><c val="FFE303">侦测单位</c>	Estructura defensiva automatizada. Barre el área circundante con un sistema de supresión de incendios.</n><n/><c val="FFE303">Detector</c>
星灵已成功封闭了这座塔达林圣坛。您无法继续对其进行采集。	Los protoss sellaron satisfactoriamente este altar tal'darim. Ya no podrás acceder a él.
帝国将军。人类保卫者领袖。	General del Dominio. Líder de los Defensores del hombre.
隐秘行动训练设施。可以为诺娃制造聚变弹。	Complejo de entrenamiento de operaciones encubiertas. Construye bombas nucleares para Nova.
耗尽目标区域内所有单位的全部能量，并使其在10秒内无法恢复能量。	Drena la energía de todas las unidades del área objetivo y evita que se regenere durante los siguientes 10 segundos.
自动化防御建筑。</n></n><c val="#ColorAttackInfo">可以对空和对地。</c><n/><c val="FFE303">侦测单位</c>	Estructura defensiva automatizada. </n></n><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c><n/><c val="FFE303">Detector</c>
治疗周围的生物和机械单位。<n/><d ref="Behavior,HealingDroneTimedLife,Duration"/>秒后时间耗尽。	Cura a las unidades biológicas y mecánicas cercanas.<n/>Pierde efecto después de <d ref="Behavior,HealingDroneTimedLife,Duration"/> segundos.
将恶蝠朝附近的敌方地面单位发射过去。接触敌人时会将敌人短暂击晕。	Lanza al Murciélago infernal hacia las unidades terrestres enemigas cercanas y las aturde brevemente cuando las impacta.
通过空投对目标区域进行聚变打击。聚变打击需要<d time="5"/>才能生效，但可对大范围内的目标造成最多<d ref="Effect,HeroNukeDamage,Amount"/> (+<d ref="Effect,HeroNukeDamage,AttributeBonus[Structure]"/>对建筑)点伤害。	Realiza un ataque nuclear en la ubicación objetivo. Los misiles nucleares demoran <d time="5"/> en impactar, pero infligen hasta <d ref="Effect,HeroNukeDamage,Amount"/> de daño (+<d ref="Effect,HeroNukeDamage,AttributeBonus[Structure]"/> contra estructuras) en un gran radio.
恶蝠可以飞悬经过地面单位。<n/>恶蝠可以在移动时攻击	Los Murciélagos infernales pueden moverse por encima de las unidades terrestres<n/>Los Murciélagos infernales pueden atacar en movimiento
可以在移动时攻击	Puede atacar en movimiento
可以在攻城模式下缓慢移动	Se mueve lentamente en Modo asedio
阻挡了建筑入口的异虫感染物。	Infestación zerg que bloquea la entrada a la edificación.
允许劫掠者可以在没有附属科技实验室的兵营中进行训练。	Permite entrenar Merodeadores en Cuarteles sin un Tecnolab anexado.
允许攻城坦克可以在没有附属科技实验室的重工厂中进行建造。	Permite construir Tanques de asedio en Fábricas sin un Tecnolab anexado.
解放者在防卫模式下的射程提高4。	Aumenta en 4 el alcance de los Libertadores en el modo Defensivo.
命令单位进入地铁。	Hace que las unidades entren al subterráneo.
使飓风的武器锁定目标单位，对地面单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害(+400 vs. 重甲)。对空中单位在<d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/>点伤害（+400 vs. 重甲）。开火时可以移动。如果目标离开射程后则取消。	Fija las armas del Ciclón sobre la unidad objetivo e inflige <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> de daño (+400 contra unidades blindadas) durante <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> segundos a objetivos terrestres y <d ref="Effect,LockOnAirCP,PeriodCount*Effect,CycloneAirWeaponDamage,Amount"/> de daño (+400 contra unidades blindadas) durante <d ref="Effect,LockOnAirCP,PeriodCount * Effect,LockOnAirCP,PeriodicPeriodArray[0]"/> segundos a objetivos aéreos. Puede moverse mientras dispara. Si el objetivo sale del alcance, se cancela.
[PH] Deals <d ref="Effect,MagrailMunitionsDamage,Amount"/> damage to target enemy unit, only fire while the unit is attacking air target.	Inflige <d ref="Effect,MagrailMunitionsDamage,Amount"/> de daño a la unidad enemiga objetivo. Solo dispara cuando la unidad está atacando a un objetivo aéreo.
强力战舰。隶属戴维斯精英卫队。<n/><n/><c val="#ColorAttackInfo">可以对空和对地。</c>	Nave de guerra poderosa. Forma parte de la guardia de élite de Davis.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>
重火力支援单位。隶属戴维斯精英卫队。<n/><n/><c val="#ColorAttackInfo">可以对空和对地。</c>	Unidad de apoyo de ataque pesado. Parte de la guardia de élite de Davis.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>
耐用型支援单位。可以切换成战机模式攻击空中单位。隶属戴维斯精英卫队。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Unidad de apoyo resistente. Puede pasar al modo Caza para atacar a unidades aéreas. Parte de la guardia de élite de Davis.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres.</c>
耐用型支援战机。装备强力反大型舰船的对空飞弹。可以切换成机甲模式攻击地面单位。隶属戴维斯精英卫队。<n/><n/><c val="#ColorAttackInfo">可以对空。</c>	Unidad voladora de apoyo resistente armada con potentes misiles aéreos antinaves. Puede pasar al modo Asalto para atacar a unidades terrestres. Parte de la guardia de élite de Davis.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades aéreas.</c>
引爆侦测无人机，对附近的所有敌人造成<d ref="Effect,NovaAlarmBotEMPDamage,Amount"/>点伤害，并使其隐形能力失效<d ref="Behavior,DOMEMPDecloak,Duration"/>秒。	Detona el Dron sensor, inflige <d ref="Effect,NovaAlarmBotEMPDamage,Amount"/> de daño a todos los enemigos cercanos e impide que se camuflen durante <d ref="Behavior,DOMEMPDecloak,Duration"/> segundos.
将斯通传送至附近一处目标位置。技能每<d ref="Abil,NovaArmorBlinkSuitBlink,Cost[0].Cooldown[0].TimeUse"/>秒只能使用一次。斯通在传送后会隐形<d ref="Behavior,NovaArmorBlinkSuitBlinkCloaked,Duration"/>秒。	Teletransporta a Stone a una ubicación objetivo cercana. La habilidad solo puede usarse una vez cada <d ref="Abil,NovaArmorBlinkSuitBlink,Cost[0].Cooldown[0].TimeUse"/> segundos. Stone queda camuflado durante <d ref="Behavior,NovaArmorBlinkSuitBlinkCloaked,Duration"/> segundos después de la teletransportación.
对减速、昏迷和精神控制效果免疫。	Inmune a los efectos de atrapar, aturdimiento y control mental.
使诺娃周围<d ref="Behavior,NovaHelmetGhostVisorDetector,Modification.Radar"/>范围内的敌方单位显形。可以侦测隐形和潜地单位。	Revela la ubicación de las unidades enemigas en un radio de <d ref="Behavior,NovaHelmetGhostVisorDetector,Modification.Radar"/> desde la posición de Nova. Detecta unidades camufladas y enterradas.
强大的战舰。可以使用大和炮和战术跳跃。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Nave de guerra poderosa. Usa Cañón Yamato y Salto táctico.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>
保护目标友方单位，使其在<d time="5"/>内免疫所有攻击。	Protege a la unidad objetivo aliada y la hace invulnerable a los ataques durante <d time="5"/>.
该单位的变形速度已提高，并且能行进射击。	Esta unidad se transforma más rápido y puede atacar mientras se mueve.
该单位已提高变形速度。	Esta unidad se transforma más rápido.
在发射井中部署聚变弹头。<n/><n/>聚变打击需要<d time="5"/>才能生效，但可对大范围内的目标造成最多<d ref="Effect,HeroNukeDamage,Amount"/> (+<d ref="Effect,HeroNukeDamage,AttributeBonus[Structure]"/>对建筑)点伤害。<n/><n/>使用诺娃来指定目标。	Equipa el silo con un Misil nuclear táctico.<n/><n/>Los Misiles nucleares demoran <d time="5"/> en impactar, pero infligen hasta <d ref="Effect,HeroNukeDamage,Amount"/> de daño (+<d ref="Effect,HeroNukeDamage,AttributeBonus[Structure]"/> contra estructuras) en un gran radio.<n/><n/>Usa a Nova para designar el objetivo.
引诱异虫前往其所在位置的秘密科技。	Tecnología clasificada que atrae a los zerg hacia su ubicación.
诺娃正在这个静滞晶壳中恢复。	Nova se está recuperando dentro de su cápsula de estasis.
孕育科研成果的专用设备。	Un complejo donde se realizan tareas vinculadas con la ciencia.
精准的一击，造成<d ref="Effect,SnipeDamage,Amount"/>点伤害（对灵能单位造成<d ref="Effect,SnipeDamage,Amount + Effect,SnipeDamage,AttributeBonus[5]"/>点伤害）。无视护甲。<n/><n/><c val="#ColorAttackInfo">只能对生物单位使用。</c>	Un disparo preciso que inflige <d ref="Effect,SnipeDamage,Amount"/> de daño (<d ref="Effect,SnipeDamage,Amount + Effect,SnipeDamage,AttributeBonus[5]"/> contra unidades psiónicas). Ignora armaduras.<n/><n/><c val="#ColorAttackInfo">Solo puede usarse sobre unidades biológicas.</c>
安保无人机。使用声呐脉冲探测隐形单位，发射EMP弹将其暴露后进行攻击。	Dron de seguridad. Usa un pulso sonar para detectar a las unidades camufladas y dispara municiones PEM para revelarlas antes de comenzar a atacarlas.
斯通被一道护盾包围，可吸收<d ref="Behavior,NovaStoneDefensiveMatrix,Modification.VitalMaxArray[1]"/>点伤害。护盾激活时对精神控制免疫。	Rodea a Stone con un escudo que puede absorber <d ref="Behavior,NovaStoneDefensiveMatrix,Modification.VitalMaxArray[1]"/> de daño. Mientras el escudo está activo, Stone es inmune a los efectos de control mental.
精英隐秘特工。装备多种类型的作战器材。	Agente de élite de operativos encubiertos. Está equipado con una gran variedad de armas y equipamiento.
伤害: 15 + 25 对生物<n/>射程: 9<n/>射速: 2秒<n/><n/>特殊: 锁定	Daño: 15 + 25 contra unidades biológicas<n/>Alcance: 9<n/>Velocidad de disparo: 2 segundos<n/><n/>Especial: Aislamiento
核心运转与供能系统，也是赞托斯的命门之所在。	Sistema de combustible y operaciones vitales. Si el sistema cae, el Janto también caerá.
休伯利安号的战斗机，擅长对抗敌方战斗机以及远距离目标。<n/><n/><c val="ffff8a">可以对空。</c>	Cazas del Hiperión. Excelentes contra naves enemigas y objetivos de largo alcance.<n/><n/><c val="ffff8a">Atacan a unidades aéreas.</c>
空优武器系统。发射多架自动化战机，对空中单位造成伤害。<n/><n/><c val="#ColorAttackInfo">战机可以对地和对空。</c>	Sistema armamentístico de superioridad aérea. Lanza grupos de cazas automatizados que infligen daño adicional contra unidades aéreas.<n/><n/><c val="#ColorAttackInfo">Los cazas atacan a unidades terrestres y aéreas.</c>
巨型战争机器。装备多种模块化武器系统。<n/><n/><c val="#ColorAttackInfo">可以根据激活的武器库来攻击不同类型的敌方单位。</c>	Máquina de guerra gigante equipada con una variedad de sistemas armamentísticos modulares.<n/><n/><c val="#ColorAttackInfo">Según qué arsenal esté activado, puede atacar a distintos tipos de unidades enemigas.</c>
反步兵武器系统。造成溅射伤害，对轻甲单位造成额外伤害。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Sistema de armas antiinfantería. Inflige daño por proximidad y daño adicional a las unidades ligeras. <n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres.</c>
反装甲武器系统。对单个目标造成高伤害，对重甲单位造成额外伤害。<n/><n/><c val="#ColorAttackInfo">可以对空和对地。</c>	Sistema de armas antiarmadura. Inflige una gran cantidad de daño a objetivos individuales y daño adicional a las unidades blindadas.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>
区域轰炸武器系统。发射多轮飞弹齐射，覆盖大片区域，同时对多个单位造成伤害。<n/><n/><c val="#ColorAttackInfo">可以对空和对地。</c>	Sistema de armas de bombardeo de área. Dispara varias salvas de misiles sobre una gran área e inflige daño a muchas unidades al mismo tiempo.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres y aéreas.</c>
使指挥中心升级为轨道控制基地，并启用析像扫描和轨道空投：额外补给技能。无法装载SCV。	Mejora el Centro de mando a Centro de mando orbital y desbloquea Escaneo y Llamado: Suministros adicionales. No puede cargar VCE.
基础建筑，用于制造SCV和接收采集到的资源。可使用析像扫描和轨道空投：额外补给技能。	Estructura primaria. Se utiliza para entrenar VCE y recibir los recursos recolectados. Puede usar las habilidades Escaneo y Llamado: Suministros adicionales.
给诺娃提供一道护盾，使其受到的伤害降低最多<d ref="Behavior,PersonalDefensiveMatrix,DamageResponse.ClampMaximum"/>点，直至吸收总计<d ref="Behavior,PersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/>点伤害为止。护盾持续<d time="10"/>。	Nova obtiene un escudo que reduce el daño recibido hasta un máximo de <d ref="Behavior,PersonalDefensiveMatrix,DamageResponse.ClampMaximum"/> hasta que se absorbe un total de <d ref="Behavior,PersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/> de daño. El escudo dura <d time="10"/>.
一份含有异虫遗传物质的活体样本。	Una muestra viable de material genético zerg.
DNA样本被获取！	¡Muestra de ADN recuperada!
关闭电源。	Corta la energía.
开启电源。	Activa la energía.
自动防御炮塔。对一条直线上的敌方地面单位造成伤害。<d ref="Behavior,RailGunTurretTimedLife,Duration"/>秒后时间耗尽。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Torreta defensiva automatizada. Daña a todas las unidades terrestres enemigas que se encuentran en su línea de fuego. Pierde efecto después de <d ref="Behavior,RailGunTurretTimedLife,Duration"/> segundos.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres.</c>
空中支援单位。能够使用自动机炮、生物机械治疗无人机和猎杀飞弹。<n/><n/><c val="FFE303">侦测单位</c>	Unidad de apoyo aéreo. Puede usar las habilidades Torreta automática, Dron de reparación biomecánico y Misil buscador.<n/><n/><c val="FFE303">Detector</c>
空中支援单位。能够使用磁轨炮塔，生物机械修理无人机和猎杀飞弹。<n/><n/><c val="FFE303">侦测单位</c>	Unidad de apoyo aéreo. Puede usar las habilidades Torreta de cañón de riel, Dron de reparación biomecánico y Misil buscador.<n/><n/><c val="FFE303">Detector</c>
空中支援单位。能够使用自动机炮、生物机械修理无人机和蜘蛛雷。<n/><n/><c val="FFE303">侦测单位</c>	Unidad de apoyo aéreo. Puede usar las habilidades Torreta automática, Dron de reparación biomecánico y Minas araña.<n/><n/><c val="FFE303">Detector</c>
游击单位。可以跳跃悬崖。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Saqueador. Puede subir y bajar riscos.<n/><n/><c val="#ColorAttackInfo">Ataca a unidades terrestres.</c>
脱离战斗后以每秒<d ref="Behavior,RegenerativeBioSteelSiegeTank,Modification.VitalRegenArray[Life]"/>点生命值的速度自动修复单位。	Cuando una unidad está fuera de combate, la repara de manera automática a una velocidad de <d ref="Behavior,RegenerativeBioSteelSiegeTank,Modification.VitalRegenArray[Life]"/> de vida por segundo.
