非晶态装甲云	무정형 방어구름
使该单位可以传送至附近一处目标位置。	이 유닛이 주위의 대상 위치로 순간이동할 수 있습니다.
该单位受到致命伤害时，它将回撤至虚空并开始恢复生命值和护盾，持续<d ref="Behavior,ZeratulDarkTemplarStasis,Duration"/>秒。 该效果每<d ref="Behavior,ZeratulDarkTemplarRetreatCooldown,Duration"/>秒只能生效一次。	이 유닛은 치명적인 피해를 받으면 공허로 물러나 <d ref="Behavior,ZeratulDarkTemplarStasis,Duration"/>초에 걸쳐 생명력과 보호막을 회복합니다. <d ref="Behavior,ZeratulDarkTemplarRetreatCooldown,Duration"/>초에 한 번만 발동합니다.
该单位闪现时，对其沿途接触的敌方单位造成<d ref="Effect,ZeratulDarkTemplarBlinkDamage,Amount"/>点伤害。	이 유닛은 점멸할 때 이동 경로상의 유닛에 <d ref="Effect,ZeratulDarkTemplarBlinkDamage,Amount"/>의 피해를 줍니다.
构造体研究所使你可以折跃萨尔纳加禁绝者。	구축 지원소는 젤나가 중재기를 소환할 수 있게 해줍니다.
高度集中的远古能量。3秒后爆炸，造成范围伤害。	고농축 고대 에너지입니다. 3초 후에 폭발하여 범위 피해를 줍니다.
建造基础星灵和萨尔纳加地面单位。<n/><n/><c val="ffff8a">开启：</c><n/>- 萨尔纳加伏击者	프로토스 및 젤나가의 기본 지상 유닛을 생산합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 젤나가 매복자
萨尔纳加观察者的移动速度提高<d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier2_RoboticsBay:Unit,ZeratulObserver,Speed$/Unit,ZeratulObserver,Speed*100" player="0"/>%	젤나가 감시자의 이동 속도가 <d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier2_RoboticsBay:Unit,ZeratulObserver,Speed$/Unit,ZeratulObserver,Speed*100" player="0"/>%만큼 증가합니다.
使该单位可以吸收<d ref="Behavior,ImmortalBarrierBase,DamageResponse.ModifyLimit" player="0"/>点伤害。持续<d ref="Behavior,ImmortalBarrierBase,Duration"/>秒。	이 유닛이 <d ref="Behavior,ImmortalBarrierBase,DamageResponse.ModifyLimit" player="0"/>의 피해를 흡수할 수 있습니다. <d ref="Behavior,ImmortalBarrierBase,Duration"/>초 동안 지속됩니다.
强大的英雄灵能战士。可以使用灵能风暴和能量反蚀。<n/><n/><c val="ffff8a">可以对空和对地。</c>	막강한 영웅 사이오닉 전사입니다. 사이오닉 폭풍과 환류를 사용할 수 있습니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
支援型防御建筑。可以击晕敌方单位。可以将自身投射至战场。可以使用阴影屏障来吸收伤害。<n/><n/><c val="ffff8a">可以对空和对地。</c><n/><c val="FFE303">侦测单位</c>	지원 방어 건물입니다. 적 유닛을 기절시킵니다. 전장에 투영될 수 있습니다. 그림자 방어막을 사용하여 피해를 흡수할 수 있습니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c><n/><c val="FFE303">탐지기</c>
超维空间巨石的投射体。击晕敌方单位。可以使用阴影屏障来吸收伤害。<n/><n/><c val="ffff8a">可以对空和对地。</c><n/><c val="FFE303">侦测单位</c>	테서랙트 초석의 투영입니다. 적 유닛을 기절시킵니다. 그림자 방어막을 사용하여 피해를 흡수할 수 있습니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c><n/><c val="FFE303">탐지기</c>
<n/><n/><c val="FFFF8A">刚韧援军：</c>泽拉图召唤的军团的持续时间延长<d ref="$UpgradeEffectArrayValue:ZeratulArtifactUpgradeTier2B:Behavior,ZeratulXelNagaConstructTimedLife,Duration$/Behavior,ZeratulTopBarTimedLife,Duration*100" player="0"/>%。	<n/><n/><c val="FFFF8A">굳건한 지원군:</c> 제라툴의 군단 소환의 지속 시간이 <d ref="$UpgradeEffectArrayValue:ZeratulArtifactUpgradeTier2B:Behavior,ZeratulXelNagaConstructTimedLife,Duration$/Behavior,ZeratulTopBarTimedLife,Duration*100" player="0"/>%만큼 증가합니다.
<c val="FFFF8A">精通：</c>通过该建筑部署的单位获得<c val="FFFF8A"><d ref="Effect,MasteryZeratulCombatUnitAttackSpeedDisplayDummy,Amount" precision="1"/></c>%攻击速度。	<c val="FFFF8A">마스터:</c> 이 구조물에서 배치한 유닛의 공격 속도가 <c val="FFFF8A"><d ref="Effect,MasteryZeratulCombatUnitAttackSpeedDisplayDummy,Amount" precision="1"/></c>%만큼 증가합니다.
基础建筑。可以接收采集的资源。可以使用时空提速技能。可以折跃古代吸纳舱。<n/><n/><c val="ffff8a">开启：</c><n/>- 萨尔纳加先驱者	주 건물입니다. 채취한 자원을 수집합니다. 시간 증폭을 사용할 수 있습니다. 고대 융화소를 소환할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 젤나가 선도자
间谍型空中单位。敌人没有侦测手段将无法看到隐形单位。<n/><n/><c val="FFE303">侦测单位</c>	정찰용 비행 유닛입니다. 은폐 능력이 있으며, 탐지 능력이 없는 적에게는 보이지 않습니다.<n/><n/><c val="FFE303">탐지기</c>
萨尔纳加观察者的视野范围扩大<d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier3_RoboticsBay:Unit,ZeratulObserver,Sight$/Unit,ZeratulObserver,Sight*100" player="0"/>%。	젤나가 감시자의 시야 반경이 <d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier3_RoboticsBay:Unit,ZeratulObserver,Sight$/Unit,ZeratulObserver,Sight*100" player="0"/>%만큼 증가합니다.
使<c val="ffff8a">超维空间炮</c>和<c val="ffff8a">超维空间巨石</c>可以将自身投射至一处目标位置，同时传递其所有护盾和武器，持续<d ref="Behavior,ZeratulPhotonCannonProjection,Duration"/>秒。	<c val="ffff8a">테서랙트 포</c>와 <c val="ffff8a">테서랙트 초석</c>을 대상 위치에 <d ref="Behavior,ZeratulPhotonCannonProjection,Duration"/>초 동안 투영하며 보호막과 무기를 모두 이전할 수 있습니다.
主力防御建筑。可以将自身投射至战场。可以使用阴影屏障来吸收伤害。<n/><n/><c val="ffff8a">可以对空和对地。</c><n/><c val="FFE303">侦测单位</c>	주 방어 건물입니다. 전장에 투영될 수 있습니다. 그림자 방어막을 사용하여 피해를 흡수할 수 있습니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c><n/><c val="FFE303">탐지기</c>
超维空间炮投射体。可以使用阴影屏障来吸收伤害。<n/><n/><c val="ffff8a">可以对空和对地。</c><n/><c val="FFE303">侦测单位</c>	테서랙트 포의 투영입니다. 그림자 방어막을 사용하여 피해를 흡수할 수 있습니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c><n/><c val="FFE303">탐지기</c>
<n/><n/><c val="FFFF8A">虚空闪现：</c>预判闪现的冷却时间缩短<d ref="$UpgradeEffectArrayValue:ZeratulArtifactUpgradeTier2A:Abil,ZeratulBlink,Cost[0].Charge.TimeUse$/Abil,ZeratulBlink,Cost[0].Charge.TimeUse*100" player="0"/>%。	<n/><n/><c val="FFFF8A">공허 점멸:</c> 예측 점멸의 재사용 대기시간이 <d ref="$UpgradeEffectArrayValue:ZeratulArtifactUpgradeTier2A:Abil,ZeratulBlink,Cost[0].Charge.TimeUse$/Abil,ZeratulBlink,Cost[0].Charge.TimeUse*100" player="0"/>%만큼 감소합니다.
基础工作单位。用于采集资源和折跃萨尔纳加建筑。<n/><n/><c val="ffff8a">可以对地。</c>	기본 일꾼 유닛입니다. 자원을 채취하고 젤나가 건물을 소환합니다.<n/><n/><c val="ffff8a">지상 유닛 공격 가능</c>
净化新星的冷却时间缩短<d ref="(Abil,ZeratulPurificationNovaTargeted,Cost[0].Cooldown.TimeUse-$UpgradeEffectArrayValue:ZeratulArtifactTier2_RoboticsBay:Weapon,ZeratulDisruptorWeapon,Period$)/Abil,ZeratulPurificationNovaTargeted,Cost[0].Cooldown.TimeUse*100" player="0"/>%。	정화 폭발의 재사용 대기시간이 <d ref="(Abil,ZeratulPurificationNovaTargeted,Cost[0].Cooldown.TimeUse-$UpgradeEffectArrayValue:ZeratulArtifactTier2_RoboticsBay:Weapon,ZeratulDisruptorWeapon,Period$)/Abil,ZeratulPurificationNovaTargeted,Cost[0].Cooldown.TimeUse*100" player="0"/>%만큼 감소합니다.
当净化新星爆炸时，它会产生三个更小的新星，每一个对沿途的敌人造成<d ref="Effect,ZeratulPurificationNovaSmallOrbSearchImpactDamage,Amount"/>点伤害。	정화 폭발이 폭발을 일으키면 세 개의 작은 폭발로 나뉘어 각각 이동 경로상의 적 유닛에 <d ref="Effect,ZeratulPurificationNovaSmallOrbSearchImpactDamage,Amount"/>의 피해를 줍니다.
发射一团球形能量，触碰敌方单位时或在<d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>秒后引爆，对附近的地面单位和建筑造成<d ref="Effect,ZeratulPurificationNovaDamage,Amount"/>点溅射伤害。萨尔纳加禁绝者在此期间无法移动。	에너지 구체를 발사합니다. 구체는 <d ref="Behavior,PurificationNovaTargettedTarget,Duration"/>초 후 또는 적 유닛과 접촉하면 폭발하여 주위의 지상 유닛 및 구조물에 <d ref="Effect,ZeratulPurificationNovaDamage,Amount"/>의 방사 피해를 줍니다. 활성화되어 있는 동안에는 젤나가 방해자가 움직일 수 없습니다.
制造一道光环，将<d ref="Effect,ZeratulReflectionShieldApplyBehavior,Chance*100"/>%的投射物反射给敌方攻击者。持续<d ref="Effect,ZeratulReflectionShieldCP,PeriodicPeriodArray[0]*Effect,ZeratulReflectionShieldCP,PeriodCount"/>。	모든 투사체의 <d ref="Effect,ZeratulReflectionShieldApplyBehavior,Chance*100"/>%를 적 공격자에게 반사하는 오라를 생성합니다. <d ref="Effect,ZeratulReflectionShieldCP,PeriodicPeriodArray[0]*Effect,ZeratulReflectionShieldCP,PeriodCount"/>초 동안 지속됩니다.
使该单位可以制造一道光环，将<d ref="Effect,ZeratulReflectionShieldApplyBehavior,Chance*100"/>%投射物反射给敌方攻击者。	이 유닛이 모든 투사체의 <d ref="Effect,ZeratulReflectionShieldApplyBehavior,Chance*100"/>%를 적 공격자에게 반사하는 오라를 생성할 수 있습니다.
<c val="ffff8a">萨尔纳加观察者</c>的视野范围扩大<d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier3_RoboticsBay:Unit,ZeratulObserver,Sight$/Unit,ZeratulObserver,Sight*100" player="0"/>%。	<c val="ffff8a">젤나가 감시자</c>의 시야 반경이 <d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier3_RoboticsBay:Unit,ZeratulObserver,Sight$/Unit,ZeratulObserver,Sight*100" player="0"/>%만큼 증가합니다.
当一名<c val="ffff8a">虚空圣堂武士</c>受到致命伤害时，它将回撤至虚空并开始恢复生命值和护盾，持续<d ref="Behavior,ZeratulDarkTemplarStasis,Duration"/>秒。	<c val="ffff8a">공허 기사</c>는 치명적인 피해를 받으면 공허로 물러나 <d ref="Behavior,ZeratulDarkTemplarStasis,Duration"/>초에 걸쳐 생명력과 보호막을 회복합니다.
隐形力场会使附近的友方单位和建筑隐形。<n/><n/><c val="ffff8a">被动技能</c>	주위 아군 유닛과 구조물을 은폐합니다.<n/><n/><c val="ffff8a">지속 능력</c>
<c val="ffff8a">萨尔纳加禁绝者</c>的净化新星爆炸时，它会产生三个更小的新星，每一个对沿途的敌人造成<d ref="Effect,ZeratulPurificationNovaSmallOrbSearchImpactDamage,Amount"/>点伤害。	<c val="ffff8a">젤나가 중재기</c>의 정화 폭발이 폭발을 일으키면 세 개의 작은 폭발로 나뉘어 각각 이동 경로상의 적 유닛에 <d ref="Effect,ZeratulPurificationNovaSmallOrbSearchImpactDamage,Amount"/>의 피해를 줍니다.
使<c val="ffff8a">虚空圣堂武士</c>可以传送至附近一处目标位置。	<c val="ffff8a">공허 기사</c>가 주위의 대상 위치로 순간이동할 수 있습니다.
<c val="ffff8a">萨尔纳加观察者</c>的移动速度提高<d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier2_RoboticsBay:Unit,ZeratulObserver,Speed$/Unit,ZeratulObserver,Speed*100" player="0"/>%	<c val="ffff8a">젤나가 감시자</c>의 이동 속도가 <d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier2_RoboticsBay:Unit,ZeratulObserver,Speed$/Unit,ZeratulObserver,Speed*100" player="0"/>%만큼 증가합니다.
使<c val="ffff8a">萨尔纳加执行者</c>可以吸收<d ref="Behavior,ImmortalBarrierBase,DamageResponse.ModifyLimit" player="0"/>点伤害。持续<d ref="Behavior,ImmortalBarrierBase,Duration"/>秒。	<c val="ffff8a">젤나가 집행자</c>가 최대 <d ref="Behavior,ImmortalBarrierBase,DamageResponse.ModifyLimit" player="0"/>의 피해를 흡수합니다. <d ref="Behavior,ImmortalBarrierBase,Duration"/>초 동안 지속됩니다.
<c val="ffff8a">萨尔纳加执行者</c>屏障吸收的伤害量提高<d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier3_RoboticsBay:Behavior,ImmortalBarrierBase,DamageResponse.ModifyLimit$/Behavior,ImmortalBarrierBase,DamageResponse.ModifyLimit*100" player="0"/>%。当屏障激活时，<c val="ffff8a">萨尔纳加执行者</c>破损的机体外壳会被完全修复。	<c val="ffff8a">젤나가 집행자</c> 방어막의 피해 흡수량이 <d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier3_RoboticsBay:Behavior,ImmortalBarrierBase,DamageResponse.ModifyLimit$/Behavior,ImmortalBarrierBase,DamageResponse.ModifyLimit*100" player="0"/>%만큼 증가합니다. <c val="ffff8a">젤나가 집행자</c>의 방어막이 발동하면 체력이 모두 회복됩니다.
<c val="ffff8a">萨尔纳加伏击者</c>现在可以储存最多<d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier3_CyberneticsCore:Abil,ZeratulStalkerBlink,Cost[0].Charge.CountStart$"/>层预判闪现充能，并且每<d ref="Abil,ZeratulStalkerBlink,Cost[0].Charge.TimeUse"/>秒重新获得一层充能。	<c val="ffff8a">젤나가 매복자</c>의 예측 점멸이 최대 <d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier3_CyberneticsCore:Abil,ZeratulStalkerBlink,Cost[0].Charge.CountStart$"/>회까지 충전되고, <d ref="Abil,ZeratulStalkerBlink,Cost[0].Charge.TimeUse"/>초마다 1회 충전됩니다.
使<c val="ffff8a">萨尔纳加光盾卫士</c>可以制造一道光环，将<d ref="Effect,ZeratulReflectionShieldApplyBehavior,Chance*100" />%的投射物反射给敌方攻击者。	<c val="ffff8a">젤나가 방패수호기</c>가 모든 투사체의 <d ref="Effect,ZeratulReflectionShieldApplyBehavior,Chance*100" />%를 적 공격자에게 반사하는 오라를 생성할 수 있습니다.
使<c val="ffff8a">萨尔纳加光盾卫士</c>可以为一名友方星灵单位的护盾进行充能。	<c val="ffff8a">젤나가 방패수호기</c>가 아군 프로토스 유닛의 보호막을 충전할 수 있습니다.
靠近虫洞模式下的<c val="ffff8a">萨尔纳加虚空阵列船</c>的单位，其护盾回复率提高至每秒恢复<d ref="Effect,ZeratulWarpPrismPhasingRegenAuraRegenTick,VitalArray[Shields].Change/Behavior,ZeratulWarpPrismPhasingRegenAuraTarget,Period"/>点。	웜홀 모드로 작동하는 <c val="ffff8a">젤나가 공허 전송기</c> 주위의 유닛은 보호막 재생 속도가 초당 <d ref="Effect,ZeratulWarpPrismPhasingRegenAuraRegenTick,VitalArray[Shields].Change/Behavior,ZeratulWarpPrismPhasingRegenAuraTarget,Period"/>까지 증가합니다.
<c val="ffff8a">萨尔纳加伏击者</c>的预判闪现会留下一个虚空恶灵，制造一次攻击，造成该单位<d ref="Effect,ZeratulStalkerGhostDamage,Amount/Effect,ZeratulParticleDisruptorsU,Amount * 100"/>%武器伤害。该效果每<d ref="Behavior,ZeratulStalkerGhostCooldown,Duration"/>秒只能生效一次。	<c val="ffff8a">젤나가 매복자</c>가 예측 점멸을 사용하면 이제 공허 잔상이 남아 적을 한 번 공격하고 해당 유닛의 무기 공격력의 <d ref="Effect,ZeratulStalkerGhostDamage,Amount/Effect,ZeratulParticleDisruptorsU,Amount * 100"/>%에 해당하는 피해를 줍니다. <d ref="Behavior,ZeratulStalkerGhostCooldown,Duration"/>초에 한 번만 발동합니다.
给予<c val="ffff8a">萨尔纳加虚空阵列船</c>无限的装载容量。	<c val="ffff8a">젤나가 공허 전송기</c>의 수용량이 무제한으로 증가합니다.
<c val="ffff8a">虚空圣堂武士</c>闪现时，对其沿途接触的敌方单位造成<d ref="Effect,ZeratulDarkTemplarBlinkDamage,Amount"/>点伤害。	<c val="ffff8a">공허 기사</c>가 점멸할 때 이동 경로상의 유닛에 <d ref="Effect,ZeratulDarkTemplarBlinkDamage,Amount"/>의 피해를 줍니다.
使<c val="ffff8a">传送门</c>可以升级为折跃门。	<c val="ffff8a">관문</c>을 차원 관문으로 업그레이드할 수 있습니다.
<c val="ffff8a">萨尔纳加禁绝者</c>的净化新星的冷却时间缩短<d ref="(Abil,ZeratulPurificationNovaTargeted,Cost[0].Cooldown.TimeUse-$UpgradeEffectArrayValue:ZeratulArtifactTier2_RoboticsBay:Weapon,ZeratulDisruptorWeapon,Period$)/Abil,ZeratulPurificationNovaTargeted,Cost[0].Cooldown.TimeUse*100" player="0"/>%。	<c val="ffff8a">젤나가 중재기</c>의 정화 폭발의 재사용 대기시간이 <d ref="(Abil,ZeratulPurificationNovaTargeted,Cost[0].Cooldown.TimeUse-$UpgradeEffectArrayValue:ZeratulArtifactTier2_RoboticsBay:Weapon,ZeratulDisruptorWeapon,Period$)/Abil,ZeratulPurificationNovaTargeted,Cost[0].Cooldown.TimeUse*100" player="0"/>%만큼 감소합니다.
为萨尔纳加执行者、萨尔纳加虚空阵列船、萨尔纳加观察者提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在萨尔纳加构造体设施中制造萨尔纳加禁绝者	젤나가 집행자, 젤나가 공허 전송기, 젤나가 감시자의 유물 업그레이드를 이용할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 젤나가 중재기 (피조물 시설)
建造萨尔纳加机械构造体。<n/><n/><c val="ffff8a">开启：</c><n/>- 萨尔纳加执行者<n/>- 萨尔纳加虚空阵列船<n/>- 萨尔纳加观察者	젤나가 로봇공학 피조물을 건설합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 젤나가 집행자<n/>- 젤나가 공허 전송기<n/>- 젤나가 감시자
该单位的能量恢复提高<d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier2_CyberneticsCore:Unit,ZeratulSentry,EnergyRegenRate$/Unit,ZeratulSentry,EnergyRegenRate" player="0"/>00%。	이 유닛의 에너지 재생 속도가 <d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier2_CyberneticsCore:Unit,ZeratulSentry,EnergyRegenRate$/Unit,ZeratulSentry,EnergyRegenRate" player="0"/>00%만큼 증가합니다.
恢复一个友方星灵单位的护盾。<n/><n/><c val="f078ff">每点能量恢复<d ref="Effect,VoidSentryShieldRepair,RechargeVitalRate*Effect,VoidSentryShieldRepair,DrainVitalCostFactor"/>点护盾。</c>	아군 프로토스 유닛의 보호막을 재충전합니다.<n/><n/><c val="f078ff">에너지 1당 <d ref="Effect,VoidSentryShieldRepair,RechargeVitalRate*Effect,VoidSentryShieldRepair,DrainVitalCostFactor"/>의 보호막 회복</c>
<n/><n/><c val="FFFF8A">超维空间矩阵：</c>伤害吸收量提高<d ref="($UpgradeEffectArrayValue:ZeratulArtifactUpgradeTier2C:Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit$/Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit)*100" player="0"/>%。	<n/><n/><c val="FFFF8A">테서랙트 행렬:</c> 피해 흡수량이 <d ref="($UpgradeEffectArrayValue:ZeratulArtifactUpgradeTier2C:Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit$/Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit)*100" player="0"/>%만큼 증가합니다.
<n/><n/><c val="FFFF8A">超维空间矩阵：</c>阴影投射的冷却时间降低<d ref="$UpgradeEffectArrayValue:ZeratulArtifactUpgradeTier2C:Abil,PhaseCannonProjection,Cost[0].Cooldown.TimeUse$/Abil,PhaseCannonProjection,Cost[0].Cooldown.TimeUse*100" player="0"/>%。	<n/><n/><c val="FFFF8A">테서랙트 행렬:</c> 그림자 투영의 재사용 대기시간이 <d ref="$UpgradeEffectArrayValue:ZeratulArtifactUpgradeTier2C:Abil,PhaseCannonProjection,Cost[0].Cooldown.TimeUse$/Abil,PhaseCannonProjection,Cost[0].Cooldown.TimeUse*100" player="0"/>%만큼 감소합니다.
对附近的敌人造成<d ref="Effect,ZeratulShadowCleaveDamage,Amount"/>点伤害。	주위의 적들에게 <d ref="Effect,ZeratulShadowCleaveDamage,Amount"/>의 피해를 줍니다.
泽拉图处于永久隐形状态。他在受到攻击后将在<d ref="Behavior,ZeratulShadowPhased,Duration" precision="1"/>秒内免疫所有伤害。该效果每<d ref="Behavior,ZeratulShadowPhaseController,DamageResponse.Cost.Cooldown.TimeUse"/>秒只能生效一次。	제라툴은 영구 은폐 상태입니다. 공격을 받은 후 <d ref="Behavior,ZeratulShadowPhased,Duration" precision="1"/>초 동안 피해를 받지 않습니다. <d ref="Behavior,ZeratulShadowPhaseController,DamageResponse.Cost.Cooldown.TimeUse"/>초에 한 번만 발동합니다.
使该单位可以给友方星灵单位的护盾进行充能。	이 유닛이 아군 프로토스 유닛의 보호막을 충전할 수 있습니다.
超维空间巨石会击晕其攻击效果范围内的敌人。	테서랙트 초석은 공격 시 효과 범위 내의 적을 기절시킵니다.
该单位现在可以储存最多<d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier3_CyberneticsCore:Abil,ZeratulStalkerBlink,Cost[0].Charge.CountStart$"/>层预判闪现充能，并且每<d ref="Abil,ZeratulStalkerBlink,Cost[0].Charge.TimeUse"/>秒重新获得一层充能。	이 유닛의 예측 점멸이 최대 <d ref="$UpgradeEffectArrayValue:ZeratulArtifactTier3_CyberneticsCore:Abil,ZeratulStalkerBlink,Cost[0].Charge.CountStart$"/>회까지 충전되고, <d ref="Abil,ZeratulStalkerBlink,Cost[0].Charge.TimeUse"/>초마다 1회 충전됩니다.
闪现后会留下一个虚空恶灵，制造一次攻击，造成该单位<d ref="Effect,ZeratulStalkerGhostDamage,Amount/Effect,ZeratulParticleDisruptorsU,Amount*100"/>%武器伤害。该效果每<d ref="Behavior,ZeratulStalkerGhostCooldown,Duration"/>秒只能生效一次。	점멸 시 공허 잔상이 남아 적을 한 번 공격하고 해당 유닛의 무기 공격력의 <d ref="Effect,ZeratulStalkerGhostDamage,Amount/Effect,ZeratulParticleDisruptorsU,Amount*100"/>%에 해당하는 피해를 줍니다. <d ref="Behavior,ZeratulStalkerGhostCooldown,Duration"/>초에 한 번만 발동합니다.
将该单位传送到附近一处位置。	이 유닛이 주위의 대상 위치로 순간이동합니다.
吸收最多<d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/>点伤害。持续<d ref="Behavior,ZeratulStructureBarrier,Duration"/>秒。	최대 <d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/>의 피해를 흡수합니다. <d ref="Behavior,ZeratulStructureBarrier,Duration"/>초 동안 지속됩니다.
使<c val="ffff8a">超维空间炮</c>和<c val="ffff8a">超维空间巨石</c>吸收最多<d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/>点伤害。持续<d ref="Behavior,ImmortalBarrierBase,Duration"/>秒。	<c val="ffff8a">테서랙트 포</c>와 <c val="ffff8a">테서랙트 초석</c>이 최대 <d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/>의 피해를 흡수할 수 있습니다. <d ref="Behavior,ImmortalBarrierBase,Duration"/>초 동안 지속됩니다.
将泽拉图运送至目标位置。	제라툴을 대상 장소로 이동시킵니다.
远古萨尔纳加水晶。可以致残它周围的敌方单位，瘫痪其周围的敌方建筑。	고대 젤나가 수정입니다. 적 유닛과 인근 건물을 무력화합니다.
附近敌人的移动和攻击速度降低<d ref="-100*Behavior,ZeratulSuppressionCrystalSuppression,Modification.AdditiveAttackSpeedFactor"/>%。附近敌方建筑被瘫痪。	주위 적 유닛의 이동 및 공격 속도가 <d ref="-100*Behavior,ZeratulSuppressionCrystalSuppression,Modification.AdditiveAttackSpeedFactor"/>% 감소합니다. 주위 적 건물이 비활성화됩니다.
使超维空间炮可以将自身投射至目标位置，同时传递其所有护盾和武器，持续<d ref="Behavior,ZeratulPhotonCannonProjection,Duration"/>秒。	테서랙트 포를 대상 위치에 <d ref="Behavior,ZeratulPhotonCannonProjection,Duration"/>초 동안 투영하며 보호막과 무기를 모두 이전할 수 있습니다.
使超维空间炮吸收最多<d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/>点伤害。持续<d ref="Behavior,ImmortalBarrierBase,Duration"/>秒。	테서랙트 포가 최대 <d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/>의 피해를 흡수할 수 있습니다. <d ref="Behavior,ImmortalBarrierBase,Duration"/>초 동안 지속됩니다.
使超维空间巨石可以将自身投射至目标位置，同时传递其所有护盾和武器，持续<d ref="Behavior,ZeratulPhotonCannonProjection,Duration"/>秒。	테서랙트 초석을 대상 위치에 <d ref="Behavior,ZeratulPhotonCannonProjection,Duration"/>초 동안 투영하며 보호막과 무기를 모두 이전할 수 있습니다.
使超维空间巨石吸收最多<d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/>点伤害。持续<d ref="Behavior,ImmortalBarrierBase,Duration"/>秒。	테서랙트 초석이 최대 <d ref="Behavior,ZeratulStructureBarrier,DamageResponse.ModifyLimit"/>의 피해를 흡수할 수 있습니다. <d ref="Behavior,ImmortalBarrierBase,Duration"/>초 동안 지속됩니다.
给予萨尔纳加虚空阵列船无限的装载容量。	젤나가 공허 전송기의 수용량이 무제한으로 증가합니다.
将该萨尔纳加虚空阵列船指定为首要出口点。任何载入至虚空阵列船的单位都会自动卸载至该位置点。	이 젤나가 공허 전송기를 주 출구로 지정합니다. 다른 공허 전송기로 들어간 유닛은 자동으로 이 위치로 나옵니다.
载入至萨尔纳加虚空阵列船矩阵网络的单位不会再自动离开至此位置。	이제 젤나가 공허 전송기 망으로 들어간 유닛이 자동으로 이 장소에 나오지 않습니다.
将该萨尔纳加虚空阵列船指定为首要出口点。任何虚空阵列船载入的单位都会自动卸载至该位置点。	이 젤나가 공허 전송기를 주 출구로 지정합니다. 다른 젤나가 공허 전송기로 들어간 유닛은 자동으로 이 위치로 나옵니다.
将萨尔纳加虚空阵列船变回飞行模式，使其可以移动。	젤나가 공허 전송기를 비행 모드로 되돌려, 이동할 수 있게 합니다.
将单位载入至萨尔纳加虚空阵列船的矩阵中。	젤나가 공허 전송기의 연결망 안으로 유닛을 들여보냅니다.
可以在战场上的所有萨尔纳加虚空阵列船之间载入和卸载单位。可以变形成可以移动的飞行模式。	전장의 젤나가 공허 전송기를 통해 유닛을 들이거나 내보낼 수 있습니다. 이동하는 비행 모드로 전환할 수 있습니다.
附近的单位每秒额外恢复<d ref="Effect,ZeratulWarpPrismPhasingRegenAuraRegenTick,VitalArray[Shields].Change/Behavior,ZeratulWarpPrismPhasingRegenAuraTarget,Period"/>点护盾。	주위 유닛이 추가로 초당 <d ref="Effect,ZeratulWarpPrismPhasingRegenAuraRegenTick,VitalArray[Shields].Change/Behavior,ZeratulWarpPrismPhasingRegenAuraTarget,Period"/>의 보호막을 재생합니다.
选中当前处于自动卸载模式中的虚空阵列船。	자동 내보내기 모드의 공허 전송기를 선택합니다.
