非晶态装甲云	Аморфное бронеоблако
用钻机攻击	Ведет огонь из оружейной установки
制造炮台	Изготавливает турели
和各种魔鬼打过交道。	Умеет заключать сделки с дьяволами.
盗窃科技	Ворует технологии
爱好枪械	Стреляет по врагам
喜欢机甲	Любит роботов
指挥海量军队，拥有强大的灵能。	Командует огромными армиями и обладает псионными способностями.
<ul indent="2" text="▪"><li/>在战场上直接战斗的强大的英雄单位。<li/>她和她的盟友可以从阵亡的敌人身上搜集资源。<li/>指挥官难度：普通	<ul indent="2" text="•"><li/>Могучая героиня, прекрасно зарекомендовавшая себя на поле боя.<li/>Керриган и ее союзники могут получать ресурсы из павших противников.<li/>Сложность: боец
使用无穷无尽的虫群进行战斗	Ведет за собой бесчисленные силы Роя.
<ul indent="2" text="▪"><li/>在战场上直接战斗的强大的孵化型英雄单位。<li/>只和近战单位战斗。<li/>技能，群体狂暴使所有友方单位的攻击以及移动速度提高。<li/>战斗单位变异得更快，消耗得更少。<li/>最大补给数限定为100。<li/>指挥官难度：简单	<ul indent="2" text="•"><li/>Могучая героиня, порождающая боевые единицы и прекрасно зарекомендовавшая себя на поле боя.<li/>Сражается только при помощи боевых единиц ближнего боя.<li/>Способность «Массовое бешенство» повышает скорость атаки и передвижения всех дружественных войск.<li/>Боевые единицы мутируют быстрее и стоят дешевле.<li/>Максимальный лимит припасов – 100.<li/>Сложность: ученик
你的英雄已阵亡。你需要建造一座城镇大厅才能将其复活。	Ваш герой погиб. Возведите основное строение, чтобы он смог возродиться.
你的英雄已阵亡。它将在~TIME~秒后复活。	Ваш герой погиб. Он возродится через ~TIME~ сек.
你的英雄已经复活。	Ваш герой воскрешен.
守护者阿巴瑟	Страж Абатур
异虫 -	Зерги -
异虫 —	Зерги -
星灵 —	Протоссы -
（猎杀虫）	(Охотник)
<ul indent="2" text="▪"><li/>能越过障碍物并从远处扑向目标攻击。<li/>可以在悬崖间攀上跃下。</ul>	<ul indent="2" text="•"><li/>Перепрыгивает препятствия и наскакивает на цель с большого расстояния.<li/>Может преодолевать уступы.</ul>
(Splitter)	(Дроблинг)
<ul indent="2" text="▪"><li/>死亡时分裂出两只爆虫分裂体。<li/>其伤害也随之降低。</ul>	<ul indent="2" text="•"><li/>В момент гибели распадается на двух малых гиблингов.<li/>Малые гиблинги наносят уменьшенный урон.</ul>
(Stock)	(Базовый)
人类  -	Терран -
风暴战舰	Tempest
(Shakuras)	(Шакурас)
母舰	Материнский корабль
天罚行者	Странник гнева
(Void MP)	(LotV СИ)
星灵 -	Протоссы -
复仇者	Мститель
暗影猎手	Темная охотница
Terran - Merc -	Терран - наемник -
霍纳的战列巡航舰	Крейсер Хорнера
霍纳铁鸦	«Ворон» Хорнера
霍纳收割者	Головорез Хорнера
修理机器人	Ремонтный робот
霍纳维京战机	«Викинг» Хорнера
霍纳战狼	«Боевой пес» Хорнера
霍纳寡妇雷	Мина «Вдова» Хорнера
霍纳怨灵战机	«Мираж» Хорнера
晋升者	Посвященный
（穿刺者）	(Пронзатель)
能变异为穿刺者：<n/><ul indent="2" text="▪"><li/>潜地时才能攻击，仅能攻击单个目标。<li/>对重甲单位尤为有效。</ul>	Может мутировать в пронзателя:<n/><ul indent="2" text="•"><li/>Находясь в закопанном состоянии, атакует единичные цели.<li/>Эффективен против хорошо бронированных целей.</ul>
（潜伏者）	(Скрытень)
能变异为潜伏者：<n/><ul indent="2" text="▪"><li/>潜地时才能攻击，能一次攻击数个敌人。<li/>对轻甲地面单位尤为有效。</ul>	Может мутировать в скрытня:<n/><ul indent="2" text="•"><li/>В закопанном состоянии атакует нескольких противников.<li/>Эффективен против легкобронированных наземных целей.</ul>
(Purifier)	(Чистильщик)
歼灭者	Аннигиляторы
无情先锋	Ревнитель
迷你德拉肯激光钻机	Миниатюрная драккенская лазерная установка
浩劫	Разрушитель
（巢虫领主）	(Хозяин стаи)
能变异为巢虫领主：<n/><ul indent="2" text="▪"><li/>对地面单位进行远程攻击。<li/>孵化巢虫进行攻击。</ul>	Может мутировать в хозяина стаи:<n/><ul indent="2" text="•"><li/>Осаждает наземные цели с большого расстояния.<li/>При атаке порождает симбионтов.</ul>
（飞蛇）	(Стрекоза)
能变异为飞蛇：<n/><ul indent="2" text="▪"><li/>能把单位拖至新的位置，被拖拽的敌人会昏迷1秒。<li/>能减缓并阻止敌方地面单位的攻击。<li/>可抽取友方单位的生命以补充能量。<li/>可以对空。</ul>	Может мутировать в стрекозу:<n/><ul indent="2" text="•"><li/>Способна притягивать к себе боевые единицы, при этом оглушает войска противника на 1 сек.<li/>Замедляет наземные войска противника и не дает им атаковать.<li/>Поглощает здоровье союзников, чтобы восполнить запас энергии.<li/>Атакует только воздушные цели.</ul>
海盗船	Корсар
（尸体虫）	(Труповик)
<ul indent="2" text="▪"><li/>蟑螂所伤的敌人若被迅速消灭后，会生成两只小蟑螂。</ul>	<ul indent="2" text="•"><li/>При уничтожении боевой единицы противника, незадолго до этого атакованной тараканом, образуется два труплинга.</ul>
（秽型虫）	(Кислот)
<ul indent="2" text="▪"><li/>攻击能使敌人的移动和攻击速度降低<d ref="(1 - Behavior,VileAcidSlowFlatAmount,Modification.MoveSpeedMultiplier) * 100"/>%。<li/>英雄单位的移动和攻击速度降低<d ref="(1 - Behavior,VileAcidSlowFlatAmountHeroic,Modification.MoveSpeedMultiplier) * 100"/>%。</ul>	<ul indent="2" text="•"><li/>При атаке снижает скорость атаки и передвижения противника на <d ref="(1 - Behavior,VileAcidSlowFlatAmount,Modification.MoveSpeedMultiplier) * 100"/>%.<li/>Скорость атаки и передвижения особых боевых единиц при этом снижается на <d ref="(1 - Behavior,VileAcidSlowFlatAmountHeroic,Modification.MoveSpeedMultiplier) * 100"/>%.</ul>
激励者	Заряжатель
龙骑士	Драгун
被感染的人类 -	Зараженный терран -
（腐肉虫）	(Падальщик)
<ul indent="2" text="▪"><li/>孵化出的飞行蝗虫可攻击地面目标。<li/>飞行蝗虫比普通蝗虫多50%的伤害值，但生命值比普通蝗虫少25%。</ul>	<ul indent="2" text="•"><li/>Порождает летающих саранчидов, которые атакуют наземные цели. <li/>Летающие саранчиды быстрее обычных, они наносят на 50% больше урона, однако имеют на 25% меньше здоровья, чем обычные саранчиды.</ul>
（掘地虫）	(Ползун)
<ul indent="2" text="▪"><li/>在潜地或扎根时生成菌毯。<li/>可通过深槽虫道前往被菌毯覆盖的任何位置。<li/>深槽虫道冷却时间：10秒。</ul>	<ul indent="2" text="•"><li/>Окопавшийся или закопавшийся роевик распространяет слизь.<li/>Может переместиться в любую точку, находящуюся в пределах слизи, с помощью «Глубинного тоннеля».<li/>Время восстановления способности «Глубинный тоннель»: 10 сек.</ul>
（瘴毒兽）	(Токсилиск)
<ul indent="2" text="▪"><li/>释放出毒性云雾，对周围的敌方地面单位每秒造成5点伤害值。<li/>剧毒冲击对附近的所有敌人和建筑造成20点伤害值。<li/>剧毒冲击冷却时间：10秒。</ul>	<ul indent="2" text="•"><li/>Выпускает вредоносное облако, наносящее наземным войскам противника 5 ед. урона в секунду.<li/>«Кольцо яда» наносит 20 ед. урона наземным войскам и строениям противника.<li/>Время восстановления «Кольца яда»: 10 сек.</ul>
（暴龙兽）	(Торраск)
<ul indent="2" text="▪"><li/>死亡时进入虫茧，短时间后重生为全新的雷兽。<li/>重生冷却时间：60秒。</ul>	<ul indent="2" text="•"><li/>В момент гибели переходит в хризалиду. Спустя непродолжительное время из нее появляется новый ультралиск.<li/>Время восстановления: 60 сек.</ul>
折跃棱镜 (塔达林)	Призма искривления (талдаримы)
泽拉图 折跃棱镜	Призма искривления Зератула
哨兵	Часовые
百夫长	Центурион
（腾跃虫）	(Раптор)
<ul indent="2" text="▪"><li/>可以越过障碍物迅速接近目标。<li/>伤害值提高2点，相当于提高了40%。<li/>可在悬崖间攀上跃下。</ul>	<ul indent="2" text="•"><li/>Перепрыгивает препятствия и наскакивает на цель с большого расстояния.<li/>Урон повышается на 2 ед. или на 40%.<li/>Может преодолевать уступы.</ul>
（裂变虫）	(Сворлинг)
<ul indent="2" text="▪"><li/>一次能孵化出3只。<li/>几乎能立即变异。</ul>	<ul indent="2" text="•"><li/>Одновременно появляется 3 особи.<li/>Порождение происходит практически мгновенно.</ul>
挑战难度为简单的电脑AI。	Сразитесь с компьютером на уровне сложности «Ученик».
合作任务 求生无路	Совместный режим: Ночная смена
所有设置均可自定义。	Все параметры можно изменить.
合作任务 新手	Новичок (совм.)
挑战难度为普通的电脑AI。	Сразитесь с компьютером на уровне сложности «Боец».
合作任务 简单	Ученик (совм.)
挑战难度为困难的电脑AI。	Сразитесь с компьютером на уровне сложности «Ветеран».
合作任务 普通	Боец (совм.)
挑战难度为残酷的电脑AI。	Сразитесь с компьютером на уровне сложности «Эксперт».
合作任务 困难	Ветеран (совм.)
不能对刚刚受到过虚空静滞影响的单位使用	Целью не могут быть боевые единицы, которые были недавно погружены в стазис Пустоты.
浊流	Мерзкий поток
灵能闪电	Псионная молния
末日巨兽对空攻击	Воздушная атака апокалиска
末日巨兽刀刃	Клинки апокалиска
LB-10格林机枪	Шестиствольный пулемет LB-10
复仇女神飞弹舱	Ракетный модуль «Немезида»
胆汁炸弹	Споровая бомба
生物排泄	Выброс биомассы
撕咬	Укус
地狱火炸弹	Адская взрывчатка
燃烧射线	Поджигающий луч
背弃之刃	Клинки погибели
混沌洪流	Хаотический поток
酸性孢子	Кислотные споры
腐蚀脊刺	Разъедающий выброс
猛扑爆发	Взрывное пикирование
脊刺	Spines
强效黏性胆汁	Улучшенная вязкая желчь
黏性胆汁	Вязкая желчь
不稳定投射物	Кислотный обстрел
酸性唾液	Кислотная слюна
火焰吐息	Огненное дыхание
酸性喷吐	Кислотный плевок
裂空光炮	Пушка искривления пространства
反物质飞弹	Ракеты из антиматерии
光子冲击炮	Фотонный бластер
净化者刃炮	Энергетическая глефа чистильщиков
FenixTalisShade	FenixTalisShade
地狱火飞弹	Ракеты «Адское пламя»
机关炮	Автоматическая пушка
ATX激光炮组	Лазерная батарея ATX
狱火榴弹	Адские гранаты
凝固汽油喷射器	Напалм
迷你大和炮	Мини-орудие «Ямато»
HHNomadFakeWeapon	HHNomadFakeWeapon
D9炸弹	Взрывчатка D-9
P-55“镰刀”电磁枪	Пистолет Гаусса P-55 «Тесак»
脉冲激光炮	Импульсные лазеры
生化弹幕	Биообстрел
休伯利安号定点防御激光	Лазер точечной обороны «Гипериона»
尖锐触须	Пронзающее щупальце
精钢利爪	Когти из неостали
Infested Bunker Hidden Real Uprooted Weapon	Infested Bunker Hidden Real Uprooted Weapon
冰暴飞弹仓	Ракетные модули «Град»
榴弹发射器	Гранатомет
尖刺头撞	Удар шипами
温拓里尼射线	Луч «Венторини»
RGX穿孔机	Рельсовая пушка «Искорка»
康科德火炮	Орудие «Конкорд»
列克星敦火箭	Ракеты «Лексингтон»
C-14型电磁枪	Винтовка Гаусса С-14
炼狱火焰喷射器	Огнемет «Адское пламя»
碎片榴弹	Осколочная граната
偏振子飞雷	Поляритонные торпеды
灵能突击	Псионная атака
光影双刃	Сумеречные клинки
能量冲击	Энергетический удар
C-20A 霰弹步枪	Карабин C-20А
大师曲光战刃	Мастерский клинок искривления
突击步枪	Винтовка «Коммандос»
仆从机轰炸	Атака дрона
重机枪	Пулемет
脊针	Шипы
爆炸投射物	Разрывной снаряд
死亡火炮	Пушка Смерти
突变因子 混合体 不朽者	Мутатор – гибрид-бессмертный
恶心呕喷	Омерзительная рвота
杀戮火炮	Убойная пушка
突变因子激光钻机光束	Мутатор – луч лазерной установки
飞弹定点防御	Точечная противоракетная оборона
谋杀火炮	Пушка «Гаситель»
同化	Распространение
目视射线	Лучи из глаз
啄击	Клевок
审判之啄	Клевок Правосудия
地狱火霰弹枪	Адский дробовик
C-20A霰弹步枪	Карабин C-20А
常胜狙击枪	Непокорный стрелок
单分子光刀	Мономолекулярный меч
引力子步枪	Гравитонная винтовка
地狱火飞弹发射器	Ракетные установки «Адское пламя»
T800型火炮	Орудие T800
火焰喷射器	Огнемет
被感染的利爪	Зараженные когти
电磁枪	Винтовка Гаусса
虫群形态 永久	Постоянный вирусный рой
虫群形态	Облачное рассеивание
萤火虫飞弹	Ракеты «Светлячок»
亚顿之矛 母舰 线型攻击	SOAMothershipLineAttack
弧光震击炮	Осадная пушка «Радуга»
喷吐	Плевок
酸涌	Выброс кислоты
感染火炮	Зараженная пушка
触须	Щупальца
腐液火炮	Желчные пушки
血球	Кровавая сфера
切换激光炮组	Переключение лазерных батарей
机炮	Автоматическая турель
蜜语说服者	«Доброе слово»
硫磺MK.I型火焰喷射器	Огнемет «Геенна-1»
C-10b型霰弹步枪	Карабин C-10b
流星碎击者	Метеоруб
K13“响尾蛇”榴弹发射器	Гранатомет К-13 «Клык»
交涉者	«Дипломаты»
20毫米电磁炮	20-мм пушка Гаусса
AGR-17型电磁枪	Винтовка Гаусса AGR-17
小汤姆	«Малютка Том»
大汤姆	«Здоровяк Том»
相位轰击	Фазовый бластер
超维空间光束	Тессерактовый луч
粒子碎裂炮	Нейтронные расщепители
歼灭炮	Аннигиляционная пушка
恶灵轰击	Удар призрака
ZeratulSuppressionCrystalDummyWeapon	ZeratulSuppressionCrystalDummyWeapon
熵能射线	Энтропийный луч
必须放置在能量场	Необходимо размещать в энергетическом поле
无法以不能运输的物体为目标	Целью не могут быть неперемещаемые боевые единицы.
必须以不能运输的物体为目标	Целью могут быть только неперемещаемые боевые единицы.
没有足够的异虫生物质	Недостаточно биомассы зергов.
巢穴	логово
不能运输	неперемещ.
轰炸突袭	Bombing Run
Command Bio-Dome Train	Command Bio-Dome Train
投放自动机炮	Place Auto Turret
放置磁轨炮塔	Place Railgun Turret
狙击	Snipe
战机机库	Fighter Hanger
Ghost Alt Detector Cone Enter	Ghost Alt Detector Cone Enter
Ghost Alt Detector Cone Exit	Ghost Alt Detector Cone Exit
Ghost Detector Cone Enter	Ghost Detector Cone Enter
Ghost Detector Cone Exit	Ghost Detector Cone Exit
被感染的可感染兵营训练	Infested Infestable Barracks Train
被感染的可感染因子	Infested Infestable Factor
生成收割者蜘蛛雷	Make Reaper Spider Mines
变形为悬浮恶蝠	Morph To Hover Hellbat
变形为悬浮恶火	Morph To Hover Hellion
NovaAlarmBotEMP	NovaAlarmBotEMP
探测模式与目视模式	Toggle Detection/Vision Mode
摧毁声呐无人机	Destroy Sonar Drone
诺娃 休伯利安号 战术跳跃	Nova Hyperion Jump
拦截机机库	Interceptor Hangar
折跃	Вызов
诺娃飞船发射所有武器	Nova Ship Fire All Weapons
瞄准EMP	Target EMP
地铁运输	Subway Transport
切换被暴露	Toggle Exposed
NovaXanthosRocketBarrage	NovaXanthosRocketBarrage
天启	Откровение
放置生物机械修理无人机	Place Bio-Mechanical Repair Drone
收割者队列3	Reaper Queue3
收割者蜘蛛雷重新定向	Reaper Spider Mines Redirect
RotatingTurretActiveMorphIssueOrderCP	RotatingTurretActiveMorphIssueOrderCP
RotatingTurretActiveParent	RotatingTurretActiveParent
RotatingTurretActiveSCCW	RotatingTurretActiveSCCW
RotatingTurretActiveSCW	RotatingTurretActiveSCW
RotatingTurretPassiveParent	RotatingTurretPassiveParent
RotatingTurretPassiveSCCW	RotatingTurretPassiveSCCW
RotatingTurretPassiveSCW	RotatingTurretPassiveSCW
侦测无人机锁定取消	Sensor Drone Lock On Cancel
大和排炮	Side Yamato Gun
喷气背包重新部署	Jump Jet Redeploy
激光束	Laser Beam
飞弹弹幕	Missile Barrage
电力开关	Power Switch
超级强化剂重新定向基地	Super Stimpack Redirect Base
强化剂注射	Впрыск стимуляторов
复活完成	Оживление завершено.
离子力场	Ионное силовое поле
禁用技能复制	Disable Abils Copy
巨型EMP反隐形	Гигантский ЭМИ – снятие маскировки
Map Wide Sonar - Search Behavior	Map Wide Sonar - Search Behavior
抑制隐形	Запрет маскировки
不可阻挡	Неудержимость
开图器	Обнаружитель
Revealer Warm Up	Подготовка обнаружителя
害怕	Испуг
蜂群手雷	Граната Роя
Vulture Laid Mine	Мина «Стервятника»
诺娃刚被一枚EMP弹击中不久，短时间内无法再隐形。	Нова недавно попала под действие ЭМИ, поэтому некоторое время не может использовать маскировку.
该单位正在吸收对其造成的部分伤害。	Эта боевая единица поглощает часть наносимого ей урона.
该单位不会攻击敌方单位，除非被命令这么做。	Эта боевая единица не станет атаковать противника без приказа.
诺娃刚被一枚巨型EMP弹击中不久，耗尽了她的所有能量。	Нова недавно попала под действие гигантского электромагнитного импульса, который оставил ее без энергии.
斯通刚刚被一枚EMP弹击中，他在短时间内无法隐形。	Стоун недавно попал под действие ЭМИ, поэтому некоторое время не может использовать маскировку.
对攻击和技能免疫	Невосприимчивость к любым атакам и способностям
斯通正在吸收对其造成的伤害，他对精神控制效果免疫。	Стоун поглощает наносимый ему урон и невосприимчив к эффектам подчинения.
该单位暂时无法隐形。	Эта боевая единица не сможет замаскироваться в течение некоторого времени.
该单位对减速、昏迷以及精神控制免疫。	Эта боевая единица невосприимчива к парализации, оглушению и подчинению.
诺娃正在吸收对其造成的部分伤害。	Нова поглощает часть наносимого ей урона.
该单位正在持续恢复生命。	Эта боевая единица постепенно восстанавливает прочность.
该单位正在恐惧中瑟瑟发抖。	Эта боевая единица дрожит от страха.
该单位在超级强化剂效果下，移动和攻击速度更快了。	Под действием суперстимуляторов эта боевая единица перемещается и атакует быстрее.
斯通的攻击和移动速度大幅提高。斯通正在持续治疗生命值。	Скорость передвижения и атаки Стоуна значительно увеличена. Здоровье Стоуна восстанавливается со временем.
该单位受到减速效果，并且无法攻击或使用消耗能量的技能。	Боевая единица замедлена, не может атаковать и использовать способности, требующие энергии.
冲击波导弹巢	Ракетная батарея «Шквал»
部署磁轨炮塔	Разместить электромагнитную турель
建筑塌陷	Разрушить строение
建筑探险撤销	Отменить разрушение строения
将圣坛变为枯竭	Состояние источника: выработан
将圣坛变为流动状	Состояние источника: действует
出生旧版后虫	Породить стандартную королеву
EMP冲击	ЭМИ
侦测器锥形范围开启	Сектор действия детектора включен
侦测器锥形范围关闭	Сектор действия детектора выключен
人类保卫者实验室大门 窄 默认关闭	Лабораторная дверь ЗЧ – тонкая – закрыта по умолчанию
人类保卫者实验室大门 窄 默认打开	Лабораторная дверь ЗЧ – тонкая – открыта по умолчанию
人类保卫者实验室大门 宽 默认关闭	Лабораторная дверь ЗЧ – широкая – закрыта по умолчанию
人类保卫者实验室大门 宽 默认打开	Лабораторная дверь ЗЧ – широкая – закрыта по умолчанию
[PH] Efficiency Module	Модуль повышения эффективности
[PH] Fast Build	Быстрая постройка
优化后勤	Продуманная логистика
建造悬浮恶蝠	Построить парящий «Геллитрон»
悬浮恶火模式	«Геллион» – режим парения
建造悬浮恶火坦克	Построить парящий защитный «Геллион»
悬浮坦克模式	Танк – режим парения
战术跳跃前往	Гиперпрыжок в конечную точку
战术跳跃离开	Гиперпрыжок из исходной точки
孵化易爆感染体	Породить взрывного зараженного
内置科技模块	Технический модуль
进入地铁	Войти в метро
多任务MAF伺服器	Универсальные магнитные приводы
切换探测模式与目视模式	Переключение режимов обнаружения и обзора
目视模式	Режим обзора
探测模式	Режим обнаружения
取消绊索	Заграждение – отмена
摧毁无人机	Уничтожить модуль
解除无敌护盾	Выключить непробиваемый щит
激活无敌护盾	Включить непробиваемый щит
目标EMP	Цель ЭМИ
暴露模式	Режим уязвимости
隐匿模式	Режим скрытности
NovaXanthosLaserFire	NovaXanthosLaserFire
关闭维修模式	Режим ремонта (выкл.)
开启维修模式	Режим ремонта (вкл.)
关闭行驶模式	Режим движения (выкл.)
开启行驶模式	Режим движения (вкл.)
电力关闭	Отключение
电力开启	Включение
研究快速部署	Разработать быструю высадку
重设炮塔	Перезапуск турели
训练士兵	Обучить штурмовика
装填蜘蛛雷	Перезарядка паучьих мин
孵化畸变体	Создать аберрацию
孵化被感染的医疗兵	Создать зараженного медика
孵化被感染的人类	Породить зараженного террана
孵化感染者	Создать заразителя
转动炮塔	Повернуть турель
离开地铁	Выйти из метро
女妖发射多枚飞弹进行直线轰炸。	«Банши» стреляют ракетными очередями, поражая цели, находящиеся на прямой.
恶蝠与恶火对轻甲单位造成的伤害提高10点。	«Геллитроны» и «Геллионы» наносят 10 ед. дополнительного урона легким боевым единицам.
使用猎杀飞弹武器替换猎杀飞弹技能，可自动攻击敌方单位且不会消耗能量。	Преобразует ракеты «Гончая» из активируемой способности в ракетную установку, которая автоматически атакует противников и не расходует энергию.
收割者的攻击对建筑造成大量伤害。	Атаки головорезов наносят увеличенный урон строениям.
战列巡航舰可以同时攻击最多4个目标。	Крейсеры могут атаковать до 4 целей одновременно.
使对空武器的射程提高3，地面武器的射程提高1。	Увеличивает дальность атаки по воздушным войскам на 3, а по наземным — на 1.
战术打击飞行器。可以使用隐形技能。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Ударный вертолет. Может использовать маскировку.<n/><n/><c val="#ColorAttackInfo">Атакует только наземные цели.</c>
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 收割者<n/>- 使SCV可以建造地堡	Тренировочный комплекс пехоты. <n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– обучение морпехов<n/>– обучение головорезов<n/>– постройка бункеров с помощью КСМ
治疗一名友方生物或机械目标。<n/><n/><c val="f078ff">每秒治疗<d ref="Effect,HealingDroneHeal,RechargeVitalRate[0]"/>点生命值。</c>	Применяется к дружественным органическим и механическим боевым единицам.<n/><n/><c val="f078ff">Восстанавливает <d ref="Effect,HealingDroneHeal,RechargeVitalRate[0]"/> ед. здоровья или прочности в секунду.</c>
步兵研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 劫掠者	Позволяет разрабатывать улучшения для пехоты. Построенную лабораторию можно состыковать с любым производственным строением.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– обучение мародеров
战车研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 攻城坦克	Позволяет разрабатывать улучшения для наземной техники. Построенную лабораторию можно состыковать с любым производственным строением.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– производство осадных танков
塔达林圣坛已经枯竭。	Вы уже извлекли весь терразин из этого алтаря.
蒙大拿F200。它不只是货运卡车，它是蒙大拿F200。	Это не просто грузовик. Это «Монтана F200».
塔达林阵营<n/>终极星灵舰船。装备有无敌护盾、航母拦截机，并且可以使用热能射线枪。<n/><n/><c val="ffff8a">可以对空和对地。</c>	Талдаримы<n/>Мощнейшее судно протоссов. Оснащено непробиваемым щитом и перехватчиками. Может использовать способность «Термальный луч».<n/><n/><c val="ffff8a">Атакует наземные и воздушные войска.</c>
使该单位隐形，防止敌方发现或攻击该单位。隐形后的单位只会被侦测单位或侦测效果发现。<n/><n/><c val="f078ff">每秒消耗<d ref="-1 * (Behavior,ReaperCloak,Modification.VitalRegenArray[2] + Unit,Reaper,EnergyRegenRate)" precision="1"/>点能量。</c>	Скрывает боевую единицу, делая ее невидимой для врагов. Замаскированная боевая единица может быть выявлена только с помощью детекторов или обнаруживающих эффектов.<n/><n/><c val="f078ff">Расходует <d ref="-1 * (Behavior,ReaperCloak,Modification.VitalRegenArray[2] + Unit,Reaper,EnergyRegenRate)" precision="1"/> ед. энергии в секунду.</c>
使该单位隐形，防止敌方发现或攻击该单位。隐形后的单位只会被侦测单位或侦测效果发现。<n/><n/><c val="f078ff">每秒消耗<d ref="-1 * (Behavior,LiberatorCloak,Modification.VitalRegenArray[2] + Unit,Liberator,EnergyRegenRate)" precision="1"/>点能量。</c>	Скрывает боевую единицу, делая ее невидимой для врагов. Замаскированная боевая единица может быть выявлена только с помощью детекторов или обнаруживающих эффектов.<n/><n/><c val="f078ff">Расходует <d ref="-1 * (Behavior,LiberatorCloak,Modification.VitalRegenArray[2] + Unit,Liberator,EnergyRegenRate)" precision="1"/> ед. энергии в секунду.</c>
收割者处于永久隐形状态。	Головорез обладает постоянной маскировкой.
该女妖处于永久隐形状态。	«Банши» обладает постоянной маскировкой.
安保机器人。侦测附近的隐形单位，发射EMP弹使其显形。	Модуль безопасности. Обнаруживает находящиеся поблизости замаскированные боевые единицы и открывает их местоположение, поражая электромагнитным импульсом.
瓦利·马德森1500型轻便摩托车。御风而行。	«Варли-Мэтесон 1500». Прокатись с ветерком.
给幽灵提供一道护盾，降低其受到的伤害，直至吸收总共<d ref="Behavior,DOMGhostPersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/>点伤害为止。护盾持续<d time="20"/>。	Укрывает призрака щитом, уменьшающим весь получаемый урон до тех пор, пока щит не поглотит в общей сложности <d ref="Behavior,DOMGhostPersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/> ед. урона. Щит существует в течение <d time="20"/>.
制造恢复剂，使用时可对诺娃及其周围的友方单位恢复生命值和能量值。	Создает восстанавливающие заряды, которые восполняют здоровье и энергию Нове и находящимся рядом союзным боевым единицам.
研发领域的专家。	Специалист по исследованиям и разработкам.
通过精确瞄准，幽灵可以发射一枚<d ref="Effect,DOMSnipeDamage,Amount"/>点伤害的狙击弹。伤害无视护甲。<n/><n/><c val="#ColorAttackInfo">只能对生物单位使用。</c>	После тщательного прицеливания призрак делает выстрел, наносящий <d ref="Effect,DOMSnipeDamage,Amount"/> ед. урона. Выстрел пробивает броню. <n/><n/><c val="#ColorAttackInfo">Целью могут быть только органические боевые единицы.</c>
专业支援单位。可以使用吞噬、黑暗虫群和瘟疫。	Специализированная боевая единица поддержки. Может использовать способности «Поглощение», «Темный рой» и «Чума».
蜘蛛雷会对进入范围的敌方单位进行追击，引爆后可造成大量范围伤害。潜地的蜘蛛雷只能被敌人的<c val="FFE303">侦测单位</c>发现。	Паучьи мины преследуют врага и взрываются, нанося большой урон по области. Закопанные мины можно выявить только с помощью <c val="FFE303">детекторов</c>.
巨型人类战列巡航舰。在维修期间没有任何防御力。	Гигантский крейсер терранов. Уязвим для атак противника, пока продолжается ремонт.
[PH] Cooldown costs -50%	50% сокращение времени восстановления
[PH] Energy costs -50%	50% снижение расхода энергии
临时被作为应急掩体使用的一座颠球体育场。	Падбольный стадион, ныне используется в качестве убежища.
废弃的尤摩扬采矿设备。	Заброшенное горнодобывающее оборудование умоджанцев.
战车生产设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 恶蝠	Завод по производству наземной техники.<n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– производство «Геллитронов»
[PH] Reduces build time of this unit by 67%.	Время строительства этой боевой единицы сокращено на 67%
大幅缩短建造歌利亚所需时间。	Значительно сокращает время постройки «Голиафов».
大幅缩短训练恶蝠所需时间。	Значительно сокращает время постройки «Геллитронов».
大幅缩短建造解放者所需时间。	Значительно сокращает время постройки «Освободителей».
大幅缩短训练陆战队员所需时间。	Значительно сокращает время обучения морпехов.
自动化防御建筑。使用火焰压制清扫周围区域。</n><n/><c val="FFE303">侦测单位</c>	Автоматизированное оборонительное сооружение. Вращается вокруг своей оси, испуская струи пламени.</n><n/><c val="FFE303">Детектор</c>
星灵已成功封闭了这座塔达林圣坛。您无法继续对其进行采集。	Протоссам удалось запечатать этот алтарь. Теперь он недоступен.
帝国将军。人类保卫者领袖。	Генерал Доминиона и лидер «Защитников человечества».
狙击手。能够使用EMP弹和狙杀技能，升级后可以使用隐形技能。能够对幽灵军校发动的聚变打击进行制导。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Снайпер. Может использовать снайперский выстрел, ЭМИ-патроны и маскировку (после соответствующего улучшения). Указывает цели для ядерных ракет, производимых в академии призраков.<n/><n/><c val="#ColorAttackInfo">Атакует наземные и воздушные цели.</c>
隐秘行动训练设施。可以为诺娃制造聚变弹。	Тренировочная база секретных агентов. Производит ядерные ракеты.
