非晶态装甲云	無定型防護雲
在不知疲倦的刻苦钻研下，帝国科学家们成功复制出了艾贡·斯台特曼的离子力场原型机，并且进行了更加合理的人机化重新设计。不再需要结合机械体才能使用了。	感謝自治聯盟科學家不眠不休地研發，他們已經重現了伊崗‧斯特曼之前製作的離子力場。在此之外還加以改造，在部署和操作方面更人性化，不需要依賴機械進行控制整合。
<s val="NovaMissionRewardsTooltipTitle">离子力场</s><n/><s val="NovaMissionRewardsTooltipSubtitle">给诺娃提供一道护盾，持续<d time="10"/>，每次受到攻击吸收<d ref="Behavior,PersonalDefensiveMatrix,DamageResponse.ClampMaximum"/>点伤害，最多吸收<d ref="Behavior,PersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/>点伤害。</s>	<s val="NovaMissionRewardsTooltipTitle">離子力場</s><n/><s val="NovaMissionRewardsTooltipSubtitle">為諾娃提供一個護盾，持續<d time="10"/>。每次受到攻擊時護盾會吸收<d ref="Behavior,PersonalDefensiveMatrix,DamageResponse.ClampMaximum"/>點傷害，最多<d ref="Behavior,PersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/>點傷害</s>。
以诺娃为中心，显示<d ref="Behavior,NovaHelmetGhostVisorDetector,Modification.Radar"/>范围内敌方单位的位置。可以侦测隐形和潜地单位。	以諾娃為中心，顯示附近<d ref="Behavior,NovaHelmetGhostVisorDetector,Modification.Radar"/>格內敵方單位的所在位置。可以偵測匿蹤或遁地的單位。
幽灵面罩可以将重要的任务情报呈现给战场上的幽灵特工。每一个面罩还配备了个人扫描系统，使其佩戴者随时都能获知战场最新情况。	幽靈顯示鏡能為戰場上的幽靈特務提供與任務相關的關鍵情報。顯示鏡也都配有個人掃描系統，隨時替穿戴者回報當前的戰況。
这副测距护目镜搭载了精密的光学仪器和三角测量仪，是狙击手们最青睐的装备，能让他们从非常远的距离发现并狙击敌人。	這副測距護目鏡搭載了精準光學與三角測量定位，是狙擊手夢寐以求的裝備，讓他們可以在很遠的距離之外發現並狙擊敵人。
[PH] Sensor Visor	感應顯示鏡
使诺娃的视野及其非近战类武器的射程提高2。诺娃的近战类武器的射程提高1。	諾娃的視野範圍以及非近戰武器的攻擊距離提高2格，近戰武器的攻擊距離提高1格。
这副测距透镜搭载了精密的光学仪器和三角测量仪，是狙击手们最青睐的装备，能让他们从非常远的距离发现并狙击敌人。	這副測距顯示儀搭載了精準光學與三角測量定位，是狙擊手夢寐以求的裝備，讓他們可以在很遠的距離之外發現並狙擊敵人。
测距透镜	測距顯示儀
<s val="NovaMissionRewardsTooltipTitle">测距透镜</s><n/><s val="NovaMissionRewardsTooltipSubtitle">扩大诺娃的视野及其非近战类武器的射程。</s>	<s val="NovaMissionRewardsTooltipTitle">測距顯示儀</s><n/><s val="NovaMissionRewardsTooltipSubtitle">提高諾娃的視野範圍以及非近戰武器的攻擊距離。</s>
允许诺娃控制目标敌方单位。同一时间只能控制一名敌方单位。效果持续直至取消。冷却时间会在效果取消后开始生效。	讓諾娃可以控制目標敵方單位，一次只能控制一個敵方單位。效果持續到取消為止，取消時開始計算冷卻時間。
精神控制是幽灵军校招募新兵时最为看重的一项能力。脑控面罩就是经过校准的专门用于隔离这些天才，并且大幅增强他们脑波强度的装备。在执行缺乏内应的渗透行动时，具有不可替代的作用。	心靈控制是幽靈特務學院新兵最想學會的技能。支配顯示鏡經過精密調整，特別針對有天分的人，讓他們的能力以指數等級成長。在沒有臥底接應的情況下，這種顯示鏡在入侵行動中特別有用。
脑控面罩	支配顯示鏡
潜行服	匿蹤套裝
感知面罩	感應顯示鏡
可以开启永久隐形的轻量化护甲。+150生命值, +1护甲, +0.25移动速度。	可讓穿戴者永久匿蹤的輕型裝甲。生命值提高150點、裝甲值提高1點，並且移動速度提高0.25。
专为幽灵特工在深入敌后执行极度危险任务时而使用的战术潜行服，能让使用者在不影响灵能能量的情况下永久隐形。	特別為潛入敵營或進行危險任務的幽靈特務所研發的戰術匿蹤套裝，可使穿戴者永久匿蹤而不會干擾其幽能。
战术潜行服	戰術匿蹤套裝
让诺娃可以跨越悬崖地形的耐用型护甲。+250生命值, +2护甲, +0.5移动速度。穿戴时不能隐形。	讓諾娃可跳上或跳下山崖的堅固裝甲。生命值提高250點、裝甲值提高2點，並且移動速度提高0.5。穿戴時無法匿蹤。
原本是为民用建造工程而研发设计的涡轮喷射飞行服，其搭载的推进器和势能吸收护甲能让使用者在快速攀越峭壁的同时不会受到伤害。	渦輪噴射服最初是為了民用建築工程所開發，它具備了推進器及動量吸收裝甲，讓使用者能迅速攀上陡峭的山崖而不會受傷。
涡轮喷射飞行服	渦輪噴射服
[PH] Through use of specialized nanomachines, the user is granted higher damage resistance and movement abilities. Deadmans nuke sold separately.	使用者可以用奈米機械提高對傷害的抗性或移動能力。可選購亡人港核彈。
[PH] Predator Battlesuit	獵殺者戰鬥套裝
灵能扩增服。+200生命值, +1护甲, +0.25移动速度, +100能量。能量恢复速度提高50%。装备后可以隐形。	幽能強化戰鬥服。生命值提高200點，裝甲值提高1點，移動度提高0.25，能量值提高100點。能量恢復速度提高50%。穿戴時可匿蹤。
在微型阿波罗反应堆的基础上研制而来的阿波罗步兵服，将自身能量输出和储备转移给穿戴它的幽灵，从而不仅能延长潜行时间，还能强化灵能突击能力。	這套阿波羅步兵戰鬥服以微型阿波羅反應爐為基礎來構思，穿上它的幽靈特務可強化能量的輸出與儲存的能量值。在戰術應用上不但能夠延長匿蹤時間，還能提高幽能突襲的力道。
阿波罗步兵服	阿波羅步兵戰鬥服
<s val="NovaMissionRewardsTooltipTitle">阿波罗步兵服</s><n/><s val="NovaMissionRewardsTooltipSubtitle">提高诺娃的最大能量值及其能量恢复速度。</s>	<s val="NovaMissionRewardsTooltipTitle">阿波羅步兵戰鬥服</s><n/><s val="NovaMissionRewardsTooltipSubtitle">提高諾娃的最大能量值和能量恢復速度。</s>
原型传送作战服。增加+200点生命，+1护甲，+0.25移动速度。允许诺娃传送至附近一处目标位置。传送后可以隐形<d ref="Behavior,NovaArmorBlinkSuitBlinkCloaked,Duration"/>秒。	原型傳送戰鬥服。生命值提高200點，裝甲值提高1點，移動度提高0.25。讓諾娃可以傳送到附近目標地點，諾娃在傳送後會匿蹤<d ref="Behavior,NovaArmorBlinkSuitBlinkCloaked,Duration"/>秒。
帝国科学家们改进了战术跳跃技术，将其实现成了类似于星灵追猎者的传送能力。激活该设备还会莫名地产生一道临时的隐形场，尽管这一功能有点出人意料，但所有人都认为这是一个美好的意外。	自治聯盟科學家修改了戰術躍傳的技術，讓它與神族追獵者的傳送能力更加相似。啟動裝置之後還會產生一個暫時的匿蹤力場，雖然是個意外，但這樣的發展大家都很滿意。
<s val="NovaMissionRewardsTooltipTitle">相位反应堆战服</s><n/><s val="NovaMissionRewardsTooltipSubtitle">原型护甲。允许诺娃传送至附近一处目标位置。诺娃在传送后会进入短暂的隐形状态。</s>	<s val="NovaMissionRewardsTooltipTitle">相位反應爐戰鬥服</s><n/><s val="NovaMissionRewardsTooltipSubtitle">這件原型裝甲可以讓諾娃傳送到附近目標地點，諾娃在傳送之後會暫時匿蹤。</s>
狙击步枪。可以远距离使用狙杀对目标造成<d ref="Effect,NovaWeaponCanisterRifleSnipe,Amount"/>点伤害。可以对地和对空。	狙擊步槍。可使用狙擊對遠距的目標敵方單位造成<d ref="Effect,NovaWeaponCanisterRifleSnipe,Amount"/>點傷害。可攻擊地面及空中單位。
C-20A是一款多用途武器，具备强大的远程狙击能力，也可以用于中程火力对抗。它改良了C-10标准型步枪的缺点，提高了多个方面的性能。	C-20A是多功能的武器，具備強大的遠程狙擊功能，也可用於中程的戰鬥。它改良了C-10標準型號的缺點，各方面的性能表現也經過大幅強化。
短程霰弹枪。对前方弧形区域内造成伤害。可以使用穿透爆弹对弧形区域内的敌人造成<d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount"/> (<d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount + Effect,NovaWeaponHellfireShotgunBlastDamage,AttributeBonus[Light]"/> 对轻甲)点伤害。可以对地。	近程霰彈槍。能對前方扇形區域內的敵人造成傷害。可使用穿甲轟擊對扇形區域內的敵人造成<d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount"/>（對輕甲單位額外造成<d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount + Effect,NovaWeaponHellfireShotgunBlastDamage,AttributeBonus[Light]"/>）點傷害。可攻擊地面單位。
专为阻断步兵而设计的地狱火霰弹枪，先在内部引爆微型炸药，然后将爆炸冲击力传导到加固的枪口，对前方弧形区域喷射出毁灭性烈焰。	獄焰霰彈槍是專門為阻擾步兵而設計的高效武器，原理是先在槍管內部引發小型爆炸，再讓爆炸通過經過強化的槍口，對前方的扇型區域噴出致命的烈焰。
近战武器。无视敌方护甲和护盾。可以使用突杀疾冲一小段距离，对沿途敌人造成<d ref="Effect,NovaPsiStrikeDamage,Amount"/>点伤害。可以对地。	近戰武器，能無視敵人的裝甲與護盾值。諾娃可向前衝鋒一小段距離，對路徑上的敵方單位造成<d ref="Effect,NovaPsiStrikeDamage,Amount"/>點傷害。可攻擊地面單位。
实验性单分子光刀可利用佩戴者的灵能能量将刀锋变得薄如分子、锋利无比，使其既能劈开物理护甲也能划破能量护盾。	實驗性的分子光刀會利用使用者的幽能，使刀鋒邊緣變得薄如分子，鋒利至極，可切穿物理裝甲以及能量護盾。
高功率能量武器。将敌人融化成一团超高温度的等离子体，并对周围的敌人造成伤害。可以使用等离子射击对单位造成伤害，产生额外的等离子体。	高功率能量武器，可以將目標加熱為超高溫的電漿，並對周圍敵方單位造成傷害。可以使用電漿射擊對敵人造成傷害，並產生額外的電漿。
通常被作为重型火炮部署的等离子武器，具有携带方便和火力强大的特点。由于存在多种安全性因素，强烈建议只有受过适当训练的一线特工装备这种实验性武器。	電漿武器火力強大，一般被視為重型火砲，但是卻輕巧便於攜帶。基於安全考量，強烈建議只有受過完善訓練、擁有實戰經驗的特務才能配備這種實驗性軍用武器。
等离子步枪	電漿步槍
<s val="NovaMissionRewardsTooltipTitle">等离子步枪</s><n/><s val="NovaMissionRewardsTooltipSubtitle">高功率能量武器。将敌人融化成一团超高温度的等离子体，并对周围的敌人造成伤害。</s>	<s val="NovaMissionRewardsTooltipTitle">電漿步槍</s><n/><s val="NovaMissionRewardsTooltipSubtitle">高輸出能量武器。能把敵人融化成一攤高熱電漿，對周圍的敵方單位造成傷害。</s>
多用途远近兼用型武器。攻击造成范围伤害。可以使用怒剑击，对一个大范围区域内的多名敌人造成多次攻击。可以对空和对地。	泛用型近戰與遠程武器，攻擊時會造成範圍傷害。可以使用狂烈斬對廣大目標範圍內的敵人造成多次傷害。可以攻擊地面和空中單位。
被认为是严重不合常规的闪焰枪刃，代表了枪械师队伍中的一个流派。他们主张完美的武器必须要能适用于任何类型的战斗。基于枪剑两用而设计的这把武器，只有具备极高武术造诣的人才能做到物尽其用。	熾火槍刃非常與眾不同，它代表了其中一派製槍工匠的思維，就是完美的武器要在所有情況下都有良好的表現。融合了槍和刀的設計之後，只有武藝最精湛的高手才能駕馭它。
闪焰枪刃	熾火槍刃
头盔护目镜	頭盔護目鏡
给收割者装备D-8型炸药，提高他们在攻击建筑时的伤害。	替死神配備D-8炸藥，提高他們對建築物造成的傷害。
给恶蝠和恶火装备地狱火预燃器，提高他们对轻甲单位造成的伤害。	替戰狼和惡狼配備地獄預燃器，提高他們對輕甲單位造成的傷害。
给女妖装备冲击波导弹巢，提升他们的攻击能力，对一条直线上的多个目标造成伤害。	替女妖轟炸機配備衝擊波飛彈發射器，提高他們對一直線上的敵人所造成的傷害。
特制军品	特殊軍備
<s val="NovaMissionRewardsTooltipTitle">特制军品</s><n/><s val="NovaMissionRewardsTooltipSubtitle">升级单位的武器，使其获得额外功能。</s>	<s val="NovaMissionRewardsTooltipTitle">特殊軍備</s><n/><s val="NovaMissionRewardsTooltipSubtitle">升級單位配備的武器，獲得額外功能。</s>
允许女妖可以在没有附属科技实验室的星港中进行建造。	不需附屬科技實驗室即可於星際港建造女妖轟炸機。
允许铁鸦可以在没有附属科技实验室的星港中进行建造。	不需附屬科技實驗室即可於星際港建造渡鴉。
允许战列巡航舰可以在没有附属科技实验室的星港中进行建造。	不需附屬科技實驗室即可於星際港建造戰巡艦。
恶蝠可以在恶蝠模式下将他们自己朝敌方地面单位发射过去。接触敌人时会将敌人短暂击晕。	戰狼在戰狼模式時，可以將自己往附近的敵方地面單位發射。遭到撞擊的敵人會短暫昏迷。
使攻城坦克在任何模式下都可以自行调整位置抵达目标区域。可以用来跨越悬崖地形。	讓攻城坦克可在任何模式下前往目標地點。可用來跳上及跳下山崖。
允许歌利亚武装机器人跨越悬崖地形。	讓巨人可跳上或跳下山崖。
喷气背包科技	噴射推進器
使收割者的视野提高2，武器射程提高1。	死神的視野提高2格，並且攻擊距離提高1格。
使陆战队员的视野提高2，武器射程提高1。	陸戰隊的視野提高2格，並且攻擊距離提高1格。
使歌利亚武装机器人的对空武器射程提高3，对地武器射程提高1。	巨人對空武器的距離提高3格，對地武器距離提高1格。
使劫掠者的视野提高2，武器射程提高1。	掠奪者的視野提高2格，並且攻擊距離提高1格。
给陆战队员装备一件额外武器，每<d ref="Abil,MagrailMunitionsMarine,Cost.Cooldown.TimeUse"/>秒对他们的目标造成<d ref="Effect,MagrailMunitionsDamage,Amount"/>点伤害。	替陸戰隊裝備額外的武器，每<d ref="Abil,MagrailMunitionsMarine,Cost.Cooldown.TimeUse"/>秒可對目標造成<d ref="Effect,MagrailMunitionsDamage,Amount"/>點傷害。
给劫掠者装备一件额外武器，每<d ref="Abil,MagrailMunitionsMarauder,Cost.Cooldown.TimeUse"/>秒对他们的目标造成<d ref="Effect,MagrailMunitionsDamage,Amount"/>点伤害。	替掠奪者裝備額外的武器，每<d ref="Abil,MagrailMunitionsMarauder,Cost.Cooldown.TimeUse"/>秒可對目標造成<d ref="Effect,MagrailMunitionsDamage,Amount"/>點傷害。
使用磁轨炮塔替换自动机炮，对一条直线上的敌方地面单位造成伤害。磁轨炮塔不能对空。	用磁軌砲台取代自動砲台，對直線路徑上所有敵方地面單位造成傷害。磁軌砲台無法攻擊空中單位。
给歌利亚武装机器人装备额外的武器，每秒对其目标造成<d ref="Effect,MagrailMunitionsDamage,Amount"/>点伤害<d ref="Abil,MagrailMunitionsGoliath,Cost.Cooldown.TimeUse"/>。该技能只能对空中单位使用。	替巨人配備額外武器，每<d ref="Abil,MagrailMunitionsGoliath,Cost.Cooldown.TimeUse"/>秒對目標造成<d ref="Effect,MagrailMunitionsDamage,Amount"/>點傷害。此技能只能以空中單位為目標。
<s val="NovaMissionRewardsTooltipTitle">磁轨武器</s><n/><s val="NovaMissionRewardsTooltipSubtitle">给单位装备额外一项武器，对单位的目标周期性造成伤害。</s>	<s val="NovaMissionRewardsTooltipTitle">磁軌武器</s><n/><s val="NovaMissionRewardsTooltipSubtitle">替單位加裝額外武器，每隔一段時間就會對該單位的目標造成傷害。</s>
允许恶蝠在恶火模式状态下实现行进射击。恶蝠在不同模式之间的转换速度提高四倍。	讓戰狼在惡狼模式下可邊移動邊進行攻擊。戰狼切換模式的速度提高4倍。
允许解放者在不同模式之间的转换速度提高四倍。	讓解放者切換模式的速度提高4倍。
使攻城坦克在不同模式之间的转换速度提高四倍。	讓攻城坦克切換模式的速度提高4倍。
<s val="NovaMissionRewardsTooltipTitle">智能伺服器</s><n/><s val="NovaMissionRewardsTooltipSubtitle">提高装备该科技的单位的变形速度。</s>	<s val="NovaMissionRewardsTooltipTitle">智能傳動</s><n/><s val="NovaMissionRewardsTooltipSubtitle">裝備後，降低單位的變形時間。</s>
脱离战斗后以每秒恢复<d ref="Behavior,RegenerativeBioSteelSiegeTank,Modification.VitalRegenArray[Life]"/>点生命值的速度自动修复攻城坦克。	攻城坦克脫離戰鬥後，每秒自動修復<d ref="Behavior,RegenerativeBioSteelSiegeTank,Modification.VitalRegenArray[Life]"/>點生命值。
脱离战斗后以每秒恢复<d ref="Behavior,RegenerativeBioSteelBanshee,Modification.VitalRegenArray[Life]"/>点生命值的速度自动修复女妖战机。	女妖轟炸機脫離戰鬥後，每秒自動修復<d ref="Behavior,RegenerativeBioSteelBanshee,Modification.VitalRegenArray[Life]"/>點生命值。
脱离战斗后以每秒恢复<d ref="Behavior,RegenerativeBioSteelLiberator,Modification.VitalRegenArray[Life]"/>点生命值的速度自动修复解放者。	解放者脫離戰鬥後，每秒自動修復<d ref="Behavior,RegenerativeBioSteelLiberator,Modification.VitalRegenArray[Life]"/>點生命值。
脱离战斗后以每秒恢复<d ref="Behavior,RegenerativeBioSteelGoliath,Modification.VitalRegenArray[Life]"/>点生命值的速度自动修复歌利亚武装机器人。	巨人脫離戰鬥後，每秒自動修復<d ref="Behavior,RegenerativeBioSteelGoliath,Modification.VitalRegenArray[Life]"/>點生命值。
脱离战斗时每秒自动修复战列巡航舰<d ref="Behavior,RegenerativeBioSteelBattlecruiser,Modification.VitalRegenArray[Life]"/>点生命值。	戰巡艦脫離戰鬥後，每秒自動修復<d ref="Behavior,RegenerativeBioSteelBattlecruiser,Modification.VitalRegenArray[Life]"/>點生命值。
<s val="NovaMissionRewardsTooltipTitle">再生型生物钢</s><n/><s val="NovaMissionRewardsTooltipSubtitle">脱离战斗后自动修复装备该科技的单位。</s>	<s val="NovaMissionRewardsTooltipTitle">活性生化鋼鐵</s><n/><s val="NovaMissionRewardsTooltipSubtitle">單位會在脫離戰鬥後於一定時間內持續自我修復。</s>
部署型炸弹，敌人进入其瞄准射程后可自动追击敌方单位并爆炸，造成大量范围性伤害。	可部署的炸藥，會追擊進入鎖定攻擊範圍的敵方單位，引爆時造成大量範圍傷害。
部署型炸弹，敌人进入其瞄准射程后可自动追击敌方单位并爆炸，造成大量范围性伤害。替代猎杀飞弹。	可部署的炸藥，會追擊進入鎖定範圍的敵方單位，引爆時造成大量範圍傷害。取代導引飛彈。
提高移动和攻击速度，持续<d ref="Behavior,SuperStim,Duration"/>秒。治疗陆战队员<d ref="Effect,SuperStimpackMarineSetMU,VitalArray[Life].Change"/>点生命值。	提高攻擊與移動速度，持續<d ref="Behavior,SuperStim,Duration"/>秒。可替陸戰隊恢復<d ref="Effect,SuperStimpackMarineSetMU,VitalArray[Life].Change"/>點生命值。
提高移动和攻击速度，持续<d ref="Behavior,SuperStim,Duration"/>秒。治疗劫掠者<d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/>点生命值。	提高攻擊與移動速度，持續<d ref="Behavior,SuperStim,Duration"/>秒。可替掠奪者恢復<d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/>點生命值。
提高移动和攻击速度，持续<d ref="Behavior,SuperStim,Duration"/>秒。治疗恶蝠<d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/>点生命值。	提高攻擊與移動速度，持續<d ref="Behavior,SuperStim,Duration"/>秒。可替戰狼恢復<d ref="Effect,SuperStimpackMarauderHellbatSetMU,VitalArray[Life].Change"/>點生命值。
提高移动和攻击速度，持续<d ref="Behavior,SuperStim,Duration"/>秒。治疗收割者<d ref="Effect,SuperStimpackReaperSetMU,VitalArray[Life].Change"/>点生命值。	提高攻擊與移動速度，持續<d ref="Behavior,SuperStim,Duration"/>秒。可替死神恢復<d ref="Effect,SuperStimpackReaperSetMU,VitalArray[Life].Change"/>點生命值。
<s val="NovaMissionRewardsTooltipTitle">超级强化剂</s><n/><s val="NovaMissionRewardsTooltipSubtitle">治疗单位，并在短时间内提高其攻击和移动速度。</s>	<s val="NovaMissionRewardsTooltipTitle">超級戰鬥藥劑</s><n/><s val="NovaMissionRewardsTooltipSubtitle">為單位恢復生命值，並且暫時提高其攻擊速度和移動速度。</s>
允许解放者隐形。	讓解放者可以匿蹤。
允许女妖保持永久隐形。	讓女妖轟炸機永久匿蹤。
永久隐形收割者。	使死神永久匿蹤。
允许战列巡航舰隐形。	讓戰巡艦可以匿蹤。
高级隐形场	進階匿蹤力場
<s val="NovaMissionRewardsTooltipTitle">高级隐形场</s><n/><s val="NovaMissionRewardsTooltipSubtitle">允许装备的单位隐形或保持永久隐形。</s>	<s val="NovaMissionRewardsTooltipTitle">進階匿蹤力場</s><n/><s val="NovaMissionRewardsTooltipSubtitle">裝備後，讓單位永久匿蹤。</s>
[PH] Advanced Weaponry	先進裝備
[PH] Energy costs reduced by 20% for Ravens.	渡鴉的能量消耗降低20%。
[PH] Cooldowns decreased by 20% for Battlecruisers.	戰巡艦的冷卻時間降低20%。
缩短训练陆战队员所需时间。	減少訓練陸戰隊所需時間。
缩短建造解放者所需时间。	減少建造解放者所需時間。
缩短训练恶蝠所需时间。	減少訓練戰狼所需時間。
[PH] Builds faster!	提高建造速度！
帝国舰队中的戈尔贡级战舰服从诺娃的指挥。如果有区域即将被塔达林攻陷，可以呼叫他们驰援战场。	諾娃可以指揮自治聯盟的蛇女級戰巡艦隊。呼叫它們到戰場上清理塔達力姆掌控的區域。
帝国戈尔贡级战舰	自治聯盟蛇女級戰巡艦
战列巡航舰可以使用战术跳跃实现快速机动。利用好这一能力，及时派他们支援各处前线。	戰巡艦可以使用戰術躍傳快速移動，利用這個技能將戰巡艦部署在有需要的地方吧。
武器造成范围近战伤害和短程对空火力。允许诺娃使用怒剑击技能。	此武器可造成近戰範圍傷害以及短距離對空火力，並且讓諾娃可以使用狂烈斬技能。
(PH) Blazefire Gunblade	熾火槍刃
(PH) Advanced technology, allowing Nova to teleport to a designated location. Upon completion, Nova becomes temporarily cloaked.	進階科技，讓諾娃得以傳送至目標地點。傳送完成後諾娃會暫時獲得匿蹤效果。
(PH) Blink Suit	瞬移戰鬥服
(PH) Allows Nova to take control of a targeted enemy unit. Useful for causing distractions and tripping laser detectors, among other uses.	讓諾娃得以控制一個目標敵方單位，用來製造混亂或觸動雷射偵測器很有效。
(PH) Domination Visor	支配顯示鏡
(PH) The Dominion fleet is at Nova's command. Should an area of the battlefield become overwhelmed with Tal'darim, call upon a Gorgon Battlecruiser to help clear it out.	自治聯盟艦隊會聽從諾娃的指揮。如果戰場某一區快被塔達力姆攻陷，可以派遣蛇女級戰巡艦幫忙掃蕩敵人。
(PH) Dominion Fleet	自治聯盟艦隊
散布在四周的这些储物箱可以让诺娃更换装备，从而更好地应对不同的战场局势。	諾娃可以利用散落在各處的補給箱，因應戰況需求替換裝備。
装备储物箱	裝備補給箱
空优武器系统。发射多架既可对空也可以对地的自动化战机，可对空中单位造成额外伤害。	掌握空優的武器系統。它會放出自動駕駛戰機，攻擊敵方地面及空中單位。對空中單位造成額外傷害。
反步兵武器系统。造成溅射伤害，对轻甲单位造成额外伤害。可以对地。	反步兵武器系統。擴散傷害會對輕甲單位造成額外傷害。可以攻擊地面單位。
帝国的戈尔贡级战列巡航舰正在接受维修。它们一旦被摧毁将会沉重打击整个舰队的实力。必须全力保护。	自治聯盟的蛇女級戰巡艦需要維修。一旦遭到摧毀，會讓艦隊受到沉重打擊。一定要好保護它們。
戈尔贡维修间	戰巡艦維修站
人类保卫者部署的安保设备。可以在短时间内暴露任何触碰其激光射线的隐形单位，并解除其隐形能力。可以使用闪光雷使其暂时丧失功能。	人類守護組織設下的保全裝置，會暫時解除穿過雷射光束單位的匿蹤效果，同時使該單位無法使用匿蹤。可以使用閃光手榴彈暫時關閉。
激光绊索	雷射陷阱線
区域轰炸武器系统。发射多轮飞弹齐射，覆盖大片区域，同时对多个单位造成伤害。	區域轟炸武器系統。會朝大範圍區域發射大量火箭，同時對複數單位造成傷害。
反装甲武器系统。对单个目标造成高伤害，对重甲单位造成额外伤害。可以对空和对地。	反裝甲單位武器系統。可對單一目標遭成大量傷害，並對重甲單位造成額外傷害。可以攻擊地面和空中單位。
人类保卫者部署的反隐高科技无人机。任何被其侦测脉冲发现的隐形单位都会被一枚EMP弹击中并显形。	人類守護組織所使用的高科技自動化設備，可以將隱藏的威脅顯示出來。當偵測脈衝接觸到匿蹤單位時，會對其發射電磁脈衝，使其現形。
受戴维斯将军直接指挥的原型武器平台。可以装备多种毁灭性武器系统，能够在战斗间歇期间进行自我修复。	由戴維斯將軍操控的原型武器載具。能夠裝備許多破壞力強大的武器系統，並且能在戰鬥之間自行維修。
一种战术打击飞行器，使用火箭弹齐射轰击敌方地面单位。可以隐形实施袭扰攻击。	戰略狙擊機。可用火箭砲轟炸敵方地面部隊。可匿蹤來進行打帶跑戰術。
实验性武器，可以用于近战和远程攻击。允许诺娃使用怒剑击技能。	可以進行近戰和遠程攻擊的實驗性武器。讓諾娃可以使用狂烈斬技能。
原型战术作战服。允许诺娃传送小段距离。传送后会进入短暂的隐形状态。	原型戰術戰鬥服，讓諾娃可以進行短距離傳送。諾娃在傳送後可以暫時匿蹤。
诺娃在进行单人行动时，你无需控制你的部队。在她返回之前，战场环境会一直处于静止状态。	在諾娃隻身執行任務時，你不需要操控你的軍隊。外面的戰況在諾娃回來不會有任何變化。
单人行动	孤軍作戰
幽灵特工即使没有武器也一样危险致命。诺娃可以在近战范围内使用断颈立即消灭一名敌方单位。	就算沒有武器，幽靈特務依然相當致命。諾娃能利用斷頸立即殺死進入近戰範圍的敵方單位。
断颈	斷頸
诺娃的战术潜行服可以使其从敌人视野中消失。只有拥有<c val="FFE303">侦测</c>能力的单位才能发现她。	諾娃的戰術匿蹤套裝可讓她隱形於敵人之間。只有具備<c val="FFE303">偵測單位</c>技能的單位才能發現匿蹤的她。
阿拉纳克的挑战	亞拉瑞克的挑戰
死亡舰队正在对这座城市大开杀戒。必须阻止他们，不能让他们摧毁平民的避难应急掩体。	死亡艦隊正在毀滅這座城市，一定要在他們抵達平民避難的場所之前阻止他們。
死亡舰队	死亡艦隊
允许诺娃控制敌方单位。被脑控的单位可以被利用来开门、触发虚假警报，甚至攻击其前盟友。	讓諾娃可以控制敵方單位。受此效果影響的敵人可以替諾娃開門、製造假警報，甚至是攻擊原先的盟友。
敌方幽灵携带有EMP弹。如果诺娃被其击中，她将在<d ref="Behavior,DOMEMPDecloak,Duration"/>秒内无法隐形。	敵方幽靈特務身上有電磁脈衝彈。如果諾娃被電磁脈衝彈擊中，接下來的<d ref="Behavior,DOMEMPDecloak,Duration"/>秒內她將無法匿蹤。
大量的野生异虫仍然盘踞在塔桑尼斯城。派你的部队驻守防御工事，抵御异虫的攻击。	大群野生蟲族依然盤據在塔桑尼斯市內。防守你的基地並抵擋牠們的攻擊，同時派駐單位建立防線。
野生异虫	野生蟲族
记忆闪回决定	回憶中的選擇
清理附近的建筑，并驻扎你的单位建立防线。驻扎的单位会自动攻击临近的敌人，且不会受到攻击。	清空附近的建築，將你的單位派駐於建築中來建立防線。駐兵會自動攻擊附近的敵人，並且不會受到攻擊。
驻守建筑	駐防建築
配备两种武器系统的重型火力支援机甲，既可对空也可对地。	重型火力支援機甲。具備雙武器系統，可同時對付空中與地面的目標。
一名配备火焰喷射器的近程作战单位，可对前方小范围锥形区域内造成伤害。可以变形成一名机动性大幅提高的快速侦查单位。	配有火焰噴射器的近程戰鬥單位，可對前方的一小片扇形範圍造成傷害。可轉換為快速的偵察單位來提高機動性。
敌方单位无法看到或攻击位于悬崖上方的你的单位，除非有敌方单位登上悬崖或者飞临悬崖时为其提供视野。	敵方單位無法看見或是攻擊你位在山崖上的單位，除非有敵方單位跳上山崖，或有飛行單位靠近來為他們提供視野。
高地	高地
配备防空火箭的重型火力炮艇。可以变形为静止防御模式，使用强大的等离子火炮攻击地面目标。	重型砲擊攻擊機，配備對空火箭砲。可變形為定點防禦模式，以強力的電漿加農砲轟擊地面目標。
