非晶态装甲云	Nube de blindaje amorfa
Combat_Spells_HallucinationAbsorb_Phoenix	Combat_Spells_HallucinationAbsorb_Phoenix
Combat_Spells_HallucinationAbsorb_Probe	Combat_Spells_HallucinationAbsorb_Probe
Combat_Spells_HallucinationAbsorb_Stalker	Combat_Spells_HallucinationAbsorb_Stalker
Combat_Spells_HallucinationAbsorb_VoidRay	Combat_Spells_HallucinationAbsorb_VoidRay
Combat_Spells_HallucinationAbsorb_WarpPrism	Combat_Spells_HallucinationAbsorb_WarpPrism
Combat_Spells_HallucinationAbsorb_Zealot	Combat_Spells_HallucinationAbsorb_Zealot
Combat_Spells_HallucinationCount	Combat_Spells_HallucinationCount
Combat_Spells_Heal	Combat_Spells_Heal
Combat_Spells_HealShield	Combat_Spells_HealShield
Combat_Spells_HighTemplarKills	Combat_Spells_HighTemplarKills
Combat_Spells_InfestedTerrans	Combat_Spells_InfestedTerrans
Combat_Spells_MULE	Combat_Spells_MULE
Combat_Spells_NeuralParasite	Combat_Spells_NeuralParasite
Combat_Spells_Nuke	Combat_Spells_Nuke
Combat_Spells_PhasePrism	Combat_Spells_PhasePrism
Combat_Spells_PhasePrism_DarkTemplar	Combat_Spells_PhasePrism_DarkTemplar
Combat_Spells_PhasePrism_HighTemplar	Combat_Spells_PhasePrism_HighTemplar
Combat_Spells_PhasePrism_Sentry	Combat_Spells_PhasePrism_Sentry
Combat_Spells_PhasePrism_Stalker	Combat_Spells_PhasePrism_Stalker
Combat_Spells_PhasePrism_Zealot	Combat_Spells_PhasePrism_Zealot
Combat_Spells_Seeker	Combat_Spells_Seeker
Combat_Spells_Snipe	Combat_Spells_Snipe
Combat_Spells_SpawnLarva	Combat_Spells_SpawnLarva
Combat_Spells_Vortex	Combat_Spells_Vortex
Combat_Spells_Yamato	Combat_Spells_Yamato
Combat_Spells_ZealotWhileZerg	Combat_Spells_ZealotWhileZerg
Combat_Spells_ZealotWhileZerg_Gateway	Combat_Spells_ZealotWhileZerg_Gateway
Combat_Spells_ZealotWhileZerg_Warpgate	Combat_Spells_ZealotWhileZerg_Warpgate
Combat_Teammatery_Heal	Combat_Teammatery_Heal
Combat_Teammatery_MULERepair	Combat_Teammatery_MULERepair
Combat_Teammatery_Repair	Combat_Teammatery_Repair
Combat_Teammatery_SCVRepair	Combat_Teammatery_SCVRepair
Combat_TownHallDestroyer	Combat_TownHallDestroyer
Combat_TownHallDestroyerCommandCenterCount	Combat_TownHallDestroyerCommandCenterCount
Combat_TownHallDestroyerHatcheryCount	Combat_TownHallDestroyerHatcheryCount
Combat_TownHallDestroyerHiveCount	Combat_TownHallDestroyerHiveCount
Combat_TownHallDestroyerLairCount	Combat_TownHallDestroyerLairCount
Combat_TownHallDestroyerNexusCount	Combat_TownHallDestroyerNexusCount
Combat_TownHallDestroyerOrbitalCommandCount	Combat_TownHallDestroyerOrbitalCommandCount
Combat_TownHallDestroyerPlanetaryFortressCount	Combat_TownHallDestroyerPlanetaryFortressCount
Exploration_GuideThree_PlayReplay	Exploration_GuideThree_PlayReplay
Legacy_of_the_Ursadon	Legado del ursadon
QuickMatch_Competitive_FFA_5000_Kills	QuickMatch_Competitive_FFA_5000_Kills
第1回合：两面夹击	Ronda 01: Equipo de dos soldados
第2回合：追猎者大战狂热者	Ronda 02: Acechadores contra fanáticos
第3回合：一夫当关	Ronda 03: Cuello de botella con fanáticos
第4回合：集中火力	Ronda 04: Fuego concentrado
第5回合：重寻目标	Ronda 05: Volver a fijar objetivo
第6回合：地下伏兵	Ronda 06: Emboscada enterrada
第7回合：巨像出击	Ronda 07: Golpe de coloso
第8回合：安全区	Ronda 08: Zona segura
第9回合：蟑螂敢死队	Ronda 09: Cucarachas tozudas
第10回合：交通管制	Ronda 10: Control de rampas
第11回合：边打边跑	Ronda 11: Tormenta y huida
第12回合：友军误伤	Ronda 12: Fuego amigo
第13回合：坚守岗位	Ronda 13: Mantener posición
第14回合：力场环绕	Ronda 14: Barrera de campos de fuerza
第15回合：粉碎力场	Ronda 15: Aplastar campos de fuerza
第16回合：“霉”死了	Ronda 16: Muerte fúngica
第17回合：SCV准备就绪	Ronda 17: VCE a la fuga
第18回合：强化剂微操	Ronda 18: Micro de paquetes de estimulantes
第19回合：棱镜光束	Ronda 19: Haz prismático
第20回合：闪训	Ronda 20: Carrera de traslaciones
第21回合：爆虫大作战	Ronda 21: Demasiados pesteling
第22回合：虫虫大战	Ronda 22: Duelo de pesadilla
第23回合：隐形女妖	Ronda 23: Átropos invisibles
第24回合：转眼之间	Ronda 24: Traslación relámpago
第25回合：疯狂微操	Ronda 25: Microlocura
第26回合：焦土政策	Ronda 26: Tierra quemada
第27回合：移动射击	Ronda 27: Disparo en movimiento
第28回合：神枪幽灵	Ronda 28: Fantasmas mortíferos
第29回合：来跳舞吧	Ronda 29: ¿Bailamos?
第30回合：遥不可及	Ronda 30: Intocable
R	R
T	T
提高附近单位的移动速度。	Aumenta la velocidad de movimiento de las unidades cercanas.
降低附近单位的移动速度。	Ralentiza el movimiento de las unidades cercanas.
对所有玩家敌对	Hostil contra todos los jugadores
全线出击。	Atacando con todo.
没有部队，无法攻击。	No tenemos ejército, aún no puedo atacar.
由AI来控制。	Devolviendo control a IA.
撤退。	Nos retiramos.
谨慎攻击。	Enviando un ataque precavido.
无法侦察指定区域。	Imposible explorar el área.
无法派遣侦察单位。	No hay un explorador disponible.
侦察单位已死亡，再派遣一个。	El explorador ha muerto, enviando otro.
严防死守。	Defendiendo el área.
没有部队，将尽快进行防守。	No tenemos ejército, defenderé en cuanto pueda.
派遣侦测单位。	Enviando un detector.
所有侦测单位已死亡。	Todos los detectores han muerto.
无法派遣侦测单位。	Enviaremos un detector cuando esté disponible.
侦测单位已死亡，再派遣一个。	Detector muerto, enviando otro.
发现敌方建筑( UNIT )。	Se ha detectado una estructura enemiga: ( UNIT ).
发现敌方部队。	Fuerza enemiga detectada.
发现敌方中转点。	Estructura puente descubierta.
发现了UNIT，敌人为星灵。	El enemigo es protoss, se ha detectado: UNIT.
发现了UNIT，敌人为人类。	El enemigo es terran, se ha detectado: UNIT.
发现了UNIT，敌人为异虫。	El enemigo es zerg, se ha detectado: UNIT.
发现敌方空中单位（UNIT），需要对空。	Se ha detectado una unidad aérea enemiga: ( UNIT ); los antiaéreos serían útiles.
发现敌方隐形单位（UNIT），需要侦测。	Se ha detectado una unidad enemiga invisible: ( UNIT ); podría hacer falta detección.
发现敌方基地，是（UNIT）。	Base enemiga. Se ha detectado ( UNIT ).
试图扩张。	Intentando expansión.
扩张至这里。	Nos expandimos aquí.
无法扩张至那里。	Imposible expandirse ahí.
没有足够作战单位，无法攻击。	Imposible atacar. Necesitamos más unidades de combate.
在此处等待。	Esperando aquí.
离开前去防守。	Volviendo a defender.
将在此处等待。	Esperaré aquí.
这里需要侦测，请求支援。	Necesito ayuda con la detección aquí.
需要帮助防守！	¡Necesito ayuda en defensa!
集结点已更新。	Ubicación de reunión actualizada.
现在可以交换资源了。请随意请求资源。	Intercambio de recursos disponible. Ya puedes solicitar recursos.
结束侦察位置。	Finalizando la exploración de la ubicación.
无法侦察位置。	Imposible explorar la ubicación.
将尽快侦察。	Exploraremos cuando tengamos unidades disponibles.
我	Estoy
附属设施搭建完毕	Anexo completado.
作战单位就绪	Munición completada.
<c val="ff0000">基地遭到攻击！</c>	<c val="ff0000">¡Están atacando nuestra base!</c>
<c val="ff0000">盟友的基地遭到攻击！</c>	<c val="ff0000">¡Están atacando la base de un aliado!</c>
<c val="ff0000">我们的部队遭到攻击！</c>	<c val="ff0000">¡Nos están atacando!</c>
<c val="ff0000">盟友的部队遭到攻击！</c>	<c val="ff0000">¡Están atacando a tus aliados!</c>
建筑就绪	Edificio completado.
<c val="ffff00">侦测到空投：%s。</c>	<c val="ffff00">Detectado ataque inminente: %s.</c>
<c val="ffff00">侦测到空投：战术聚变打击。</c>	<c val="ffff00">Detectado ataque inminente: Ataque nuclear táctico.</c>
时空提速效果已经消失。	Aceleración cronos agotada.
专化完成	Especialización completada.
额外的幼虫孵化完成。	Larva adicional nacida.
矿骡已瘫痪。	MULA agotada.
融合完成	Fusión completada.
变异完成	Transformación completada.
转换完成	Transformación completada.
<c val="ffff00">侦测到坑道虫。</c>	<c val="ffff00">Oruga nydus detectada.</c>
复原完成<n/>	Renacer completado.<n/>
研发完成	Investigación completada.
矿脉即将枯竭	Se han agotado los minerales.
瓦斯气泉即将枯竭	Se está agotando un géiser de vespeno.
精炼厂正在提炼高能瓦斯	Refinería recolectando gas vespeno.
高产矿脉已经枯竭	Se han agotado los campos de minerales ricos.
矿脉已经枯竭	Se han agotado los minerales.
瓦斯气泉已经枯竭	Se ha agotado un géiser de vespeno.
收到资源：%resources%，来自%player%	Has recibido: %resources% de %player%.
送出资源：%resources%，送至%player%	Has enviado: %resources% a %player%.
资源已回收	Recursos restaurados.
单位就绪	Unidad completada.
升级完成	Mejora completada.
折跃完成	Invocación completada.
皮肤包	Conjunto de diseños
AI危险增益	Beneficio de peligro de IA
提速区域	Zona de aceleración
攻击现形	Descubrir ataque
被污染	Contaminado
抑制区域	Zona inhibidora
Inhibitor Zone	Zona inhibidora
Tracker	Rastreador
孵化幼虫	Engendrar larva
猎杀飞弹超时	Tiempo muerto de misil rastreador
羊 忙碌	Oveja ocupada
轨道空投补给	Entrega de suministros
时间缩放转换行为	Comportamiento de conversión de escala temporal
折跃脆弱期	Vulnerabilidad de invocación
该单位的移动速度提高<d ref="(Behavior,AccelerationZoneTemporalField,Modification.MoveSpeedMultiplier-1)*100"/>%。	Se ha aumentado la velocidad de movimiento de esta unidad un <d ref="(Behavior,AccelerationZoneTemporalField,Modification.MoveSpeedMultiplier-1)*100"/>%.
该单位的移动速度提高了<d ref="(Behavior,AccelerationZoneTemporalField,Modification.MoveSpeedMultiplier-1)*100"/>%。	Se ha aumentado la velocidad de movimiento de esta unidad un <d ref="(Behavior,AccelerationZoneTemporalField,Modification.MoveSpeedMultiplier-1)*100"/>%.
该狂热者正在冲锋，以极快的速度接近目标。	El fanático está cargando, lo que le permite acercarse rápidamente a su objetivo.
该建筑无法生产单位或研发升级。	Esta estructura no puede entrenar unidades nuevas ni investigar mejoras.
该单位受到20%额外的伤害。	Esta unidad recibe un 20% de daño adicional.
目标刚刚被EMP弹击中，在短时间内无法隐形。	El objetivo ha sido golpeado recientemente por un proyectil PEM, por lo que no puede hacerse invisible durante un breve periodo.
目标对所有伤害和效果免疫，但无法攻击或使用技能。	El objetivo es inmune a todo el daño y efectos, pero no puede atacar ni utilizar habilidades.
目标已被举到空中，对空打击可对其造成伤害。在引力光束消失前，该单位无法攻击或使用技能。	Se está elevando al objetivo en el aire y ahora es vulnerable a ataques aéreos. Esta unidad no puede atacar o utilizar habilidades hasta que termine el haz gravitón.
吸收2点远程伤害。	Daño a distancia sufrido reducido en 2.
该单位的移动速度降低<d ref="1-Behavior,InhibitorZoneTemporalField,Modification.MoveSpeedMultiplier*100"/>%。	La velocidad de movimiento de esta unidad está reducida un <d ref="1-Behavior,InhibitorZoneTemporalField,Modification.MoveSpeedMultiplier*100"/>%.
感染者正在吸取该单位的能量	Un infestador está absorbiendo la energía
无法使用技能	No puede lanzar hechizos.
该单位正在被折跃门实体化。	El portal de distorsión está materializando una unidad.
目标正受到灵能风暴效果的影响，在效果范围内将受到大量伤害。	El objetivo está bajo los efectos de tormenta psiónica y recibirá daño masivo mientras esté en su área de efecto.
该建筑正在孵化额外的幼虫。	Esta estructura está generando larvas adicionales.
该补给站所能提供的补给增加8。	Este depósito de suministros está proporcionando 8 suministros adicionales.
目标的移动速度和攻击速度降低2/3，技能施放时间延长2/3。	Las velocidades de movimiento y ataque, y el tiempo de uso de habilidades se ralentizan en dos tercios.
被星河漩涡困住的单位将丧失行动能力，并且在星河漩涡消失前无法作出任何行动。	Las unidades atrapadas en el vórtice están aturdidas hasta que termine el vórtice.
处于折跃过程的单位受到的伤害加倍	Sufre el doble de daño mientras se está invocando
狂欢战役合集	Colección de campañas de China
战役合集回归典藏礼包	Colección de campañas: Digital Deluxe de China
星灵伊罕利建筑合集	Pack de estructuras de los protoss Ihan-rii
人类泰拉多尔建筑合集	Pack de estructuras de los terran de Tyrador
异虫塞伯鲁斯建筑合集	Pack de estructuras de los zerg cerbero
搜索移动	Rastrear-Mover
折跃执政官	Invocar arconte
生成执政官幻像	Convocar alucinación de arconte
折跃吸纳舱	Invocar asimilador
面向攻击	Atacar hacia
变异为爆虫巢穴	Mutar en nido de pesteling
制造女妖	Construir átropos
变异为巢虫领主	Mutar en señor de la prole
产下菌毯肿瘤	Engendrar tumor de biomateria
建造地堡	Construir búnker
折跃航母	Invocar portanaves
欢呼	Animar
悬崖攀越	Caminar por elevación
折跃巨像	Invocar coloso
生成巨像幻像	Convocar alucinación de coloso
生物质收割者	Recolector de biomasa
生质汲取	Absorción biótica
生物质恢复	Recuperación de biomasa
蟑螂进化：秽型虫	Evolución de cucaracha: vil
蝗虫注射	Inyección de langostas
突变潜能	Potencial mutagénico
进化腔升级包	Cámara de evolución: mejora
尖塔升级包	Espiral: mejora
感染深渊升级包	Foso de infestación: mejora
蟑螂温室升级包	Madriguera de cucarachas: mejora
新单位：飞蛇	Nueva unidad: víbora
阿拉纳克升级包	Alarak: mejora
浩劫升级包	Caos: mejora
进攻战术	Tácticas agresivas
炽热天空	Cielo en llamas
机械研究所升级包	Bahía robótica: mejora
吸收灵魂	Absorción de almas
晋升者升级包	Ascendiente: mejora
死亡议会升级包	Consejo de la muerte: mejora
新单位：晋升者	Unidad nueva: ascendiente
亚顿之矛：太阳打击	Lanza de Adun: acometida solar
掠夺者升级包	Paquete de mejoras para el conceptor
亚顿之矛：守护之壳	Lanza de Adun: escudo guardián
亚顿之矛：矩阵过载	Lanza de Adun: sobrecarga de la matriz
亚顿之矛：护盾超载	Lanza de Adun: sobrecarga de escudo
亚顿之矛：太阳轰炸	Lanza de Adun: bombardeo solar
亚顿之矛：折跃谐振	Lanza de Adun: armonización de invocación
达拉姆的荣耀	Gloria de los daelaam
即时正义	Retribución presta
圣堂武士文献馆升级包	Archivos templarios: mejora
光影议会升级包	Consejo crepuscular: mejora
新单位：掠夺者	Unidad nueva: conceptor
新单位：风暴战舰	Unidad nueva: tempestad
超级折跃门	Portales de distorsión superiores
精华收集者	Recolector de esencia
新单位：掠食龙和原始点火虫	Nuevas unidades: ravasauro e incendiaria primigenia
掠食龙升级包	Ravasauro: mejora
原始洞察	Perspicacia primigenia
新单位：原始异龙和原始守护者	Nuevas unidades: mutalisco primigenio y guardián primigenio
原始异龙和原始守护者升级包	Mutalisco primigenio y guardián primigenio: mejora
新单位：掘地虫宿主和原始穿刺者	Nuevas unidades: gestador propagador y empalador primigenio
原始点火虫和原始穿刺者升级包	Gestador propagador y empalador primigenio: mejora
进化的虫群首领	Líderes de manada evolucionados
新单位：暴龙兽	Nueva unidad: Tiranozor
生存本能	Instinto de supervivencia
精英原始异虫升级包	Zerg primigenios de élite: mejora
泽鲁斯的狡诈	Astucia de Zerus
基因突变	Mutación genética
可变部署	Despliegue variable
特种单位升级包	Especialista: mejora
战术数据网	Red de datos táctica
快速充能	Recarga rápida
突击勇士研究包	Campeón de tropas de choque: investigación
强攻勇士升级包	Campeón de asalto: mejora
攻城勇士升级包	Campeón de asedio: mejora
菲尼克斯升级包	Fénix: mejora
解锁：塞布罗斯仲裁者战甲	Desbloquear: armadura de árbitro de Cybros
新单位：干扰者	Nueva unidad: disruptor
英雄智能：塔尔达林与摩约	IA de campeón: Taldarin y Mojo
英雄智能：战争使者与科罗拉里昂	IA de campeón: Belisario y Clolarion
解锁：净化者议会	Desbloquear: cónclave de los purificadores
霍纳夫妇	Los Horner
新单位：攻击战斗机	Nueva unidad: caza de asalto
突击炮舰和忒伊亚铁鸦升级包	Galeón de asalto y cuervo theia: mejora
雇佣兵升级包	Mercenarios: mejora
十万火急	Impaciencia
帝国星港升级包	Puerto estelar del Dominio: mejora
他和她的补给	Suministros gananciales
恶火和恶蝠升级包	Erebion y murciélago infernal: mejora
高级武器	Armamento avanzado
聚变芯体升级包	Núcleo de fusión: mejora
爆爆乐	Esto es la bomba
锻炉升级包	Forja: mejora
卡莱智慧	Ingenio khalai
亚顿之矛：时空过载	Lanza de Adun: sobrecarga de cronos
机械大师	Maestro maquinista
亚顿之矛：净化协议	Lanza de Adun: protocolo purificador
太阳锻炉升级包1	Forja solar: mejora 1
太阳锻炉升级包2	Forja solar: mejora 2
统和屏障	Barrera de unidad
新单位：凯达琳巨石	Nueva unidad: monolito khaydarin
亚顿之矛：净化光束	Lanza de Adun: haz purificador
亚顿之矛：重构光束	Lanza de Adun: haz de reconstrucción
亚顿之矛：提速力场	Lanza de Adun: campo cronos
亚顿之矛：被动轨道轰炸	Lanza de Adun: ataque orbital pasivo
刺蛇与潜伏者升级包	Hidralisco/merodeador: mejora
残酷无情	Crueldad
凯瑞甘升级包	Kerrigan: mejora
恶变菌毯	Biomateria dañina
雷兽进化：暴龙兽	Evolución del ultralisco: magnasauro
雷兽升级包	Ultralisco: mejora
新单位：潜伏者	Unidad nueva: merodeador
跳虫进化：腾跃虫	Evolución del zergling: raptor
分裂池升级包	Reserva de reproducción: mejora
法律与秩序	Ley y orden
扩展武器库	Arsenal ampliado
新单位：大地碎裂炮	Nueva unidad: armamento rompetierras
绝对权威	Autoridad indiscutible
工程站升级包	Bahía de ingeniería: mejora
战争恶狼	Lobos de la guerra
皇家卫队基础升级包	Guardia real básico: mejora
新单位：黑色战锤	Nueva unidad: martillo negro
神经毒素弹头	Carga psicoactiva
新单位：奥古斯格勒的骄傲	Nueva unidad: Orgullo de Augustgrad
彻底毁灭	Aniquilación total
皇家卫队高级升级包	Guardia real avanzado: mejora
保证晋升	Ascenso
星港升级包	Puerto estelar: mejora
兵营升级包	Barracón: mejora
武器装备	Material militar
重工厂升级包	Fábrica: mejora
诺娃升级包	Nova: mejora
生物机械纳米机器人	Nanitas biomecánicas
强化防御无人机	Robots defensivos mejorados
解锁奥丁弹幕	Desbloquear descarga del Odín
铁鸦升级包	Cuervo: mejora
研究与开发	Investigación y desarrollo
隐秘行动升级包	Operación Sigilo: mejora
[PH]Nova Trait 1	Rasgo 1 de Nova
[PH]Nova Trait 2	Rasgo 2 de Nova
[PH]Nova Trait 3	Rasgo 3 de Nova
解锁：奥丁	Desbloquear: Odín
精华贮藏者	Acaparador de esencia
深隧惊惧	Horror tunelador
无限进化	El Ilimitado
死亡阴影	Sombra de muerte
暴君晋升者	Ascendiente tirano
灵魂巧匠	Artífice de almas
勇敢激励者	Inspirador valeroso
方舟指挥官	Comandante de arca espacial
星灵使节	Legado del nexo
原生双雄	Hermano de prole
原始竞争者	Contendiente primigenio
不屈意志	Espíritu indómito
网络管理员	Administrador de red
阿昆德拉	Akhundelar
星系军火走私者	Traficantes de armas galácticos
混沌模范夫妻	Superpareja caótica
银翼指挥官	Comandantes de ala
圣堂表象	Templario natural
战争建筑师	Arquitecto de guerra
天界太阳能	Celestial de solarita
人类的愚行	Estupidez del hombre
荒寂女王	Reina desolada
恶毒族长	Matriarca malévola
毒性暴君	Tirano tóxico
底层的力量	Jefe del proletariado
死亡贩子	Comerciante de muerte
战术调度员	Despachadora táctica
渗透专家	Especialista en infiltración
狂暴骑手	Piloto temerario
死水元帅	Marshal de Backwater
起义军游骑兵	Asaltante rebelde
石油大王	Magnate del petróleo
最佳伙伴	Mejor amigo
信号专家	Erudito de las señales
瘟疫守望者	Vigía de la plaga
尸群领主	Señor de la horda
惊人血肉焊机	Soldador de carne espantoso
重武器专家	Especialista en armas pesadas
运载总监	Director de carga
机械修理工	Mecánico de artillería
独狼	Lobo solitario
忠诚遛狗师	Paseador de perros aplicado
技术招聘专员	Reclutador técnico
凋零虹吸	Succión debilitante
精神休憩	Espíritu de alivio
暗影守护者	Guardiana de sombras
构造体之母	Madre de creaciones
爆蚊虫后	Reina de hostigadores
顶级掠食者	Superdepredador
知识探求者	Buscador de conocimiento
黎明使徒	Anakh Su'n
军械库升级包	Arsenal: mejora
战斗地堡	Búnkeres de batalla
纳米投射器	Nanoproyectores
休伯利安号：定点防御无人机	Hyperion: robot de defensa de punto
休伯利安号：高级瞄准系统	Hyperion: sistemas de objetivo avanzados
佣兵军火	Municiones mercenarias
强化轨道空投：矿骡	Solicitar: MULA mejorado
快速招募	Reclutamiento rápido
步兵升级包	Infantería: mejora
新单位：战列巡航舰	Unidad nueva: crucero de batalla
保证斯台特满意	Stetisfacción garantizada
“艾的滋润”	Toma PODER
盖瑞：艾星超载	Gary: sobrecarga de stetélite
机械跳虫与机械爆虫升级包	Mecazergling/Mecapesteling: mejora
机械杰作	Obra meca
新单位：机械潜伏者	Unidad nueva: mecamerodeador
斯台特曼技术帝	Stetmannopolio
机械刺蛇与机械潜伏者升级包	Mecahidralisco/Mecamerodeador: mejora
永远的朋友	Amigos para siempre
机械感染者升级包	Mecainfestador: mejora
新单位：机械巢式战列空母	Unidad nueva: mecaseñor portanaves
机械雷兽升级包	Mecaultralisco: mejora
可爱的小坏蛋们	Adorables diablillos
机械尖塔升级包	Mecaespiral: mejora
艾贡极限	Más allá del límitegon
易燃外肢	Prótesis incendiarias
增生地堡	Búnkeres congestionados
被感染的工程站升级包	Bahía de ingeniería infestada: mejora
传染病	Epidemia
恶意繁殖	Incubación hostil
腐化征用	Reclutamiento corrupto
被感染的步兵升级包	Infantería infestada: mejora
被感染的重工厂升级包	Fábrica infestada: mejora
被感染的星港升级包	Puerto estelar infestado: mejora
指挥官特质 斯托科夫 1	Rasgo de comandante Stukov: 1
指挥官特质 斯托科夫 10	Rasgo de comandante Stukov: 10
指挥官特质 斯托科夫 12	Rasgo de comandante Stukov: 12
指挥官特质 斯托科夫 14	Rasgo de comandante Stukov: 14
指挥官特质 斯托科夫 15	Rasgo de comandante Stukov: 15
指挥官特质 斯托科夫 2	Rasgo de comandante Stukov: 2
指挥官特质 斯托科夫 3	Rasgo de comandante Stukov: 3
指挥官特质 斯托科夫 4	Rasgo de comandante Stukov: 4
指挥官特质 斯托科夫 5	Rasgo de comandante Stukov: 5
指挥官特质 斯托科夫 6	Rasgo de comandante Stukov: 6
指挥官特质 斯托科夫 8	Rasgo de comandante Stukov: 8
新单位：虫巢女王	Nueva unidad: reina de la prole
虫巢女王升级包	Reina de la prole: mejora
永生程序	Protocolo de inmortalidad
加量不加价	6 por el precio de 4
德拉肯激光钻机：脉冲炮	Taladro láser drakken: cañón de pulsos
强化SCV	VCE mejorados
贝蒂家族	Betty y sus colegas
机械专业	Maña mecánica
解锁：飓风	Desbloquear: ciclón
新单位：雷神	Unidad nueva: Thor
载具专家	Especialista en vehículos
指挥官特质 阿巴瑟生物质	Rasgo de comandante Abathur: biomasa
指挥官特质 阿巴瑟愈合	Rasgo de comandante Abathur: curar
指挥官特质 阿巴瑟剧毒巢穴	Rasgo de comandante Abathur: nido tóxico
指挥官特质阿拉纳克致命冲锋	Rasgo de comandante Alarak: carga mortal
指挥官特质阿拉纳克湮灭波	Rasgo de comandante Alarak: onda de destrucción
指挥官特质阿拉纳克建筑超载	Rasgo de comandante Alarak: sobrecarga de estructuras
Commander Trait Artanis SOAOrbital Strike	Rasgo de comandante Artanis: ataque orbital de la Lanza de Adun
Commander Trait Artanis SOAProject Power Field	Rasgo de comandante: Artanis: Lanza de Adun: proyectar campo de energía
Commander Trait Artanis SOAShield Overcharge	Rasgo de comandante Artanis: sobrecarga de escudo de la Lanza de Adun
CommanderTraitDehakaDevour	CommanderTraitDehakaDevour
CommanderTraitDehakaPrimalCombat	CommanderTraitDehakaPrimalCombat
CommanderTraitDehakaPrimalPackLeaders	CommanderTraitDehakaPrimalPackLeaders
指挥官特质 菲尼克斯 英雄智能	Rasgo de comandante Fénix: IA de campeón
指挥官特质 菲尼克斯执政官战甲	Rasgo de comandante Fénix: armadura de pretor
指挥官特质 菲尼克斯 太阳能龙骑士战甲	Rasgo de comandante Fénix: armadura de dragón de solarita
Commander Trait Karax SOAChrono Wave	Rasgo de comandante Karax: onda cronos de la Lanza de Adun
Commander Trait Karax SOAOrbital Strike	Rasgo de comandante Karax: ataque orbital de la Lanza de Adun
Commander Trait Karax SOASolar Lance	Rasgo de comandante Karax: lanza solar de la Lanza de Adun
Commander Trait Kerrigan Assimilation Aura	Rasgo de comandante Kerrigan: aura de asimilación
Commander Trait Kerrigan Leaping Strike	Rasgo de comandante Kerrigan: salto devastador
Commander Trait Kerrigan Psionic Shift	Rasgo de comandante Kerrigan: carga psiónica
指挥官特质 蒙斯克 战争恶犬	Rasgo de comandante Mengsk: perros de la guerra
指挥官特质 蒙斯克 强制征召	Rasgo de comandante Mengsk: reclutamiento forzoso
指挥官特质 蒙斯克 核弹天劫	Rasgo de comandante Mengsk: aniquilación nuclear
指挥官特质诺娃防御无人机	Comandante: rasgo: Nova: robot defensivo
指挥官特质诺娃极速恢复	Comandante: rasgo: Nova: regeneración instantánea
指挥官特质诺娃潜行	Comandante Nova: rasgo: modo sigilo
Commander Trait Raynor Hyperion Hyperjump	Rasgo de comandante Raynor: hipersalto del Hyperion
Commander Trait Raynor Hyperion Yamato Cannon	Rasgo de comandante Raynor: cañón yamato del Hyperion
Commander Trait Raynor Summon Hyperion	Rasgo de comandante Raynor: convocar Hyperion
指挥官特质 斯台特曼 半稳定物质传输	Rasgo de comandante Stetmann: transporte de masa semiestable
指挥官特质 斯台特曼 盖瑞	Rasgo de comandante Stetmann: Gary
指挥官特质 斯台特曼 艾星	Rasgo de comandante Stetmann: stetélites
指挥官特质 斯托科夫  感染建筑	Rasgo de comandante Stukov: infestar estructura
指挥官特质 斯托科夫  被感染的移民营	Rasgo de comandante Stukov: complejo de colonos infestado
指挥官特质 斯托科夫 感染体群落	Rasgo de comandante Stukov: horda infestada
指挥官特质 斯托科夫  灵能发射器	Rasgo de comandante Stukov: emisor psiónico
Commander Trait Swann Concentrated Beam	Rasgo de comandante Swann: haz concentrado
Commander Trait Swann Drakken Laser Drill	Rasgo de comandante Swann: taladro láser drakken
Commander Trait Swann Drakken Laser Drill Attack	Rasgo de comandante Swann: ataque de taladro láser drakken
呼叫奥丁，作战一小段时间。	Despliega al Odín para que luche durante un periodo limitado.
指挥官特质 泰凯斯 招募不法之徒	Rasgo de comandante Tychus: reclutar a forajido
指挥官特质 泰凯斯 粉碎者手雷	Rasgo de comandante Tychus: granada trituradora
Commander Trait Vorazun SOABlack Hole	Rasgo de comandante Vorazun: agujero negro de la Lanza de Adun
Commander Trait Vorazun SOASummon Dark Pylon	Rasgo de comandante Vorazun: convocar pilón tétrico de la Lanza de Adun
Commander Trait Vorazun SOASummon Shadow Guard	Rasgo de comandante Vorazun: convocar la Guardia de las sombras de la Lanza de Adun
Commander Trait Zagara Baneling Barrage	Rasgo de comandante Zagara: lanzar pesteling
Commander Trait Zagara Mass Frenzy	Rasgo de comandante Zagara: frenesí en masa
Commander Trait Zagara Spawn Hunter Killers	Rasgo de comandante Zagara: engendrar cazadores asesinos
指挥官特质 泽拉图 形体与净化化身	Rasgo de comandante Zeratul: avatares de forma y esencia
指挥官特质 泽拉图 传奇军团	Rasgo de comandante Zeratul: Legión Legendaria
指挥官特质 泽拉图 先知视野	Rasgo de comandante Abathur: visión profética
有点过去的意思	Como en los viejos tiempos
兄弟越多越好	Cuantos más, mejor
奥丁降世	Odín
新不法之徒：凯文“响尾蛇”韦斯特	Nuevo forajido: Kev "Serpiente" West
新不法之徒：詹姆斯“天狼星”赛克斯	Nuevo forajido: James "Sirius" Sykes
闪亮登场第一人	Al primero invita la casa
新不法之徒：罗布“弹头哥”博斯韦尔	Nuevo forajido: Rob "Bala" Boswell
要搭飞的吗？	¿Necesitas transporte?
新不法之徒：维嘉	Nuevo forajido: Vega
