非晶态装甲云	Zasłona amorficzna
使风暴战舰超负荷运作，对重型单位造成额外35点伤害值。	Dodatkowo przeciąża orkana zadając dodatkowe 35 pkt. obrażeń przeciwko jednostkom masywnym.
一种捕食小型昆虫和啮齿类动物的爬行生物。	Jaszczurowaty stwór żywiący się insektami i małymi gryzoniami.
除非收到特定的攻击命令，攻击者会默认优先攻击该单位。	Napastnicy automatycznie wezmą na cel tę jednostkę, chyba że otrzymają inny rozkaz.
当攻击一个机械单位时，战狼对其目标发射电能导弹，每次射击造成30点伤害值。<n/><c val="#ColorAttackInfo">可以对地。</c>	Podczas ataku na jednostkę mechaniczną, ogar wystrzeliwuje w kierunku celu naładowane elektrycznie pociski, które zadają 30 pkt. obrażeń każdą salwą.<n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne.</c>
重型攻击猛兽，可造成范围伤害。可使用潜地冲锋技能。<n/><n/><c val="ffff8a">可以对地。</c>	Ciężka bestia szturmowa. Zadaje obrażenia na określonym obszarze. Potrafi się zagrzebywać.<n/><n/><c val="ffff8a">Może atakować jednostki naziemne.</c>
潜地并向一个单位冲锋。出地时，所有附近的单位都将被击退。	Zagrzeb się i zaatakuj jednostkę. Po wygrzebaniu wszystkie jednostki w pobliżu zostaną odrzucone.
阻止建筑的放置。可摧毁来放下建筑。	Nie pozwalają stawiać budowli. Aby umożliwić to ponownie, należy je zniszczyć.
飞行的施法者，战地的控场大师。可使用吞噬、蔽目毒云和绑架技能。	Latająca jednostka korzystająca ze zdolności pożarcia, oślepiającego obłoku i porwania. Manipuluje warunkami na polu walki.
以友军建筑为目标，在<d ref="Effect,ViperConsumeStructureCreatePersistent,PeriodCount * Effect,ViperConsumeStructureCreatePersistent,PeriodicPeriodArray[0]"/>秒内吞噬<d ref="-1 * (Effect,ViperConsumeStructureModifyTarget,VitalArray[0].Change * Effect,ViperConsumeStructureCreatePersistent,PeriodCount)"/>点生命值。造成的伤害将转化为<d ref="Effect,ViperConsumeStructureCreatePersistent,PeriodCount * Effect,ViperConsumeStructureModifyCaster,VitalArray[2].Change"/>点能量值。	Obiera za cel jednostki sojusznicze i pochłania <d ref="-1 * (Effect,ViperConsumeStructureModifyTarget,VitalArray[0].Change * Effect,ViperConsumeStructureCreatePersistent,PeriodCount)"/> pkt. życia przez <d ref="Effect,ViperConsumeStructureCreatePersistent,PeriodCount * Effect,ViperConsumeStructureCreatePersistent,PeriodicPeriodArray[0]"/> s. zamieniając zadane obrażenia na <d ref="Effect,ViperConsumeStructureCreatePersistent,PeriodCount * Effect,ViperConsumeStructureModifyCaster,VitalArray[2].Change"/> pkt. energii.
创造一道引力漩涡，使目标区域内的地面和空中单位昏迷。漩涡中的单位免疫任何伤害和效果。持续<d time="20"/>。	Tworzy wir grawitacyjny, który ogłusza jednostki naziemne i powietrzne na wskazanym obszarze. Jednostki znajdujące się wewnątrz wiru stają się odporne na wszystkie obrażenia i efekty. Wir utrzymuje się <d time="20"/>
善于对抗战车的机甲。铁丝导弹能够对机械单位造成额外伤害。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Maszyna krocząca do walki z pojazdami. Pociski „Haywire” zadają dodatkowe obrażenia jednostkom mechanicznym. <n/><n/><c val="#ColorAttackInfo">Może atakować jednostki naziemne.</c>
攻击任何附近的敌人单位。	Atakuje każdą wrogą jednostkę, która znajdzie się w pobliżu.
导弹对首要目标造成<d ref="Effect,WidowMineExplodeDirect,Amount"/>点伤害值，并通过不稳定弹药对附近的其他单位造成<d ref="Effect,WidowMineExplodeSplash,Amount"/>点溅射伤害。	Wybuch miny zadaje <d ref="Effect,WidowMineExplodeDirect,Amount"/> pkt. obrażeń celowi głównemu. Jednostki, które znajdą się w zasięgu wybuchu, otrzymują <d ref="Effect,WidowMineExplodeSplash,Amount"/> pkt. obrażeń rozpryskowych od odłamków.
埋下寡妇雷并使其进入准备状态。激活时无法移动。	Maskuje i uzbraja wdowią minę. Uzbrojona mina nie może się poruszać.
使所有异虫地面单位可以在潜地状态下移动。（地鲨）	Pozwala wszystkim jednostkom naziemnym zergów poruszać się, gdy są zagrzebane (tryb rekina lądowego).
虫后卵	Jajo królowej roju
Detached	Detached
Terran Multiplayer Adjutant (Julianne Buescher)	Terrański adiutant – gra wieloosobowa (Julianne Buescher)
Mid-Atlantic	Mid-Atlantic
副官	Adjutant
High	High
奥比昂天然悬崖	Albion – naturalne klify
奥比昂人工悬崖 (NYI)	Albion – sztuczne klify (NYI)
赫里奥斯天然悬崖 (NYI)	Helios naturalne klify (NYI)
赫里奥斯人工悬崖 (NYI)	Helios sztuczne klify (NYI)
尼福尔海姆天然悬崖	Niflheim naturalne klify
尼福尔海姆人工悬崖 (NYI)	Niflheim sztuczne klify (NYI)
匿名作者	Nieznany autor
完全没有任何说明。	Brak jakiegokolwiek opisu
没有说明	Brak opisu
《星际争霸II》地图	Kolejna mapa do gry „StarCraft II”
战列巡航舰对空	Krążownik – broń przeciwlotnicza
风暴球体	Burzowa kula
掩护射击	Obserwacja taktyczna
无法在不能移动的状态下执行该操作。	Nie można tego zrobić podczas unieruchomienia.
无法以正在潜地冲锋的雷兽为目标。	Celem podziemnej szarży nie mogą być ultraliski.
无法以幼虫为目标。	Nie można obrać za cel larw.
目标已经被绑架。	Cel został już porwany.
无法以星灵枢纽为目标。	Nie można wycelować w nexusa.
无法以轨道控制基地为目标。	Nie można wycelować w Dowództwo Orbitalne.
无法以临时单位为目标。	Cel nie może być jednostką tymczasową.
无法以城镇大厅为目标。	Cel nie może być ratuszem.
必须以星灵枢纽为目标	Celem musi być nexus
已经在这个星灵枢纽	Już przy tym nexusie.
不在神经寄生期间	Nie podczas zainfekowania pasożytem neuronalnym.
无法以被绑架的单位为目标	Celem nie może być jednostka porwana
目标已经有佣兵飞行员	Cel ma już pilota-najemnika.
无法以母舰核心为目标	Celem nie może być rdzeń statku-matki
目标已受到先知影响	Cel jest już pod wpływem zarządzenia.
你每天使用各个种族的第一场胜利将给你额外的经验值。	Twoje pierwsze zwycięstwo dnia każdą z ras daje ci dodatkowe PD.
你知道吗？和好友组队一起游戏可以获得额外的经验值。	Czy wiesz o tym, że zdobywasz PD za grę ze znajomymi?
还未购买。	Jeszcze nie kupiono.
必须在潜地模式下	Jednostka musi być zakopana
孵化场	Wylęgarnie
虫穴或主巢	Leże lub wylęgarnia
在佣兵营地购买EMP炸弹	Kup bombę EMP w bazie najemników
没有现成或建造中的奥丁	Brak aktywnego lub produkowanego odyna
在佣兵营地购买感应舱	Kup kapsułę czujnikową w bazie najemników
潜地已研发	Opracowano zagrzebanie
在科技实验室研究战斗药剂	Opracuj specyfiki bojowe w laboratorium technologicznym
在蟑螂温室进化穿刺者	Ewoluuj przebijacza w kolonii karakanów
在兵营科技实验室研究收割者跳跃	Opracuj skok żniwiarza w laboratorium technologicznym koszar
在舰队航标中研究恢复护盾	Opracuj przywrócenie osłon w stacji floty
未遭到攻击	Nie atakowany
战场无母舰核心	Bez rdzenia statku-matki
无支配单位	Brak zdominowanej jednostki
无召唤的雷兽	Nie wezwano ultraliska
BADGEDEFAULT	ODZNAKADOMYŚLNA
跳舞09	Taniec09
水晶塔	Pylon
大师	Mistrz
行政官	Pretor
黑暗教长	Mroczny prałat
执行官	Egzekutor
见习	Nowicjusz
导师	Mentor
教官	Instruktor
大兵	Żołnierz
军官	Oficer
克哈之子	Syn Korhalu
平民	Cywil
新兵	Rekrut
警探	Szeryf
警长	Mściciel
叛军	Renegat
屠猎者	Łowca
虫巢主宰	Władca szczepu
[废弃的]阿格瑞亚 (丛林)	[Nieaktualne] Agria (Dżungla)
阿格瑞亚 (丛林)	Agria (dżungla)
[废弃的]艾尔 (城区)	[Nieaktualne] Aiur (Miasto)
艾尔 (城区)	Aiur (miasto)
ZZZ未使用 奥比昂 (丛林)	ZZZNiewykorzystywany Albion – (dżungla)
[废弃的]阿佛纳斯 (空间平台)	[Nieaktualne] Avernus (Platforma kosmiczna)
阿佛纳斯 (空间平台)	Avernus (platforma kosmiczna)
[废弃的]拜舍尔 (丛林)	[Nieaktualne] Bel'Shir (Dżungla)
拜舍尔 (丛林)	Bel'Shir (dżungla)
[废弃的]布莱克西斯初号星 (空间平台)	[Nieaktualne] Alfa Braxis (Platforma kosmiczna)
布莱克西斯初号星 (空间平台)	Braxis Alfa (platforma kosmiczna)
[废弃的]卡斯塔纳 (设施)	[Nieaktualne] Castanar (Baza)
卡斯塔纳 (设施)	Castanar (instalacja)
[废弃的]查尔 (火山)	[Nieaktualne] Char (Wulkan)
（虫群之心）查尔堡垒（火山）	(HotS) Char – forteca (wulkaniczny)
（虫群之心）查尔沼泽	(HotS) Char – moczary
查尔 (火山)	Char (wulkan)
（虫群之心）法厄同（沙漠）	(HotS) Faeton (Pustynia)
（虫群之心）尤摩扬（设施）	(HotS) Umojańskie laboratorium (placówka)
[废弃的]海文 (丛林)	[Nieaktualne] Haven (Dżungla)
海文 (丛林)	Haven (dżungla)
ZZZ未使用 赫里奥斯 (废土)	ZZZNiewykorzystywany Helios (Pustkowie)
（虫群之心）斯基格尔实验室（空间平台）	(HotS) Laboratorium Skygeirr (platforma kosmiczna)
（虫群之心）斯基格尔研究站（空间平台）	(HotS) Platforma Skygeirr (platforma kosmiczna)
（虫群之心）不朽者锻炉（空间平台）	(HotS) Kuźnia nieśmiertelnych (platforma kosmiczna)
（虫群之心）卡亚迪尔（冰）	(HotS) Kaldir (Lód)
[废弃的]克哈 (城区)	[Nieaktualne] Korhal (Miasto)
（虫群之心）克哈城市	(HotS) Miasto Korhal
克哈 (城区)	Korhal (miasto)
（虫群之心）克哈废墟	(HotS) Korhal – Pustkowia
（虫群之心）克哈平台	(HotS) Korhal Platforma
[废弃的]玛·萨拉 (废土)	[Nieaktualne] Mar Sara (Pustkowia)
玛·萨拉 (废土)	Mar Sara (pustkowie)
[废弃的]梅茵霍夫 (月色)	[Nieaktualne] Meinhoff (Księżyc)
梅茵霍夫 (月色)	Meinhoff (księżyc)
莫比斯实验室	Laboratorium Moebiusa
（虫群之心）莫比斯站（空间平台）	(HotS) Stacja Moebiusa (platforma kosmiczna)
[废弃的]蒙莱斯 (月色)	[Nieaktualne] Monlyth (Księżyc)
蒙莱斯 (月色)	Monlyth (księżyc)
[废弃的]新福尔松 (火山)	[Nieaktualne] Nowe Folsom (Wulkan)
新福尔松 (火山)	Nowe Folsom (wulkany)
ZZZ未使用 尼福尔海姆（冰）	ZZZNiewykorzystywany Niflheim (Lód)
[废弃的]锡昂港 (废土)	[Nieaktualne] Port Syjon (Pustkowie)
锡昂港 (废土)	Port Syjon (pustkowie)
（虫群之心）摩洛斯号（设施）	(HotS) Moros (Placówka)
（虫群之心）净化号世界（城区）	(HotS) Świat czyściciela (miasto)
[废弃的]红石 (火山)	[Nieaktualne] Redstone (Wulkan)
红石 (火山)	Czerwona Skała (wulkany)
[废弃的]萨古拉斯 (废土)	[Nieaktualne] Shakuras (Pustkowia)
萨古拉斯 (废土)	Shakuras (pustkowie)
（虫群之心）达拉姆方舟（星舰）	(HotS) Arka daelaamów (statek kosmiczny)
[废弃的]塔桑尼斯 (城区)	[Nieaktualne] Tarsonis (Miasto)
塔桑尼斯 (城区)	Tarsonis (miasto)
[废弃的]提丰 (废土)	[Nieaktualne] Typhon (Pustkowia)
提丰 (废土)	Typhon (pustkowie)
[废弃的]泰拉多尔 (城区)	[Nieaktualne] Tyrador (Miasto)
泰拉多尔 (城区)	Tyrador (miasto)
[废弃的]乌兰 (山洞)	[Nieaktualne] Ulaan (Jaskinia)
乌兰 (山洞)	Ulaan (jaskinia)
[废弃的]乌尔纳 (萨尔纳加世界舰船)	[Nieaktualne] Ulnar (Okręt-świat Xel Naga)
乌尔纳 (萨尔纳加世界舰船)	Ulnar (statek-świat xel'naga)
[废弃的]瓦哈拉 (月色)	[Nieaktualne] Valhalla (Księżyc)
瓦哈拉 (月色)	Walhalla (księżyc)
萨尔纳加洞窟	Jaskinia xel'naga
[废弃的]席尔 (废土)	[Nieaktualne] Xil (Pustkowia)
席尔 (废土)	Xil (pustkowie)
（虫群之心）泽鲁斯（丛林）	(HotS) Zerus (Dżungla)
[废弃的]扎库尔达斯 (丛林)	[Nieaktualne] Zhakul'Das (Dżungla)
扎库尔达斯 (丛林)	Zhakul'Das (dżungla)
奥比昂 灰烬	Albion – pył
奥比昂 泥土	Albion – ziemia
奥比昂 泥土 干裂	Albion – popękana ziemia
奥比昂 泥土 粗糙	Albion – nierówna ziemia
奥比昂 草地	Albion – trawa
奥比昂 草地 亮色	Albion – jasna trawa
奥比昂 岩石	Albion – skała
奥比昂 多岩	Albion – skaliste podłoże
查尔堡垒 泥土	Char – forteca – ziemia
查尔堡垒 干裂的泥土	Char – forteca – ziemia – popękana
查尔堡垒 风尘	Char – forteca – popiół
查尔堡垒 熔岩流	Char – forteca – lawa – płynna
查尔堡垒 岩石	Char – forteca – skała
查尔堡垒 干裂的熔岩	Char – forteca – popękana – lawa
查尔堡垒 面板	Char – forteca – panele
查尔堡垒 面板 详情	Char – forteca – panel – szczegóły
查尔沼泽 泥土	Char – moczary – ziemia
查尔沼泽 沉积岩	Char – moczary – osad
查尔沼泽 熔岩流	Char – moczary – lawa – płynna
查尔沼泽 海绵岩	Char – moczary – gąbka
查尔沼泽 干裂的泥土	Char – moczary – ziemia – popękana
查尔沼泽 斜坡	Char – moczary – ziemia – gradient
查尔沼泽 熔岩石	Char – moczary – lawa – skała
查尔沼泽 甲壳	Char – moczary – pąkle
法厄同 亮色尘土	Faeton – ziemia – jasna
法厄同 干裂的岩石	Faeton – skała – popękana
法厄同 粗糙的岩石	Faeton – skała – chropowata
法厄同 页岩	Faeton – łupki
法厄同 暗色尘土	Faeton – ziemia – ciemna
法厄同 暗色沙砾	Faeton – piasek – ciemny
法厄同 沙丘	Faeton – wydmy
法厄同 浅色沙砾	Faeton – piasek – jasny
尤摩扬 中型浅色面板	Umoja – panele – średnie – jasne
尤摩扬 小型暗色面板	Umoja – panele – małe – ciemne
尤摩扬 小型浅色面板	Umoja – panele – małe – jasne
尤摩扬 小型网格	Umoja – siatka – mała
尤摩扬 大型暗色面板	Umoja – panele – duże – ciemne
尤摩扬 中型暗色面板	Umoja – panele – średnie – ciemne
尤摩扬 尘土	Umoja – ziemia
尤摩扬 岩石	Umoja – skała
赫里奥斯 龟裂的泥土	Helios – popękana ziemia
赫里奥斯 龟裂的岩石	Helios – popękana skała
赫里奥斯 泥土 暗色	Helios ziemia ciemna
赫里奥斯 泥土 亮色	Helios ziemia jasna
赫里奥斯 泥土 中等	Helios ziemia normalna
赫里奥斯 泥土 多岩	Helios ziemia kamienista
赫里奥斯 草地	Helios trawa
赫里奥斯 沙地	Helios piasek
斯基格尔实验室 尘土	Laboratorium Skygeirr – ziemia
斯基格尔实验室 干裂的岩石	Laboratorium Skygeirr – wewnątrz – skała – popękana
斯基格尔实验室 内部面板详情	Laboratorium Skygeirr – wewnątrz – panel – szczegóły
斯基格尔实验室 内部面板	Laboratorium Skygeirr – wewnątrz – panele
斯基格尔实验室 内部金属板	Laboratorium Skygeirr – wewnątrz – płytki
斯基格尔实验室 内部小型网格	Laboratorium Skygeirr – wewnątrz – siatka – mała
斯基格尔实验室 内部暗色面板	Laboratorium Skygeirr – wewnątrz – panele – ciemna
斯基格尔实验室 内部中型网格	Laboratorium Skygeirr – wewnątrz – siatka – średnia
斯基格尔研究站 面板	Platforma Skygeirr – panele
斯基格尔研究站 大型面板	Platforma Skygeirr – panele – duże
斯基格尔研究站 中型面板	Platforma Skygeirr – panele – średnie
斯基格尔研究站 磨损的面板	Platforma Skygeirr – panele – wytarte
斯基格尔研究站 干净的面板	Platforma Skygeirr – panele – czyste
斯基格尔研究站 精细的面板	Platforma Skygeirr – panele – szczegółowe
斯基格尔研究站 暗色面板	Platforma Skygeirr – panele – ciemne
斯基格尔研究站 中型网格	Platforma Skygeirr – siatka – średnie
不朽者锻炉 小型网格	Kuźnia nieśmiertelnych – siatka – mała
不朽者锻炉 厚面板	Kuźnia nieśmiertelnych – panele – grube
不朽者锻炉 中型网格	Kuźnia nieśmiertelnych – siatka – średnia
不朽者锻炉 暗色面板	Kuźnia nieśmiertelnych – panele – ciemne
不朽者锻炉 碎石	Kuźnia nieśmiertelnych – żwir
不朽者锻炉 干裂的混凝土	Kuźnia nieśmiertelnych – beton – popękany
不朽者锻炉 混凝土	Kuźnia nieśmiertelnych – beton
不朽者锻炉 岩石	Kuźnia nieśmiertelnych – skała
卡亚迪尔 冰 浅色	Kaldir – lód – jasny
卡亚迪尔 冰 干裂	Kaldir – lód – popękany
卡亚迪尔 雪 雪花飞扬	Kaldir – śnieg – puch
卡亚迪尔 雪 覆盖着冰	Kaldir – śnieg – zamrożony
卡亚迪尔 海绵岩	Kaldir – gąbka
卡亚迪尔 岩石	Kaldir – skała
卡亚迪尔 冰 暗色	Kaldir – lód – ciemny
卡亚迪尔 冰 粉碎的	Kaldir – lód – popękany
克哈城市 浅色尘土	Korhal – miasto – ziemia – jasna
克哈城市 大型格地	Korhal – miasto – pola – duże
克哈城市 中型格地	Korhal – miasto – pola – średnie
克哈城市 小型格地	Korhal – miasto – pola – małe
克哈城市 暗色尘土	Korhal – miasto – ziemia – ciemna
克哈城市 干裂的混凝土	Korhal – miasto – beton – popękany
克哈城市 草地	Korhal – miasto – trawa
克哈城市 粗糙的岩石	Korhal – miasto – skała – chropowata
克哈废墟 浅色尘土	Korhal – pustkowia – ziemia – jasna
克哈废墟 粗糙的岩石	Korhal – pustkowia – skała – chropowata
克哈废墟 干裂的岩石	Korhal – pustkowia – skała – popękana
克哈废墟 暗色尘土	Korhal – pustkowia – ziemia – ciemna
克哈废墟 沙砾	Korhal – pustkowia – piasek
克哈废墟 干裂的混凝土	Korhal – pustkowia – beton – popękany
克哈废墟 草地	Korhal – pustkowia – trawa
克哈废墟 大型格地	Korhal – pustkowia – pola – duże
克哈平台 小型浅色面板	Korhal – platforma – panele – małe – jasne
克哈平台 大型暗色面板	Korhal – platforma – panele – duże – ciemne
克哈平台 面板 详情	Korhal – platforma – panel – szczegóły
克哈平台 大型浅色面板	Korhal – platforma – panele – duże – jasne
克哈平台 小型暗色面板	Korhal – platforma – panele – małe – ciemne
克哈平台 中型面板	Korhal – platforma – panele – średnie
克哈平台 格地	Korhal – platforma – pola
克哈平台 格子	Korhal – platforma – okratowanie
尼福尔海姆 泥土	Niflheim ziemia
尼福尔海姆 冰层 龟裂	Niflheim lód popękany
尼福尔海姆 冰层 结冰	Niflheim lód zmrożony
尼福尔海姆 冰层 平滑	Niflheim lód gładki
尼福尔海姆 岩石	Niflheim skała
尼福尔海姆 冰雪	Niflheim śnieg
尼福尔海姆 冰雪 龟裂	Niflheim śnieg popękany
尼福尔海姆 冰雪 粗糙	Niflheim śnieg nierówny
摩洛斯号 大型格地	Moros – pola – duże
摩洛斯号 中型面板	Moros – panele – średnie
摩洛斯号 小型面板	Moros – panele – małe
摩洛斯号 大型面板	Moros – panele – duże
摩洛斯号 金属	Moros – metal
摩洛斯号 暗色格子	Moros – okratowanie – ciemne
摩洛斯号 小型格地	Moros – pola – małe
摩洛斯号 尘土	Moros – ziemia
达拉姆方舟 暗色金属	Arka – Daelammów – metal – ciemny
达拉姆方舟 浅色面板	Arka – Daelammów – panele – jasne
达拉姆方舟 大型六边形网格	Arka – Daelammów – siatka sześciokątna – duża
达拉姆方舟 中型六边形网格	Arka – Daelammów – siatka sześciokątna – średnia
达拉姆方舟 浅色金属	Arka – Daelammów – metal – jasny
达拉姆方舟 金属板	Arka – Daelammów – płytki
达拉姆方舟 小型六边形网格	Arka – Daelammów – siatka sześciokątna – mała
达拉姆方舟 暗色面板	Arka – Daelammów – panele – ciemne
泽鲁斯 中型尘土	Zerus – ziemia – średnia
泽鲁斯 暗色尘土	Zerus – ziemia – ciemna
泽鲁斯 水藻	Zerus – algi
泽鲁斯 岩石	Zerus – skała
泽鲁斯 根须	Zerus – korzenie
泽鲁斯 砾石	Zerus – kamyki
泽鲁斯 草地	Zerus – trawa
泽鲁斯 粘液	Zerus – szlam
专注于建造毁灭性的空中单位。<n/><n/>典型单位：<n/><c val="FFFFFF">人类：战列巡航舰、女妖、维京战机<n/>异虫：巢虫领主、异龙、腐化者<n/>星灵：风暴战舰、航母、虚空辉光舰</c><n/><n/><c val="0080ff">只能为每个电脑玩家选择一种后期战术</c><n/>激活：PLAYERS	Skupia się na produkcji jednostek powietrznych o dużej sile rażenia.<n/><n/>Przykładowe jednostki:<n/><c val="FFFFFF">T: Krążownik, banshee, wiking<n/>Z: Rządca szczepu, mutalisk, skaziciel<n/>P: Orkan, lotniskowiec, promień otchłani</c><n/><n/><c val="0080ff">Można wybrać tylko raz na późnym etapie gry dla każdej SI.</c><n/>Aktywne: PLAYERS
专注于建造大量基础单位。<n/><n/>典型单位：<n/><c val="FFFFFF">人类：陆战队员、劫掠者、医疗运输机<n/>异虫：跳虫、爆虫、蟑螂、感染者<n/>星灵：狂热者、追猎者、哨兵、不朽者</c><n/><n/><c val="0080ff">只能为每个电脑玩家选择一种后期战术</c><n/>激活：PLAYERS	Skupia się na produkcji jednostek podstawowych w dużych ilościach.<n/><n/>Przykładowe jednostki:<n/><c val="FFFFFF">T: Marine, maruder, prom medyczny<n/>Z: Zergling, tępiciel, karakan, infektor<n/>P: Zelota, tropiciel, wartownik, nieśmiertelny</c><n/><n/><c val="0080ff">Można wybrać tylko jeden wariant dla każdej SI.</c><n/>Aktywne: PLAYERS
专注于建造骚扰型或辅助性的单位。<n/><n/>典型单位：<n/><c val="FFFFFF">人类：幽灵、铁鸦、寡妇雷<n/>异虫：感染者、虫群宿主、飞蛇<n/>星灵：黑暗圣堂武士、高阶圣堂武士、先知</c><n/><n/><c val="0080ff">只能为每个电脑玩家选择一种后期战术</c><n/>激活：PLAYERS	Skupia się na produkcji jednostek osłabiających lub dezorientujących wroga.<n/><n/>Przykładowe jednostki:<n/><c val="FFFFFF">T: Duch, kruk, wdowia mina<n/>Z: Infektor, nosiciel roju, żmij<n/>P: Mroczny templariusz, wysoki templariusz, wyrocznia</c><n/><n/><c val="0080ff">Można wybrać tylko raz na późnym etapie gry dla każdej SI.</c><n/>Aktywne: PLAYERS
专注于建造最强大的单位。<n/><n/>典型单位：<n/><c val="FFFFFF">人类：攻城坦克、雷神<n/>异虫：雷兽、巢虫领主<n/>星灵：执政官、巨像</c><n/><n/><c val="0080ff">只能为每个电脑玩家选择一种后期战术</c><n/>激活：PLAYERS	Skupia się na produkcji najpotężniejszych jednostek.<n/><n/>Przykładowe jednostki:<n/><c val="FFFFFF">T: Czołg oblężniczy, thor<n/>Z: Ultralisk, rządca szczepu<n/>P: Archont, kolos</c><n/><n/><c val="0080ff">Można wybrać tylko raz na późnym etapie gry dla każdej SI.</c><n/>Aktywne: PLAYERS
电脑玩家利用少量兵力迅速扩张。<n/>专注于经济和科技，并且建造一支非常基础的部队。<n/><n/><c val="00ffff">只能为每个电脑玩家选择一种开局战术</c><n/>激活：PLAYERS	SI rozbudowuje się szybko przy minimalnej obronie.<n/>Skupia się na rozwoju ekonomicznym oraz technologicznym i tworzy jedynie podstawową armię.<n/><n/><c val="00ffff">Można wybrać tylko jeden wariant dla każdej SI.</c><n/>Aktywne: PLAYERS
电脑玩家在拥有较强大单位前不主动出击。<n/>通常会建立二矿。<n/><n/>典型单位：<n/><c val="FFFFFF">人类：攻城坦克、女妖<n/>异虫：刺蛇、感染者<n/>星灵：不朽者</c><n/><n/><c val="00ffff">只能为每个电脑玩家选择一种开局战术</c><n/>激活：PLAYERS	SI opóźnia atak, aż zgromadzi więcej potężnych jednostek.<n/>Zazwyczaj tworzy drugą bazę.<n/><n/>Przykładowe jednostki:<n/><c val="FFFFFF">T: Czołg oblężniczy, banshee<n/>Z: Hydralisk, infektor<n/>P: Nieśmiertelny</c><n/><n/><c val="00ffff">Można wybrać tylko jeden wariant dla każdej SI.</c><n/>Aktywne: PLAYERS
电脑玩家会进行较早的一波攻击。<n/>通常不会建立二矿。<n/><n/>典型的部队组合：<n/><c val="FFFFFF">人类：拥有强化剂的陆战队员和劫掠者<n/>异虫：跳虫、爆虫、蟑螂<n/>星灵：狂热者、闪现追猎</c><n/><n/><c val="00ffff">只能为每个电脑玩家选择一种开局战术</c><n/>激活：PLAYERS	SI dąży do wyprowadzenia ataku na wczesnym etapie gry.<n/>Zazwyczaj nie tworzy drugiej bazy.<n/><n/>Przykładowe warianty rozbudowy:<n/><c val="FFFFFF">T: Marine i maruder ze stymulantami<n/>Z: Zergling, tępiciel, karakan<n/>P: Zelota, tropiciel z mignięciem</c><n/><n/><c val="00ffff">Można wybrać tylko jeden wariant otwarcia dla każdej SI.</c><n/>Aktywne: PLAYERS
电脑玩家使用基本单位尽快发动进攻。<n/><n/>典型单位：<n/><c val="FFFFFF">人类：陆战队员<n/>异虫：跳虫<n/>星灵：狂热者</c><n/><n/><c val="00ffff">只能为每个电脑玩家选择一种开局战术</c><n/>激活：PLAYERS	SI atakuje jak najwcześniej jednostkami podstawowymi.<n/><n/>Przykładowe jednostki:<n/><c val="FFFFFF">T: Marine<n/>Z: Zerglingi<n/>P: Zeloci</c><n/><n/><c val="00ffff">Można wybrać tylko jeden wariant otwarcia dla każdej SI.</c><n/>Aktywne: PLAYERS
由母舰核心变形	Przekształcony z rdzenia statku-matki
使用任意地面单位来采集这些资源。	Użyj dowolnej jednostki naziemnej do zebrania tych minerałów.
蓝冠鹿	Pychalopa
黄冠鹿	Artosilopa
清理机器人	Robot czyszczący
可拆型岩堆残骸推动单位（坡口向左）	Niestabilna Skała Wieża Gruz Pchnięcie Jednostka (Rampa Lewo)
可拆型岩堆残骸推动单位（坡口向右）	Niestabilna Skała Wieża Gruz Pchnięcie Jednostka (Rampa Prawo)
冷却塔	Wieża z chłodziwem
可拆型人类塔 推动单位	Niestabilna wieża terran, Pchnięcie, Jednostka
可拆型人类塔推动单位(坡口向左)	Niestabilna wieża terran, Pchnięcie Jednostka (Rampa Lewo)
可拆型人类塔推动单位(坡口向右)	Niestabilna wieża terran, Pchnięcie Jednostka (Rampa Prawo)
蟹蛛	Krabożuk
动态菌毯与建筑阻挡物4x4	Dynamiczna blokada biomasy i budowli 4x4
菌毯肿瘤 发射物	Tumor biomasy – Pocisk
砾石	Gruzowisko
城市道具	Rekwizyt miejski
树木	Drzewo
消化虫 菌毯喷溅 发射物	Trawiciel, Biomasa – rozprysk, pocisk
延伸桥梁	Wysuwany most
视觉跟踪武器	Szypułka oczna – broń
星灵贮藏器	Protosi – skrzynia
隐形目标虚拟	Niewidzialny cel (próbny)
实验室机器人 1-X	Robot laboratoryjny 1-X
吸血虫 资源 虚拟武器	Pijawka Surowce, atrapa, broń
多人模式 蝗虫虫卵 发射物武器A	Szarańcza MPJajo APocisk, Broń
多人模式 蝗虫虫卵 发射物武器B	Szarańcza MPJajo BPocisk, Broń
多人模式 蝗虫 武器	Szarańcza MPBroń
布雷装置 充能	Rozstawiacz min, Naładuj
母舰核心	Rdzeń statku-matki
母舰核心武器 武器	Rdzeń statku-matki, Broń, Broń
资源储藏器	Ukryte surowce
无效单位	Pusta jednostka
虫道毁灭者	Niszczyciel nydusowy
动态路径障碍物（无足印，范围1）	Dynamiczna blokada ścieżkowania (brak śladów, promień 1)
物理材质 胶囊形	Fizyka – kapsuła
物理材质 正方体形	Fizyka – sześciokąt
物理材质 圆柱形	Fizyka – cylinder
物理材质 打结形	Fizyka – węzeł
物理材质 L形	Fizyka – L
物理材质 随机 父级	Fizyka – prymitywna – nadrzędna
物理材质 随机	Fizyka – prymitywna
物理材质 球形	Fizyka – kula
物理材质 星形	Fizyka – gwiazda
瓦斯储罐	Zasobnik z gazem
晶体矿箱	Zasobnik z minerałami
