非晶态装甲云	Protezione informe
Commander Trait Karax SOASolar Lance	Tratto di comando - Karax - Lancia solare LdA
Commander Trait Kerrigan Assimilation Aura	Tratto di comando - Kerrigan - Aura di assimilazione
Commander Trait Kerrigan Leaping Strike	Tratto di comando - Kerrigan - Balzo assassino
Commander Trait Kerrigan Psionic Shift	Tratto di comando - Kerrigan - Scatto psionico
指挥官特质 蒙斯克 战争恶犬	Tratto di comando - Mengsk - Mastini da guerra
指挥官特质 蒙斯克 强制征召	Tratto di comando - Mengsk - Arruolamento forzato
指挥官特质 蒙斯克 核弹天劫	Tratto di comando - Mengsk - Annientamento nucleare
指挥官特质诺娃防御无人机	Tratto di comando - Nova - Droide di difesa
指挥官特质诺娃极速恢复	Tratto di comando - Nova - Rigenerazione istantanea
指挥官特质诺娃潜行	Tratto di comando - Nova - Assetto occultato
Commander Trait Raynor Hyperion Hyperjump	Tratto di comando - Raynor - Ipersalto Hyperion
Commander Trait Raynor Hyperion Yamato Cannon	Tratto di comando - Raynor - Cannone Yamato Hyperion
Commander Trait Raynor Summon Hyperion	Tratto di comando - Raynor - Evoca Hyperion
指挥官特质 斯台特曼 半稳定物质传输	Tratto di comando - Stetmann - Trasporto di massa semi-stabile
指挥官特质 斯台特曼 盖瑞	Tratto di comando - Stetmann - Gary
指挥官特质 斯台特曼 艾星	Tratto di comando - Stetmann - Stetelliti
指挥官特质 斯托科夫  感染建筑	Tratto di comando - Stukov - Infesta struttura
指挥官特质 斯托科夫  被感染的移民营	Tratto di comando - Stukov - Complesso coloniale infestato
指挥官特质 斯托科夫 感染体群落	Tratto di comando - Stukov - Orda infestata
指挥官特质 斯托科夫  灵能发射器	Tratto di comando - Stukov - Emettitore psionico
Commander Trait Swann Concentrated Beam	Tratto di comando - Swann - Raggio concentrato
Commander Trait Swann Drakken Laser Drill	Tratto di comando - Swann - Trivella laser Drakken
Commander Trait Swann Drakken Laser Drill Attack	Tratto di comando - Swann - Trivella laser Drakken - Attacco
呼叫奥丁，作战一小段时间。	Richiama l'Odin sul campo di battaglia per un breve periodo di tempo.
指挥官特质 泰凯斯 招募不法之徒	Tratto di comando - Tychus - Recluta Fuorilegge
指挥官特质 泰凯斯 粉碎者手雷	Tratto di comando - Tychus - Granata sminuzzatrice
Commander Trait Vorazun SOABlack Hole	Tratto di comando -  Vorazun - Buco nero LdA
Commander Trait Vorazun SOASummon Dark Pylon	Tratto di comando -  Vorazun - Pilone oscuro LdA
Commander Trait Vorazun SOASummon Shadow Guard	Tratto di comando -  Vorazun - Guardia dell'ombra LdA
Commander Trait Zagara Baneling Barrage	Tratto di comando - Zagara - Sbarramento di Baneling
Commander Trait Zagara Mass Frenzy	Tratto di comando - Zagara - Frenesia di massa
Commander Trait Zagara Spawn Hunter Killers	Tratto di comando - Zagara - Genera Ferox
指挥官特质 泽拉图 形体与净化化身	Tratto di comando - Zeratul - Avatar della Forma e Avatar dell'Essenza
指挥官特质 泽拉图 传奇军团	Tratto di comando - Zeratul - Legione leggendaria
指挥官特质 泽拉图 先知视野	Tratto di comando - Zeratul - Visione profetica
有点过去的意思	Vecchi tempi
兄弟越多越好	Reclutamento esteso
奥丁降世	Odin
新不法之徒：凯文“响尾蛇”韦斯特	Nuovo Fuorilegge: Kev "Rattlesnake" West
新不法之徒：詹姆斯“天狼星”赛克斯	Nuovo Fuorilegge: James "Sirius" Sykes
闪亮登场第一人	Offre la casa
新不法之徒：罗布“弹头哥”博斯韦尔	Nuovo Fuorilegge: Rob "Cannonball" Boswell
要搭飞的吗？	Serve un passaggio?
新不法之徒：维嘉	Nuovo Fuorilegge: Vega
顺手牵羊	Razzie di guerra
初级终极装备包	Potenziamento scorte: Equipaggiamento base
全副武装	Carico al massimo
高级终极装备包	Potenziamento scorte: Equipaggiamento avanzato
黑暗执政官升级包	Potenziamento scorte: Arconte oscuro
黑暗水晶塔：召回	Pilone oscuro: Richiamo
黑暗圣堂武士升级包	Potenziamento scorte: Templare oscuro
亚顿之矛：事件视界	Lancia di Adun: Orizzonte degli eventi
亚顿之矛：时空理论	Lancia di Adun: Cronomanzia
暗影卫队：虚空屏蔽	Guardia dell'ombra: Manto del Vuoto
暗影军团	Legione dell'ombra
亚顿之影	Manto di Adun
亚顿之矛：紧急召回	Lancia di Adun: Richiamo alla morte
亚顿之矛：轨道吸纳舱	Lancia di Adun: Assimilatori orbitali
亚顿之矛：时间停止	Lancia di Adun: Arresto temporale
新单位：黑暗执政官	Nuova unità: Arconte oscuro
爆虫进化：分裂虫	Evoluzione Baneling: Mitoside
爆虫巢穴升级包	Potenziamento scorte: Nido dei Baneling
胆汁喷射体升级包	Potenziamento scorte: Lanciabile
孕育爆虫和爆蚊	Incubazione di Baneling e Flagelli
虫母	Matriarca
无尽虫群	Sciame implacabile
爆蚊升级包	Potenziamento scorte: Flagello
新单位：胆汁喷射体	Nuova unità: Lanciabile
爆虫巢穴：哺育腔	Nido dei Baneling: Camera generativa
跳虫进化：裂变虫	Evoluzione Zergling: Sciamide
跳虫升级包	Potenziamento scorte: Zergling
萨尔纳加之力	Potere xel'naga
预言成真	Profezia avverata
时空通道强化包1	Potenziamento scorte: Portale 1
新单位：萨尔纳加禁绝者	Nuova unità: Risolutore xel'naga
超维空间技术强化包	Potenziamento scorte: Strutture cosmiche
构造体强化包1	Potenziamento scorte: Costrutti 1
虚空之路	Via del Vuoto
超能军团	Legioni potenziate
新单位：萨尔纳加虚空阵列船	Nuova unità: Vettore del Vuoto
时空通道强化包2	Potenziamento scorte: Portale 2
黑暗代理	Divisione oscura
构造体强化包2	Potenziamento scorte: Costrutti 2
纯粹完美	Purezza e perfezione
震荡弹	Granate a concussione
变异为腐化者	Trasforma in Corruttore
菌毯肿瘤	Biotumore
折跃控制芯核	Evoca Centro cibernetico
跳舞	Balla
折跃黑暗圣坛	Evoca Santuario oscuro
侦测单位	Individuatore
变异为工蜂	Trasforma in Drone
变异为进化腔	Muta in Camera evolutiva
进化合成代谢	Evolvi Sintesi anabolica
进化环心镰钩	Evolvi Uncini frenetici
进化病原腺体	Evolvi Ghiandole patogene
进化有机甲壳	Evolvi Carapace organico
进化蠕动	Evolvi Peristalsi
进化掘地之爪	Evolvi Artigli scavatori
进化腹囊	Evolvi Sacche ventrali
变异为萃取房	Muta in Estrattore
折跃舰队航标	Evoca Faro della flotta
折跃锻炉	Evoca Forgia
折跃传送门	Evoca Portale
训练幽灵	Addestra Fantasma
引力弹射	Catapulta gravitonica
变异为巨型尖塔	Muta in Pinnacolo maggiore
刚毅护盾	Scudo rinforzato
变异为孵化场	Muta in Vivaio
聚拢	Raggruppa
折跃高阶圣堂武士	Evoca Alto templare
生成2个高阶圣堂武士幻像	Crea 2 allucinazioni di Alto templare
变异为主巢	Muta in Alveare
停火（特殊）	Interdizione d'ingaggio speciale
变异为刺蛇	Trasforma in Idralisca
变异为刺蛇巢	Muta in Antro delle Idralische
折跃不朽者	Evoca Immortale
生成不朽者幻像	Crea allucinazione di Immortale
变异为感染深渊	Muta in Fossa d'infestazione
变异为感染者	Trasforma in Infestatore
变异为虫穴	Muta in Tana
喷漆按键1	Pulsante spray 1
喷漆按键10	Pulsante spray 10
喷漆按键11	Pulsante spray 11
喷漆按键12	Pulsante spray 12
喷漆按键13	Pulsante spray 13
喷漆按键14	Pulsante spray 14
喷漆按键2	Pulsante spray 2
喷漆按键3	Pulsante spray 3
喷漆按键4	Pulsante spray 4
喷漆按键5	Pulsante spray 5
喷漆按键6	Pulsante spray 6
喷漆按键7	Pulsante spray 7
喷漆按键8	Pulsante spray 8
喷漆按键9	Pulsante spray 9
喷漆默认	Spray predefinito
训练劫掠者	Addestra Devastatore
训练陆战队员	Addestra Marine
生物质获取几率	Probabilità che le unità alleate rilascino biomassa alla morte
生物质几率翻倍	Probabilità di biomassa doppia
共生体技能冷却时间	Recupero abilità del Simbionte
建筑变异和进化速度	Tempo di mutazione strutture ed evoluzioni
剧毒巢穴最大使用次数和冷却时间	Cariche massime e tempo di recupero di Nido tossico
阿拉纳克攻击伤害	Danni da attacco di Alarak
阿拉纳克信标折跃时间	Tempo evocazione Faro di Alarak
死亡舰队冷却时间	Tempo di recupero di Flotta della Morte
供奉我持续时间	Durata di Potere ampliato
建筑超载护盾和攻击速度	Scudi e velocità d'attacco Sovraccarico strutture
守护之壳生命值和护盾恢复	Rigenerazione di punti vita e scudi di Guscio guardiano
护盾超载持续时间和伤害吸收	Durata e assorbimento danni di Sovraccarico scudo
护盾超载冷却时间	Tempo di recupero Sovraccarico scudo
折跃单位的速度提升	Aumento di velocità unità evocate
亚顿之矛初始和最大能量值	Energia iniziale e massima della Lancia di Adun
折跃充能冷却时间缩短	Riduzione recupero carica dimensionale
虫群首领激活持续时间	Durata vita capibranco primordiali
吞食增益持续时间	Aumento durata di Consunzione
吞食治疗提升	Aumento cure di Consunzione
精华治疗翻倍	Cure doppie da essenza
大型原始蠕虫冷却时间	Tempo di recupero di Simbionte primordiale superiore
智能人格英雄的生命值和护盾	Vita e scudi delle I.A. eroiche
菲尼克斯战甲的攻击速度	Velocità d'attacco di Fenix
菲尼克斯战甲离线时的能量恢复	Rigenerazione di energia offline di Fenix
高空舰队飞行距离	Distanza di spostamento della flotta
更佳死亡效果的几率	Maggiore probabilità di un effetto migliore alla morte
攻击战斗机效果范围	Area d'effetto Caccia
回收翻倍的几率	Probabilità di riciclo doppio
霍纳单位的生命恢复速度	Rigenerazione vitale unità di Horner
我的另一半的加成	Bonus Dolce metà
麦格天雷使用次数、冷却时间和准备时间	Cariche, tempo di recupero e di armamento Mine automatizzate
建筑生命值和护盾	Integrità e scudi delle strutture
修理光束治疗速度	Efficacia di Raggio ricostituente
时空波动能量生成	Generazione di energia di Onda temporale
战斗单位资源消耗	Costo in risorse delle unità da combattimento
战斗单位生命值与护盾	Vita e scudi delle unità di combattimento
战斗单位高能瓦斯消耗	Costo in gas vespene delle unità da combattimento
吸收光环持续时间	Durata di Aura di assimilazione
凯瑞甘攻击伤害	Danni da attacco di Kerrigan
凯瑞甘茧的出生时间	Tempo di rinascita di Bozzolo di Kerrigan
凯瑞甘能量恢复	Rigenerazione di energia di Kerrigan
强化定身波	Onda immobilizzante aumentata
幼虫孵化速度	Velocità di generazione delle Larve
持久变异甲壳	Carapace mutante prolungato
急速进化	Evoluzioni velocizzate
劳工和冲锋队员提供的帝国支持度	Supporto imperiale Operai e Soldati
皇家卫队提供的帝国支持度	Supporto imperiale Guardia reale
单位生命恢复	Rigenerazione vitale unità
诺娃无人机冷却时间	Nova - Drone - Tempo di recupero
诺娃能量恢复	Rigenerazione di energia di Nova
狮鹫号空袭消耗	Costo Attacco aereo
诺娃奥丁持续时间	Nova - Odin - Durata
诺娃主要技能强化	Miglioramento all'abilità principale di Nova
诺娃复活计时	Nova - Timer rianimazione
诺娃攻击伤害	Danni degli attacchi di Nova
诺娃攻击速度	Velocità d'attacco di Nova
空投舱单位的速度提升	Accelerazione delle unità schierate con Capsule da sbarco orbitali
女妖空袭冷却时间	Tempo di recupero di Assalto delle Banshee
医疗兵治疗期间的伤害减免	Riduzione dei danni durante le cure dei Medici
医疗兵治疗额外目标	Bersaglio aggiuntivo dei Medici
研究资源费用	Costo in risorse ricerca
强化剂持续时间	Durata di Stimpack
亚历山大号冷却时间	Tempo di recupero di Aleksander
末日巨兽冷却时间	Tempo di recupero di Apocalisca
被感染的建筑孵化速度	Velocità di generazione strutture infestate
感染建筑冷却时间	Tempo di recupero Infestazione struttura
被感染的步兵持续时间	Durata fanteria infestata
战斗单位移动速度	Velocità di movimento unità da combattimento
易爆感染体孵化几率	Probabilità di generazione Infestati instabili
战斗空投持续时间和生命值	Durata e vita di Capsula da combattimento
汇聚射线的宽度和伤害	Danni e portata di Raggio concentrato
永生程序的消耗和建造时间	Tempo di costruzione e costo di Protocollo d'immortalità
激光钻机建造、升级时间以及升级费用	Tempo costruzione e tempo e costo ricerca Trivella laser
瓦斯采集器消耗	Costo di Droide estrattore
泰凯斯粉碎者手雷冷却	Tempo di recupero di Granata sminuzzatrice
奥丁冷却	Tempo di recupero Odin
时间停止的单位速度提升	Accelerazione unità di Arresto temporale
扎加拉攻击伤害	Danni da attacco di Zagara
爆虫攻击伤害	Danni da attacco dei Baneling
扎加拉茧的出生时间	Tempo di rinascita di Bozzolo di Zagara
扎加拉和虫后的生命值和能量恢复	Rigenerazione Zagara e Regine
剧烈狂暴	Frenesia intensificata
蟑螂的伤害和生命值	Vita e danni delle Blatte
跳虫闪避	Evasione Zergling
神器刷新速度	Velocità di generazione frammenti artefatto
召唤支援力量冷却时间缩减	Riduzione recupero Richiesta rinforzi
制造医疗运输机	Costruisci Navetta medica
变形为传送门	Ripristina a Portale
变异为眼虫	Trasforma in Custode
原地防御	Tieni la posizione
巡逻	Pattuglia
变异为异龙	Trasforma in Mutalisca
折跃星灵枢纽	Evoca Nexus
在发射井中部署聚变弹头	Arma silo con testata nucleare
变异为坑道虫	Muta in Verme Nydus
折跃侦测器	Evoca Osservatore
进化对应面孵化	Evolvi Incubazione inversa
升级为轨道控制基地	Potenzia a Comando orbitale
变异为王虫	Trasforma in Sorvegliante
折跃凤凰	Evoca Fenice
生成凤凰幻像	Crea allucinazione di Fenice
升级为行星要塞	Potenzia a Fortezza planetaria
制造定点防御靶机	Costruisci Drone di difesa puntuale
折跃探机	Evoca Sonda
生成4个探机幻像	Crea 4 allucinazioni di Sonda
升级空中单位护甲等级1	Potenzia corazza aerea livello 1
升级空中单位护甲等级2	Potenzia corazza aerea livello 2
升级空中单位护甲等级3	Potenzia corazza aerea livello 3
升级空中单位武器等级1	Potenzia armi aeree livello 1
升级空中单位武器等级2	Potenzia armi aeree livello 2
升级空中单位武器等级3	Potenzia armi aeree livello 3
折跃建筑	Evoca struttura
折跃高级建筑	Evoca struttura avanzata
升级地面单位护甲等级1	Potenzia corazza terrestre livello 1
升级地面单位护甲等级2	Potenzia corazza terrestre livello 2
升级地面单位护甲等级3	Potenzia corazza terrestre livello 3
升级地面单位武器等级1	Potenzia armi terrestri livello 1
升级地面单位武器等级2	Potenzia armi terrestri livello 2
升级地面单位武器等级3	Potenzia armi terrestri livello 3
升级护盾等级1	Potenzia scudi livello 1
升级护盾等级2	Potenzia scudi livello 2
升级护盾等级3	Potenzia scudi livello 3
折跃水晶塔	Evoca Pilone
雷达	Radar
设定集结点（额外）	Imposta punto di raduno (extra)
建造铁鸦	Costruisci Raven
建造反应堆	Costruisci Reattore
研发氮气加速	Ricerca Reattori dorsali
研发贝希摩斯反应堆	Ricerca Reattore Behemoth
研发武器改装	Ricerca Riarmamento
进化潜地	Evolvi Rintanamento
研究冲锋	Ricerca Carica
研发耐久材料	Ricerca Materiali durevoli
研发加长热能射线枪	Ricerca Lancia termica estesa
研发莫比斯反应堆	Ricerca Reattore Moebius
研究重力加速器	Ricerca Spinta gravitonica
研发重力驱动器	Ricerca Propulsore gravitonico
研发幻像	Ricerca Allucinazione
研发瞬时自动追踪	Ricerca Puntamento automatico
研究地狱火预燃器	Ricerca Pre-iniettori Inferno
研习优势射程	Ricerca Gittata estesa
研发引力弹射	Ricerca Catapulta gravitonica
研发吞云推进器	Ricerca Propulsori Jotun
研究精钢框架	Ricerca Telaio in neo-acciaio
进化神经寄生	Evolvi Parassita neurale
研发隐形迷彩	Ricerca Occultamento
研发震荡弹	Ricerca Granate a concussione
研发科维德反应堆	Ricerca Reattore Corvide
研发猎杀飞弹	Ricerca Missile a ricerca
研发防暴护盾	Ricerca Scudo da combattimento
研发攻城科技	Ricerca Tecnologia d'assedio
研发250毫米口径歼敌炮	Ricerca Cannoni d'assalto da 250mm
研发熔流旋叶	Ricerca Governali di flusso
研究折跃门	Ricerca Portale dimensionale
返还资源	Consegna carico
变异为蟑螂	Trasforma in Blatta
变异为蟑螂温室	Muta in Colonia di Blatte
折跃机械研究所	Evoca Laboratorio robotico
选择建造单位	Seleziona costruttore
建造感应塔	Costruisci Torre di rilevamento
折跃机械哨兵	Evoca Sentinella
设定地堡集结点	Imposta punto di raduno del Bunker
制造攻城坦克	Costruisci Carro d'assedio
变异为分裂池	Muta in Pozza germinale
变异为脊针爬虫	Muta in Impalatore
取消扎根指令	Annulla comando Rintanamento
变异为尖塔	Muta in Pinnacolo
变异为孢子爬虫	Muta in Lanciaspore
折跃追猎者	Evoca Persecutore
生成2个追猎者幻像	Crea 2 allucinazioni di Persecutore
研发强化剂	Ricerca Stimpack
停止排放菌毯	Arresta generazione biostrato
停止（特殊）	Ferma (speciale)
建造补给站	Costruisci Deposito
轨道空投：额外补给	Richiedi rifornimenti aggiuntivi
虫种	Semi dello Sciame
折跃圣堂武士文献馆	Evoca Archivio dei Templari
建造高级建筑	Costruisci struttura avanzata
升级步兵护甲等级1	Potenzia corazza fanteria livello 1
升级步兵护甲等级2	Potenzia corazza fanteria livello 2
升级步兵护甲等级3	Potenzia corazza fanteria livello 3
升级步兵武器等级1	Potenzia armi fanteria livello 1
升级步兵武器等级2	Potenzia armi fanteria livello 2
升级步兵武器等级3	Potenzia armi fanteria livello 3
升级舰船钢板等级1	Potenzia blindatura navi livello 1
升级舰船钢板等级2	Potenzia blindatura navi livello 2
升级舰船钢板等级3	Potenzia blindatura navi livello 3
升级舰船武器等级1	Potenzia armi navi livello 1
升级舰船武器等级2	Potenzia armi navi livello 2
升级舰船武器等级3	Potenzia armi navi livello 3
升级战车钢板等级1	Potenzia blindatura veicoli livello 1
升级战车钢板等级2	Potenzia blindatura veicoli livello 2
升级战车钢板等级3	Potenzia blindatura veicoli livello 3
升级战车武器等级1	Potenzia armi veicoli livello 1
升级战车武器等级2	Potenzia armi veicoli livello 2
升级战车武器等级3	Potenzia armi veicoli livello 3
转向	Gira
折跃光影议会	Evoca Concilio del Crepuscolo
变异为雷兽	Trasforma in Ultralisca
变异为雷兽窟	Muta in Caverna delle Ultralische
升级建筑护甲	Potenzia corazza strutture
变形为折跃门	Trasforma in Portale dimensionale
制造维京战机	Costruisci Viking
折跃虚空辉光舰	Evoca Lancia del Vuoto
生成虚空辉光舰幻像	Crea allucinazione di Lancia del Vuoto
召集折跃棱镜	Evoca Prisma dimensionale
生成折跃棱镜幻像	Crea allucinazione di Prisma dimensionale
折跃狂热者	Evoca Zelota
生成2个狂热者幻像	Crea 2 allucinazioni di Zelota
基础变异	Mutazione di base
高级变异	Mutazione avanzata
进化充气甲壳	Evolvi Carapace pneumatico
进化飞行生物甲壳等级1	Evolvi carapace unità volanti livello 1
进化飞行生物甲壳等级2	Evolvi carapace unità volanti livello 2
进化飞行生物甲壳等级3	Evolvi carapace unità volanti livello 3
进化飞行生物攻击等级1	Evolvi attacchi unità volanti livello 1
进化飞行生物攻击等级2	Evolvi attacchi unità volanti livello 2
进化飞行生物攻击等级3	Evolvi attacchi unità volanti livello 3
进化地面单位甲壳等级1	Evolvi carapace unità terrestri livello 1
进化地面单位甲壳等级2	Evolvi carapace unità terrestri livello 2
进化地面单位甲壳等级3	Evolvi carapace unità terrestri livello 3
进化代谢加速	Evolvi Incremento metabolico
进化近战攻击等级1	Evolvi attacchi da mischia livello 1
进化近战攻击等级2	Evolvi attacchi da mischia livello 2
进化近战攻击等级3	Evolvi attacchi da mischia livello 3
进化喷射攻击等级1	Evolvi attacchi a distanza livello 1
进化喷射攻击等级2	Evolvi attacchi a distanza livello 2
进化喷射攻击等级3	Evolvi attacchi a distanza livello 3
攻击单一单位或建筑，使目标单位眩晕，并在<d ref="Effect,250mmStrikeCannonsCreatePersistent,PeriodCount * Effect,250mmStrikeCannonsCreatePersistent,PeriodicPeriodArray[0]"/>秒内受到<d ref="Effect,250mmStrikeCannonsCreatePersistent,PeriodCount * Effect,250mmStrikeCannonsDamage,Amount"/>点持续伤害。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Colpisce un'unità o una struttura, stordendo il bersaglio e infliggendo <d ref="Effect,250mmStrikeCannonsCreatePersistent,PeriodCount * Effect,250mmStrikeCannonsDamage,Amount"/> danni per <d ref="Effect,250mmStrikeCannonsCreatePersistent,PeriodCount * Effect,250mmStrikeCannonsCreatePersistent,PeriodicPeriodArray[0]"/> secondi.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità terrestri.</c>
两名圣堂武士牺牲自身，融合为一名执政官。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Fonde 2 Templari per creare un Arconte.<n/><n/><c val="ffff8a">Può attaccare unità terrestri e aeree.</c>
畸变体可以造成很高的伤害，同时也可以承受大量的伤害。<n/><n/><c val="FFFF8A">可以对地。</c>	Le Aberrazioni sono resistenti unità che infliggono gravi danni.<n/><n/><c val="FFFF8A">Possono attaccare unità terrestri.</c>
扭曲附近区域的时空。位于该效果场内的所有地面单位、空中单位和建筑的移动速度提高<d ref="(Behavior,AccelerationZoneTemporalField,Modification.MoveSpeedMultiplier-1)*100"/>%。	Distorce lo spaziotempo nell'area circostante. La velocità di movimento di strutture e unità aeree e terrestri all'interno del campo è aumentata del <d ref="(Behavior,AccelerationZoneTemporalField,Modification.MoveSpeedMultiplier-1)*100"/>%.
命令选中的单位移至目标区域或跟随目标单位。进行搜索移动的单位不会与敌人交战。	Ordina alle unità selezionate di raggiungere l'area bersaglio o seguire l'unità bersaglio. Le unità in movimento di esplorazione non attaccano i nemici.
远程特种单位。可以在升级后使用灵能投射。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Specialista d'artiglieria. Può essere potenziata con Proiezione psionica.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità aeree e terrestri.</c>
两名圣堂武士牺牲自身，融合为一名执政官。	Fonde due Templari per creare un Arconte.
将维京战机变形为机甲模式。该模式下的维京战机可以行走，但只能攻击地面单位。	Converte il Viking in Assetto terrestre, consentendogli di spostarsi sul suolo ma limitandone gli attacchi ai soli bersagli di terra.
自动化防御炮塔。部署后<d ref="Behavior,AutoTurretTimedLife,Duration"/>秒失效。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Torretta difensiva automatica. Si disattiva dopo <d ref="Behavior,AutoTurretTimedLife,Duration"/> secondi.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità aeree e terrestri.</c>
自毁型单位。爆炸时能够造成小范围的伤害。<n/><n/>跳虫变异为爆虫前会从地下钻出。<n/><n/><c val="ffff8a">可以对地。</c>	Unità suicida. Causa danni in un'area limitata. <n/><n/>Lo Zergling emergerà prima di trasformarsi.<n/><n/><c val="ffff8a">Può attaccare unità terrestri.</c>
战术打击飞行器。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Velivolo da assalto tattico.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità terrestri.</c>
步兵训练设施。<n/><n/><c val="ffff8a">开启：</c><n/>- 陆战队员<n/>- 使SCV可以建造地堡<n/>- 使指挥中心可以升级为轨道控制基地	Struttura per la produzione di fanteria. <n/><n/><c val="ffff8a">Consente:</c><n/>- Marine<n/>- Bunker dagli SCV<n/>- Comandi orbitali dai Centri di comando
强大的战舰。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Potente nave da guerra.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità aeree e terrestri.</c>
防御建筑。使用喷射胆汁轰炸目标区域，伤害区域内的地面和空中单位。	Struttura difensiva che bombarda di bile i punti selezionati, infliggendo danni alle unità aeree e terrestri nella zona.
防空建筑。<n/><n/><c val="#ColorAttackInfo">可以对空</c><n/><c val="FFE303">侦测单位</c>	Struttura difensiva antiaerea.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità aeree.</c><n/><c val="FFE303">Individuatore</c>
大型飞行作战生物。通过投射出的巢虫来攻击目标。巢虫是一种可以对地的小型生物。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Unità volante d'assalto pesante. Espelle Progenidi contro il bersaglio. Un Progenide è una piccola creatura in grado di attaccare unità terrestri.<n/><n/><c val="#ColorAttackInfo">Può attaccare unità terrestri.</c>
这颗茧包裹的腐化者正在变异为一只强大的巢虫领主。	Questo bozzolo contiene un Corruttore che si sta trasformando in Patriarca.
一种潜地的菌毯分泌腺体。菌毯能够为附近的异虫建筑提供给养。一颗菌毯肿瘤能够再分裂出一颗额外的菌毯肿瘤。<n/><n/><c val="#ColorAttackInfo">效果加成：异虫单位在菌毯上的移动速度更快</c>	Generatore di biostrato rintanato. Il biostrato alimenta le strutture zerg vicine. Un Biotumore può generare un altro Biotumore.<n/><n/><c val="#ColorAttackInfo">Bonus: gli zerg si spostano più rapidamente sul biostrato.</c>
步兵研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 劫掠者<n/>- 收割者<n/>- 建造幽灵军校可开启幽灵	Struttura di ricerca per fanteria. Il Modulo tecnologico è adattabile a qualunque struttura di produzione.<n/><n/><c val="ffff8a">Consente:</c><n/>- Devastatori<n/>- Mietitori<n/>- Fantasmi con Accademia dei Fantasmi
空中单位研发建筑。科技实验室可以同任何生产建筑相组合。<n/><n/><c val="ffff8a">开启：</c><n/>- 女妖<n/>- 铁鸦<n/>- 建造聚变芯体可开启战列巡航舰	Struttura di ricerca per velivoli. Il Modulo tecnologico è adattabile a qualunque struttura di produzione.<n/><n/><c val="ffff8a">Consente:</c><n/>- Banshee<n/>- Raven<n/>- Incrociatori con Nucleo di fusione
防御工事。<n/>步兵单位在地堡内作战。<n/><n/><c val="#ColorAttackInfo">效果加成：舱载单位射程增加1。</c>	Struttura difensiva. <n/>Protegge i fanti mentre combattono. <n/><n/><c val="#ColorAttackInfo">Bonus: +1 alla gittata per le unità all'interno.</c>
防御性建筑。步兵在其中战斗时，射程提高1。	Struttura difensiva. Estende di 1 la portata d'attacco delle unità di fanteria all'interno.
将步兵装载进地堡。	Fa entrare la fanteria nel Bunker.
防御性建筑。在其内部战斗的步兵单位射程+1<n/><n/><c val="ffff8a">可以对空和对地。</c>	Struttura difensiva. Estende di 1 la portata d'attacco delle unità di fanteria all'interno.<n/><n/><c val="ffff8a">Può attaccare unità aeree e terrestri.</c>
命令单位潜入地下。单位潜地后无法移动或攻击，但处于隐形状态。	Nasconde l'unità sottoterra. Le unità rintanate non possono muoversi o attaccare, ma non possono essere rilevate senza usare l'individuazione.
命令单位潜入地下。单位潜地后无法攻击，但处于隐形状态。该单位可以在潜地后移动。	Nasconde l'unità sottoterra. Le unità rintanate non possono attaccare, ma non possono essere rilevate senza usare l'individuazione. Questa unità può muoversi mentre è rintanata.
命令单位钻回地表。	Riporta l'unità in superficie.
向目标矿脉投放试验性机械矿骡。矿骡的晶体矿采集效率高于SCV。<n/><n/>矿骡的系统在持续工作<d time="90"/>后会瘫痪。	Sgancia un MULE minatore robotico sperimentale sul giacimento minerario selezionato. I MULE raccolgono minerali più velocemente degli SCV. <n/><n/>I MULE rimangono in campo per <d time="90"/> prima che il loro sistema vada in avaria.
直接取消当前命令，让您可以选择其它命令。	Annulla l'ordine attuale e consente di selezionarne un altro.
取消建造，摧毁尚未建造完成的建筑并返还部分资源。	Annulla la costruzione di questa struttura, distruggendola e ricavandone un parziale rimborso.
取消建造命令，消灭建造中的幼虫。	Annulla l'ordine di creazione, uccidendo la Larva.
取消变异命令。	Annulla l'ordine di trasformazione.
取消队列中某节点上选中的特定指令。	Annulla un determinato ordine accodato senza eseguirlo.
取消升级命令，建筑返还至原生形态。	Annulla l'ordine di potenziamento, riportando la struttura allo stato originale.
主力战舰。能够建造和发射拦截机攻击敌人。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Potentissimo velivolo in grado di creare e lanciare all'attacco gli Intercettori.<n/><n/><c val="ffff8a">Può attaccare unità aeree e terrestri.</c>
