非晶态装甲云	Blindagem Nebulosa Amorfa
Story So Far Text Block 02 MP03	O que aconteceu até aqui - Bloco de texto 02 MP03
<s val ="NovaLoadingIntroScreenBody">尽管表面上忠诚于瓦伦里安大帝，但是戴维斯将军坚信她所采取的种种措施可以从根本上动摇皇帝的统治，并最终解除皇帝的权利。<n/><n/>当诺娃将真相告知皇帝之后，她原本以为自己会被委派刺杀戴维斯的任务，然而瓦伦里安却对此另有安排。经过一番争论之后，瓦伦里安坚持所有人必须服从自己的计划。</s>	<s val ="NovaLoadingIntroScreenBody">Embora em público ela seja leal ao Imperador Valerian, a general acreditava que suas ações abalariam a posição dele e, eventualmente, o tirariam do poder.<n/><n/>Quando Nova revelou suas descobertas para o Imperador, ela esperava que ele ordenasse o assassinato de Davis. Mas ele tinha outras ideias. Na discussão resultante, Valerian insistiu que eles seguissem seu plano.</s>
Story So Far Text Block 03 MP02	O que aconteceu até aqui Texto Bloco 03 MP02
<s val ="NovaLoadingIntroScreenBody">在那里，她得知了人类保卫者一直在组织策划帝国境内的异虫袭击事件。眼下，又一场灾难即将发生……</s>	<s val ="NovaLoadingIntroScreenBody">Lá, ela descobriu que os Defensores do Homem estavam orquestrando ataques zergs em toda a Supremacia. E agora outro ataque está prestes a se iniciar...</s>
Story So Far Text Block 03 MP03	O que aconteceu até aqui - Bloco de texto 03 MP03
<s val ="NovaLoadingIntroScreenBody">在比塞弗勒斯号上孑然一身的瓦伦里安主动联系了戴维斯，并对其宣称自己将解除泰伦帝国元首一职……</s>	<s val ="NovaLoadingIntroScreenBody">Sozinho no Bucéfalo, Valerian entrou em contato com Davis e disse a ela que pretendia renunciar como Imperador da Supremacia Terrana... </s>
<s val ="NovaLoadingIntroScreenBody">诺娃逃离一处敌人设施后，回到了帝国。无法回忆起近期记忆的她，得知自己之前一直在为一个秘密的敌对阵营——“人类保卫者”效力，如今因叛国罪遭到通缉。</s>	<s val ="NovaLoadingIntroScreenBody">Nova retornou à Supremacia depois de escapar de uma instalação inimiga. Incapaz de recordar suas lembranças recentes, ela descobriu que tinha sido vista trabalhando para uma facção opositora — os Defensores do Homem — e agora é procurada por traição.</s>
Story So Far Title MP02	O que aconteceu até aqui Título MP02
<s val ="NovaLoadingIntroScreenTitle">诺娃隐秘行动</s>	<s val ="NovaLoadingIntroScreenTitle">Nova: Operações Secretas</s>
Story So Far Title MP03	O que aconteceu até aqui - Título MP03
诺娃战役触发器	Ativadores da Campanha de Nova
NovaHero	NovaHero
伯利亚	Bórea
人类保卫者秘密基地	Base Secreta dos Defensores do Homem
Nova04PH	Nova04
Nova05PH	Nova05
Nova06PH	Nova06
Nova07PH	Nova07PH
Nova08PH	Nova08PH
Nova09PH	Nova09PH
NovaStoryPH	História de Nova
塔桑尼斯城	Tarsonis
诺娃是一名拥有特殊能力的英雄单位。你可以按<c val="ffff00"><k val="HeroSelect0"/></c>或者点击屏幕左上角的图标来选中她。	Nova é uma unidade heroica com habilidades especiais. Você pode escolhê-la apertando <c val="ffff00"><k val="HeroSelect0"/></c> ou clicando no ícone no canto superior esquerdo da tela.
敌方部队需要飞行单位才能看到你在高地上的单位。利用这一点可以布置伏击线并且不会遭到还击。	As forças inimigas devem ter unidades voadoras para enxergar suas unidades em terrenos elevados. Use isso para armar emboscadas e evitar retaliações.
使用地堡和攻城坦克防御你的基地。如果它们受到损坏，使用SCV修理它们。	Defenda sua base com Casamatas e Tanques de Cerco. Se eles forem danificados, use os VCEs para consertá-los.
女妖战机攻击力强，但是生存性差。使用它们的隐形技能并躲避侦测单位，可以提高它们的生存能力。	Vudus são excelentes para causar dano, mas também são unidades bem frágeis. Use a habilidade Camuflar e evite detectores para mantê-las vivas.
在战略性要道或隘口处将解放者切换成防卫模式，可以进行有效的防御。	Uma estratégia defensiva eficiente é posicionar Libertadores em Modo de Defesa em passagens estreitas estratégicas.
使用不同的装备和单位科技，以便应对你将遭遇的特殊敌方兵种。	Experimente diferentes tecnologias de unidades e equipamentos para reagir aos tipos de inimigos que você espera combater.
在隐形潜入任务中，诺娃的停火<k val="Ghost,GhostHoldFire,1,2"/>技能非常有用，可以防止她自动攻击敌方目标。	Durante missões de infiltração furtiva, pode ser útil usar a habilidade Cessar Fogo<k val="Ghost,GhostHoldFire,1,2"/> de Nova para impedir que ela faça alvos inimigos automaticamente.
战火燃遍了整座城市。使用地铁系统能够让你的部队进行快速的点对点转移。	A batalha se passa na cidade inteira. Use o sistema de metrô para transportar rapidamente o seu exército de um ponto a outro.
赞托斯在承受大量伤害后可以自我修复，但是在此期间对一切攻击毫无防御能力。赶在其修复完成之前，将其击毁。	O Xanto pode consertar a si mesmo após receber muito dano, mas fica vulnerável enquanto isso. Atinja-o antes que ele termine seu conserto.
诺娃的各种技能直接关系着她的性命安危。使用狙杀来对付敌方幽灵兵，使用脉冲手雷来消灭大群敌人。	As habilidades de Nova são fundamentais para se obter sucesso. Use Tiro de Precisão para eliminar fantasmas inimigos e Granadas de Pulso para aniquilar grandes grupos de forças inimigas.
建造更多的兵营或者搭建反应堆附属建筑来同时生产多名作战单位。	Construa Quartéis ou acople Reatores extras para produzir várias unidades de exército de uma vez.
如果你命令自己的单位朝地面上的某个位置发起攻击，它们会攻击沿途遇到的所有敌人。这就是进攻式移动。	Se você der ordem para que suas unidades ataquem um determinado ponto do terreno, elas atacarão todos os inimigos que encontrarem pelo caminho. Isso se chama comando de movimento de ataque.
异虫会在诺娃的基地建好之后发起反扑。尽可能多地摧毁孵化场，削弱它们随后的攻势。	Os zergs retaliarão quando a base de Nova for estabelecida. Destrua o máximo de incubadoras que puder para enfraquecer futuros ataques.
激活的萃取设施会吸引感染体蜂拥而至。开始采集地嗪之前，最好先布置妥当你的防御阵地。	Os Infestados são atraídos para os Dispositivos de Extração. Monte suas defesas antes de iniciar o processo.
如果感觉一场战斗打得非常艰难，那就试试用不同的装备采取另一种战术。	Se um encontro estiver difícil, tente uma nova abordagem com equipamentos diferentes.
戈尔贡在飞越城市时可以朝各个方向开火。抓住机会充分发挥它们的火力，尽可能多地解决敌人。	Górgonas podem disparar em todas as direções enquanto passam pela cidade. Programe bem o uso delas para eliminar o máximo possível de inimigos.
集中火力攻击赞托斯最具威胁性的武器系统，最大程度上减少你的兵力损失。	Concentre seus ataques no ameaçador sistema de armas do Xanto para minimizar as perdas no seu exército.
NStory01	NStory01
逃出生天	A Fuga
突袭行动	Ataque Súbito
敌方情报	Informação Inimiga
乐园危机	Problemas no Paraíso
黑夜恐惧	Terrores Noturnos
闪点行动	Ponto Crítico
深入虎穴	Na Sombra do Inimigo
黑色苍穹	Céu Sombrio
终极王牌	Fim do Jogo
坚守直至帝国军抵达	Aguente até a chegada da Supremacia
潜入人类保卫者基地	Infiltre-se na base dos Defensores do Homem
击败异虫	Derrotar os zergs
获取地嗪	Adquirir o terrazino
找到证据	Encontrar as provas
抵御塔达林	Resista aos Tal'darim
摧毁赞托斯	Destrua o Xanto
诺娃从一座神秘的设施中逃了出来，在这之前她和其他几位幽灵特工一直被囚禁其中。各种解释不清的疑问扑面而来，她试图与帝国军重新建立起联系，渴望从他们那里查清楚自己之前是和什么人在一起，以及为什么会出现在那里。	Nova fugiu de uma misteriosa instalação onde ela e vários fantasmas estavam sendo mantidos presos. Perguntas sem resposta permeiam sua mente enquanto ela tenta restabelecer contato com a Supremacia, na esperança de que eles possam lançar alguma luz sobre com quem ela estava e por que estava lá.
诺娃得知她因叛国罪而遭到通缉，她被指与一个名为“人类保卫者”的恐怖组织有染……就是该组织对帝国治下的伯利亚星球发动了异虫突然袭击。现在重新回到帝国军队伍中的诺娃，准备亲自揭开保卫者组织的神秘面纱。	Nova descobriu que é procurada por traição depois de ser vista atuando com o grupo terrorista conhecido como os Defensores do Homem... o mesmo grupo responsável por rechaçar uma súbita investida zerg contra o mundo de Bórea, pertencente à Supremacia. Agora, novamente sob as ordens da Supremacia, cabe a ela desvelar os planos dos Defensores.
在恢复了部分被抹除的记忆后，诺娃找到并潜入了塔桑尼斯星球上的人类保卫者基地。她发现人类保卫者正在控制自己培育的异虫，并利用其对整个星区中的帝国势力发动攻击。她的小队正火速赶往一个高密度人口的星球，那里的异虫袭击迫在眉睫。	Ao restaurar uma parte de suas memórias apagadas, Nova localizou e se infiltrou na base dos Defensores do Homem em Tarsonis. Ela descobriu que eles estão controlando sua própria casta zerg e usando-a para realizar ataques contra mundos da Supremacia por todo o setor. Agora, sua equipe está prestes a se defrontar com um ataque zerg iminente contra um planeta civil densamente povoado.
虽然诺娃未能及时阻止泰拉多尔九号星的感染，但她还是成功从异虫和塔达林手中救下了星球上的平民幸存者。不过此举也从间接上帮助了人类保卫者，导致后者将此次营救的功劳据为己有。	Embora tenha chegado tarde para impedir a infestação de Tyrador IX, Nova resgatou os sobreviventes civis tanto dos zergs quanto dos Tal'darim. Mas seus esforços também fortaleceram os Defensores do Homem, que levaram o crédito pela evacuação.
顺利赢得阿拉纳克的挑战之后，诺娃现在拥有了可以恢复自己与人类保卫者记忆的地嗪。虽然有危险，但她仍然坚信使用地嗪可以找出人类保卫者的幕后黑手。	Depois de vencer o desafio de Alarak, Nova agora possui o terrazino de que precisa para se lembrar de sua história com os Defensores do Homem. Apesar dos riscos envolvidos, ela está confiante de que usar o terrazino revelará a identidade do líder deles.
诺娃终于回忆起了自己与人类保卫者的那段令人愧疚的过往，如今的她手握证据，准备将他们绳之以法。但是瓦伦里安命令诺娃不可轻举妄动，必须按照他的计划行事……其中包括他将以帝国皇帝的身份下野。	Nova descobriu a perturbadora verdade acerca de seu tempo com os Defensores do Homem e agora tem as provas necessárias para levá-los à justiça. Mas Valerian ordenou a ela que esperasse e confiasse em seu plano... que envolve a renúncia dele como imperador da Supremacia.
诺娃潜入了戴维斯的大本营，并将其成功逮捕。待到瓦伦里安在讲话中将其罪行以及她的人类保卫者最高领袖真实身份公之于众时，帝国就可以最终重归和平。	Nova se infiltrou com êxito no complexo de Davis e a capturou. Quando Valerian revelar as evidências dos crimes de Davis e sua liderança dos Defensores do Homem, no final do discurso dele, a Supremacia poderá enfim retomar a paz.
在与帝国军以及人类保卫者变节部队的合力抵抗下，诺娃成功击退了死亡舰队对瓦多纳的进攻，但是戴维斯也趁乱脱逃。现在，诺娃必须追查她的下落，并一劳永逸地将其绳之以法。	Junto com a Supremacia e os desertores dos Defensores do Homem, Nova rechaçou o ataque da Frota da Morte em Vardona. Mas Davis tirou proveito do caos da batalha para escapar da custódia. Agora Nova precisa rastreá-la e levá-la à justiça, de uma vez por todas.
人类保卫者集团彻底瓦解，其最高领袖戴维斯也命丧黄泉。在违抗命令擅自处死戴维斯之后，诺娃如今踏上了流亡之路。尽管身为逃亡者，诺娃准备率领她的船员们用他们自己的方式为帝国而战。</n></n>在一系列隐秘行动的努力之下，夺去了无数人生命的惊天阴谋终于大白于天下，并且被成功化解，帝国重归和平。“诺娃隐秘行动”也在此划上了句点。感谢你们所有人为此付诸的一切。	Os Defensores do Homem foram derrotados e Davis está morta. Por desobedecer uma ordem direta ao matar Davis, Nova agora precisa fugir. Apesar de seu status como fugitiva, ela continua pronta para liderar sua equipe na luta pela Supremacia, mas em seus próprios termos.</n></n>Graças aos esforços de uma agente secreta, uma conspiração que tomou inúmeras vidas inocentes foi exposta e desmantelada, e a ordem foi restaurada. Isso conclui a história de Nova: Operações Secretas. Agradecemos a todos pelo que fizeram.
其他几名幽灵特工与诺娃一道被俘虏了。找到并救出他们，让他们与诺娃并肩作战。	Vários fantasmas foram capturados junto com Nova. Localize-os e resgate-os para que eles possam lutar ao lado dela.
前往军械库，给诺娃找件武器进行装备。	Vá até o arsenal e encontre uma arma para equipar Nova.
诺娃需要有更强大的武器才能逃离。前往研究湾寻求武器。	Nova precisa de armamento mais poderoso para fugir. Vá até o polo de pesquisa para adquiri-lo.
诺娃已全副武装并准备逃离。躲过安保人员的追捕，想办法离开设施。	Nova está armada e pronta para fugir. Passe despercebido pela segurança e encontre uma saída.
诺娃必须离开这个星球才能联系帝国军。前往星港，找到一架穿梭机。	Nova precisa sair do planeta para entrar em contato com a Supremacia. Chegue ao estaleiro sideral para obter um ônibus espacial.
诺娃与帝国军失去了联系。如果让她命丧此地，那一切都完了。	Nova perdeu contato com a Supremacia. Se ela morrer aqui, tudo estará perdido.
研究中心正在遭受异虫攻击。赶在整个中心被摧毁前占领该区域，找到其中的科技。	O centro de pesquisa está sendo atacado pelos zergs. Proteja a área e impeça que o centro seja destruído para recuperar a tecnologia contida nele.
实验室正在遭受异虫攻击。赶在整个实验室被摧毁前占领该区域，找到其中的科技。	Os laboratórios estão sendo atacados pelos zergs. Proteja a área e impeça que os laboratórios sejam destruídos para recuperar a tecnologia contida neles.
霍纳在他的基地里只有极为有限的部队。协助他抵御异虫攻击，坚守至瓦伦里安的舰队抵达。	Horner tem apenas um número limitado de forças na base. Ajude-o a defendê-la dos zergs até a chegada da frota de Valerian.
一艘载满帝国军囚犯的人类保卫者运输机坠毁在了这一区域。营救幸存者，他们会加入诺娃的行动。	Um transporte dos Defensores do Homem carregado de prisioneiros da Supremacia caiu na área. Resgate os sobreviventes — eles se juntarão à causa de Nova.
人类保卫者一直在测试一些实验性武器。找到这类科技以便雷格尔能进行检验。	Os Defensores do Homem têm testado equipamentos experimentais em campo. Obtenha a tecnologia para que Reigel possa examiná-la.
诺娃的部队需要在人类保卫者基地的外围建立起一道防线，防止野生异虫在其潜入时逃出研究室。	As forças de Nova precisam estabelecer um perímetro ao redor da base dos Defensores do Homem para manter os zergs selvagens sob controle enquanto ela se infiltra.
从人类保卫者的通讯中心里找到任何有用的情报。	Encontre e recupere informações úteis da central de comunicação dos Defensores do Homem.
一名握有关键情报的技术人员逃往了指挥室。找到并抓捕他。	Um técnico com informações cruciais fugiu da sala de comando. Siga-o para prendê-lo.
诺娃独自一人深入敌后。如果她死了，一切都完了。	Nova está por conta própria além das linhas inimigas. Se ela morrer, é o fim.
这些异虫拥有一种有趣的变异基因。摧毁剩余的孵化场，为雷格尔搜集一些样本。	Esses zergs têm uma mutação interessante. Destrua as incubadoras restantes e colete algumas amostras para Reigel.
舰队航标正在产生一股异乎寻常的高能量读数。摧毁它，以便雷格尔可以对其能量源进行研究。	O Laboratório Avançado está gerando uma leitura de energia inesperadamente alta. Destrua-o para que Reigel possa estudar a fonte de energia dele.
更多的敌人正在袭来。赶在敌方增援抵达之前，摧毁这颗星球上已有的孵化场。	Mais inimigos estão a caminho. Destrua as incubadoras que já estão no planeta antes que os reforços cheguem.
诺娃的应急折跃技术尚未在这颗星球上成功安装。一旦她阵亡，一切都结束了。	A tecnologia de transdobra emergencial de Nova ainda não foi implementada neste planeta. Se ela morrer, será o fim.
塔达林母舰有多个护盾投射器在保护。必须将它们摧毁，才能直接攻击母舰。	A Nave-mãe Tal'darim está protegida por diversos Projetores de Escudo. Destrua-os para atacar a nave diretamente.
无辜的平民们正在当地的一座体育场内避难。摧毁塔达林母舰，不能让它靠近体育场。	Civis inocentes estão abrigados em um estádio local. Destrua a Nave-mãe Tal'darim antes que ela chegue até eles.
击毁母舰将彻底瓦解塔达林的攻势。	Eliminar a nave-mãe porá fim ao ataque Tal'darim.
使用萃取设施提取地嗪需要耗费一定的时间。在整个过程完成之前，保护好它们的安全。	Leva tempo para os dispositivos extraírem terrazino. Proteja-os das forças inimigas até o processo estar completo.
如果被摧毁的萃取设施过多，诺娃将会在这场挑战中告负，失去恢复自己记忆的机会。	Se muitos Dispositivos de Extração forem destruídos, Nova vai perder o desafio e a chance de recuperar suas lembranças.
雷格尔在城市废墟中探测到多处高能量等离子读数。找到这些源头，以便他能对其进行检查。	Reigel detectou leituras de plasma de alta energia entre as ruínas da cidade. Encontre e traga a fonte das leituras para que eu possa examiná-la.
诺娃必须故地重游才能唤醒自己的记忆，找到她所一直追寻的证据。	Nova precisa refazer seus passos para recuperar as lembranças e encontrar as provas de que precisa.
雷格尔探测到一个研究实验室存在一种复杂的能量信号。产生这种信号的科技一定非同凡响。	Reigel detectou assinaturas de energia intrincadas vindas de um dos laboratórios de pesquisa. A tecnologia geradora deve ser impressionante.
这座设施容纳的是戴维斯的中央军械库。她的部队在这里测试的武器将可以极大增强诺娃军队的实力。	Essa instalação abriga o arsenal principal de Davis. O armamento que as forças dela estão testando seria um valiosa adição ao exército de Nova.
人类保卫者把他们最机密的项目藏匿了起来，并对其严加保管。只有最擅长潜行与渗透的顶级特工才可以找到并获取它们。	Os Defensores do Homem mantêm seus projetos mais confidenciais guardados a sete chaves. Somente uma mestra da infiltração poderá encontrá-los e obtê-los.
雷格尔在这片区域探测到一股异常的能量信号。不管信号源到底是什么，它肯定是某种有价值的东西。	Reigel detectou um sinal de energia incomum na área. Seja lá o que estiver emitindo o sinal, poderá ser útil.
人类保卫者对他们的行动大本营投入了重兵防守。这些下水道是诺娃潜入设施的唯一途径。	Os Defensores do Homem fortificaram amplamente sua base de operações. Esses esgotos podem ser a única forma de Nova entrar nas instalações.
通往戴维斯办公室的几道大门都被上了电子锁。找到控制这些电子锁的远程控制终端，将其解锁。	As portas para o escritório de Davis estão protegidas com travas eletrônicas. Localize os terminais remotos e desative-as.
在戴维斯将军藏身的办公室周围布满了人类保卫者。想办法破解她的安保系统，然后找到她本人。	A General Davis está em seu escritório, cercada pelos Defensores do Homem. Encontre uma maneira de passar pelo sistema de segurança para chegar até ela.
斯通再次被俘，他的记忆也被随之篡改。诺娃必须打败斯通才能找到戴维斯。	Stone foi recapturado e suas memórias foram alteradas. Nova precisa vencer esta luta para chegar a Davis.
这座研究中心存放有最新研发的科技。如果这项科技能在袭击中幸存下来，它将让诺娃的武器库如虎添翼。	Há tecnologia recém-desenvolvida no centro de pesquisa. Se ela sobreviver ao assalto, poderá se tornar uma ferramenta poderosa no arsenal de Nova.
塔达林除非遭受巨大的伤亡，否则绝不会轻易撤退。尽可能地消灭他们的有生力量，逼其退兵。	Os Tal'darim não recuarão, a não ser que sofram perdas enormes. Force uma retirada eliminando o máximo deles que puder.
如果戴维斯成功歼灭帝国的戈尔贡级战列巡航舰，这将对瓦伦里安的舰队造成毁灭性打击。	Se Davis conseguir acabar com as Górgonas da Supremacia, será um golpe devastador na frota de Valerian.
战争机器只有在进行自我修复时，其核心才会对破坏毫无抵抗力。那也是攻击它的绝佳时机。	O núcleo da máquina de guerra só pode ser danificado quando ela estiver se consertando. Esse é o momento de atacar.
阻止她只有一个办法。做你必须要做的事情。	Só há uma maneira de detê-la. Faça o que é preciso.
样本可选目标	Sample Optional Objective
样本首要任务目标	Sample Primary Objective
营救幽灵	Resgatar Fantasmas
抵达军械库	Chegar até o Arsenal
抵达研究湾	Chegar até o Polo de Pesquisa
逃离设施	Escapar das Instalações
抵达星港	Chegar até o Estaleiro Sideral
诺娃必须存活	Nova precisa sobreviver
占领军事研究中心	Proteja o Centro de Pesquisas Militares
占领实验性武器实验室	Proteja os Laboratórios de Armamento Experimental
防守霍纳的基地	Defender a Base de Horner
营救幸存者	Resgatar os Sobreviventes
找到实验性科技部件	Recuperar Amostras da Tecnologia Experimental
将单位驻守到建筑内	Reunir Unidades nas Estruturas
前往通讯中心	Chegar à Central de Comunicação
前往指挥室	Chegar à Sala de Comando
摧毁剩余的孵化场	Destruir as incubadoras restantes
摧毁塔达林舰队航标	Destruir o Laboratório Avançado Tal'darim
在异虫抵达前摧毁孵化场	Destruir as incubadores antes da chegada dos zergs
摧毁护盾投射器	Destruir os projetores de escudo
平民掩体必须存活	O abrigo de civis deve sobreviver
摧毁塔达林母舰	Destruir a nave-mãe tal'darim
萃取地嗪	Extrair terrazino
设施不能被摧毁	Os dispositivos não podem ser destruídos
找到实验性武器	Recuperar a arma experimental
派遣诺娃搜索坐标	Procurar nas coordenadas com Nova
获取战术装备	Obtenha o equipamento tático
获取高级武器	Obtenha o armamento avançado
获取实验性武器	Obtenha a arma experimental
调查能量信号	Investigue o sinal de energia
潜入设施	Infiltre-se nas instalações
解除大门锁	Desative as travas das portas
击败斯通	Derrote Stone
保卫科研站	Proteja as instalações científicas
击败死亡舰队	Derrote a Frota da Morte
不要让戈尔贡被摧毁	Não deixe as Górgonas serem destruídas
[PH] Destroy the Xanthos Repair Bay	Destrua a plataforma de conserto do Xanto
杀死戴维斯	Mate Davis
Sample Primary Objective	Amostra de objetivo principal
<c val="9BFFBE">诺娃已折跃回指挥中心以免遭到致命伤害。她将于~A~秒后再次整装待命。</c>	<c val="9BFFBE">Nova foi transdobrada de volta à Central de Comando para evitar dano letal. Ela estará pronta para entrar em ação em ~A~ segundos.</c>
~Button Text~ <c val="FF0000">~Error Text~</c>	~Button Text~ <c val="FF0000">~Error Text~</c>
~A~ 胜利	Vitória de ~A~
~Desc Text~ <c val="FF0000">作弊码 </c>~command~ <c val="FF0000">已被使用一次以上。</c>	~Desc Text~ <c val="FF0000">O código </c>~command~ <c val="FF0000">está sendo usado mais de uma vez.</c>
~A~</s><img path="Assets\Textures\icon-gas-terran.dds" height="20" width="20"/>	~A~</s><img path="Assets\Textures\icon-gas-terran.dds" height="20" width="20"/>
<k val="~UNIT~,~BTN~,~ROW~,~COL~"/>	<k val="~UNIT~,~BTN~,~ROW~,~COL~"/>
~Button Text~	~Button Text~
~Button Text~ (已使用)	~Button Text~ (Usado)
Handle Hero Death:  Invalid unit type: ~A~	Tratar morte de herói: Tipo de unidade inválido: ~A~
~Desc Text~ <c val="FF0000">触发器 </c>~trigname~ <c val="FF0000">已被作弊码 </c>~command~ <c val="FF0000">所使用。</c>	~Desc Text~ <c val="FF0000">O ativador </c>~trigname~ <c val="FF0000">está sendo usado pelo cheat </c>~command~ <c val="FF0000">.</c>
<c val="FF0000">~ErrorMessage~</c>	<c val="FF0000">~ErrorMessage~</c>
~A~</s><img path="Assets\Textures\icon-mineral-terran.dds" height="20" width="20"/>	~A~</s><img path="Assets\Textures\icon-mineral-terran.dds" height="20" width="20"/>
~Tip Text~ <c val="FF0000">~Error Text~</c>	~Tip Text~ <c val="FF0000">~Error Text~</c>
<c val="9BFFBE">诺娃的静滞晶壳已被摧毁。她将于~A~秒后在指挥中心再次整装待命。</c>	<c val="9BFFBE">A Cápsula de Estase de Nova foi destruída. Ela estará na Central de Comando pronta para entrar em ação em ~A~ segundos.</c>
Ambient Scene Error! Attempted to add new scene but there are too many playing in room: ~A~	Erro na cena do ambiente! Houve uma tentativa de adicionar uma nova cena, mas há muitas sendo reproduzidas na sala: ~A~
从~B~移动至房间~A~	Movendo de ~B~ para a sala ~A~
诺娃- ~A~	Nova - ~A~
~SPEAKER~: ~LINE~	~SPEAKER~: ~LINE~
设置故事活动 = ~A~ （停止~B~）	Definir atividade de história = ~A~ (Parando ~B~)
We passed for ~A~.~B~.~C~	Passamos por ~A~.~B~.~C~
Setting ~A~.~B~.~C~ to ~D~	Definindo ~A~.~B~.~C~ para ~D~
从~UNITNAME~上卸除	Desequipar de ~UNITNAME~
~FINALTEXT~<n/>~EQUIPMENTNAME~ (已获得)	~FINALTEXT~<n/>~EQUIPMENTNAME~ (Obtido)
解锁于行动：~A~	Desbloqueado na operação: ~A~
使用中: <s val="NovaArmyUpgradesSubselectionItemStatusUnitName">~UNITNAME~</s>	Em uso: <s val="NovaArmyUpgradesSubselectionItemStatusUnitName">~UNITNAME~</s>
~MISSIONTITLE~ - ~DIFFICULTYTITLE~	~MISSIONTITLE~ - ~DIFFICULTYTITLE~
This is an extra long fake descriptions for upgrade panel ~A~ option ~B~ so that it will wordwrap at least once in the UI.	Uma descrição falsa superlonga para a opção ~B~ do painel ~A~ para que ela quebre a linha ao menos uma vez na interface.
~FINALTEXT~<n/>~TECHITEMNAME~ (已获得)	~FINALTEXT~<n/>~TECHITEMNAME~ (Obtido)
升级面板 ~A~ 选项 ~B~	Opção ~B~ do painel de aprimoramento ~A~
~BOTTOMBARTOOLTIP~<n/><c val="ffffff">~EXTENDEDTIP~</c>	~BOTTOMBARTOOLTIP~<n/><c val="ffffff">~EXTENDEDTIP~</c>
解锁于行动：~MissionName~。	Desbloqueado na operação: ~MissionName~.
该科技已经装备在~UNITNAME~身上了。	Esta tecnologia já está equipada em: ~UNITNAME~.
装备该科技将升级~UNITNAME~。	Esta tecnologia vai aprimorar: ~UNITNAME~.
科技库：~A~	Repositório de Tecnologia: ~A~
~FINALTEXT~<n/>~EQUIPMENTNAME~（错过）	~FINALTEXT~<n/>~EQUIPMENTNAME~ (Perdidos)
<c val="ffffff">~A~</c>	<c val="ffffff">~A~</c>
升级选项 ~A~	OPÇÕES DE APRIMORAMENTO ~A~
<s val="NovaScoreScreenItemNameMissed">~EQUIPMENT~（错过）</s>	<s val="NovaScoreScreenItemNameMissed">~EQUIPMENT~ (Perdidos)</s>
~Hero~ 未设置为一名虚空英雄。	~Hero~ não configurado para ser Herói de Void.
从~UNITNAME~身上转移	Transferir de ~UNITNAME~
<n/> - ~A~	<n/> - ~A~
装备给~UNITNAME~	Equipar em: ~UNITNAME~
~FINALTEXT~<n/>~TECHITEMNAME~（错过）	~FINALTEXT~<n/>~TECHITEMNAME~ (Perdidos)
<n/><s val="MasterArchivesIntroDescription"><n/>~A~</s><n/><n/><s val="MasterArchivesIntroAction"><n/>~B~</s>	<n/><s val="MasterArchivesIntroDescription"><n/>~A~</s><n/><n/><s val="MasterArchivesIntroAction"><n/>~B~</s>
<s val="NovaScoreScreenItemNameMissed">~UPGRADE~（错过）</s>	<s val="NovaScoreScreenItemNameMissed">~UPGRADE~ (Perdidos)</s>
<c val="444444">在~A~前完成</c>	<c val="444444">Conclusão ~A~ atrás</c>
<c val="888888">~A~</c>	<c val="888888">~A~</c>
错误: 单位 ~A~ 无法使用 ~B~	Erro: Unidade ~A~ não pode usar ~B~
生成 ~A~ 与 ~B~	Faz ~A~ e ~B~
(+~A~)	(+~A~)
<c val="444444">~A~</c>	<c val="444444">~A~</c>
<c val="00A050">~A~</c>	<c val="00A050">~A~</c>
<c val="00DDDD">~A~</c>	<c val="00DDDD">~A~</c>
<s val="CampaignPanelLastMissionTitle">任务包#1已完成！</s><n/><n/><s val="CampaignPanelLastMissionDescription">~SUMMARY~</s><n/><n/><n/><s val="CampaignPanelItemTitle">任务已完成：</s> <s val="CampaignPanelItemText">~MISSIONSCOMPLETE~</s><n/><s val="CampaignPanelItemTitle">难度：</s> <s val="CampaignPanelItemText">~DIFFICULTY~</s>	<s val="CampaignPanelLastMissionTitle">PACOTE DE MISSÕES 1 COMPLETADO!</s><n/><n/><s val="CampaignPanelLastMissionDescription">~SUMMARY~</s><n/><n/><n/><s val="CampaignPanelItemTitle">MISSÕES COMPLETADAS:</s> <s val="CampaignPanelItemText">~MISSIONSCOMPLETE~</s><n/><s val="CampaignPanelItemTitle">DIFICULDADE:</s> <s val="CampaignPanelItemText">~DIFFICULTY~</s>
<s val="CampaignPanelLastMissionTitle">诺娃隐秘行动已通关！</s><n/><n/><s val="CampaignPanelLastMissionDescription">~SUMMARY~</s><n/><n/><n/><s val="CampaignPanelItemTitle">完成任务：</s> <s val="CampaignPanelItemText">~MISSIONSCOMPLETE~</s><n/><s val="CampaignPanelItemTitle">难度：</s> <s val="CampaignPanelItemText">~DIFFICULTY~</s>	<s val="CampaignPanelLastMissionTitle">NOVA: OPERAÇÕES SECRETAS CONCLUÍDO!</s><n/><n/><s val="CampaignPanelLastMissionDescription">~SUMMARY~</s><n/><n/><n/><s val="CampaignPanelItemTitle">MISSÕES CONCLUÍDAS:</s> <s val="CampaignPanelItemText">~MISSIONSCOMPLETE~</s><n/><s val="CampaignPanelItemTitle">DIFICULDADE:</s> <s val="CampaignPanelItemText">~DIFFICULTY~</s>
任务已标记为完成: ~A~	Missão marcada como concluída: ~A~
