非晶态装甲云	Amorphe Deckungswolke
使折跃门的充能次数由1提高至3。	Erhöht die Anzahl der Aufladungen von Warptoren von 1 auf 3.
德哈卡可以收集精华、变强和选择突变。德哈卡孵化速度比其他英雄单位都要快，而且可以吞食原始工蜂来缩短复活时间。	Dehaka sammelt Essenz, um stärker zu werden und Mutationen auszuwählen. Er ist schneller einsatzbereit als andere Heldeneinheiten und kann Urdrohnen verschlingen, um die Zeit bis zur Wiederbelebung zu verringern.
可以指挥单位进行原始战斗，强迫进化。解锁以下新进化：<n/><ul indent="2" text="▪"><li/>原始跳虫可以进化为掠食龙。<li/>原始蟑螂可以进化为原始点火虫。</ul>	Einheiten können gegeneinander kämpfen, der Sieger entwickelt sich weiter. Dieser Überlebenskampf gewährt folgende Evolutionen:<n/><ul indent="2" text="•"><li/>Urzerglinge können sich zu Ravasauriern weiterentwickeln.<li/>Urschaben können sich zu Urfeuerschaben weiterentwickeln.</ul>
在格里维格的巢穴中解锁以下升级：<n/><ul indent="2" text="▪"><li/>掠食龙的移动速度和攻击射程提高。<li/>掠食龙对重甲敌人的伤害提高15点。</ul>	Schaltet die folgenden Upgrades in Glevigs Bau frei:<n/><ul indent="2" text="•"><li/>Erhöht die Bewegungsgeschwindigkeit und die Angriffsreichweite von Ravasauriern.<li/>Erhöht den Angriffsschaden von Ravasauriern gegen gepanzerte Gegner um 15.</ul>
德哈卡、原始蠕虫和大型原始蠕虫获得深槽虫道技能。	Dehaka, Urwürmer und große Urwürmer erhalten die Fähigkeit, Tiefentunnel zu graben.
德哈卡的等级上限从10级提高至12级，并解锁以下突变选择：<n/><ul indent="2" text="▪"><li/>获得侦测隐形和潜地单位的技能。<li/>提高护甲。</ul>	Erhöht Dehakas Maximalstufe von 10 auf 12 und schaltet die folgenden Mutationsmöglichkeiten für Dehaka frei:<n/><ul indent="2" text="•"><li/>Erhält die Fähigkeit, getarnte und eingegrabene Einheiten aufzudecken.<li/>Erhält zusätzliche Panzerung.</ul>
可以指挥单位进行原始战斗，强迫进化。解锁以下新进化：<n/><ul indent="2" text="▪"><li/>原始刺蛇可以进化为原始异龙。<li/>原始蟑螂可以进化为原始守护者。</ul>	Einheiten können gegeneinander kämpfen, der Sieger entwickelt sich weiter. Dieser Überlebenskampf gewährt folgende Evolutionen:<n/><ul indent="2" text="•"><li/>Urhydralisken können sich zu Urmutalisken weiterentwickeln.<li/>Urschaben können sich zu Urwächtern weiterentwickeln.</ul>
在穆尔瓦的巢穴中解锁以下升级：<n/><ul indent="2" text="▪"><li/>原始异龙死亡后会很快复活。<li/>原始守护者可以对敌方地面单位发射范围伤害孢子。</ul>	Schaltet die folgenden Upgrades in Murvars Bau frei:<n/><ul indent="2" text="•"><li/>Urmutalisken werden kurze Zeit nach dem Tod wiederbelebt.<li/>Urwächter können Sporen auf gegnerische Bodeneinheiten schleudern, um Flächenschaden zu verursachen.</ul>
可以指挥单位进行原始战斗，强迫进化。解锁以下新进化：<n/><ul indent="2" text="▪"><li/>原始刺蛇可以进化为穿刺者。<li/>原始宿主可以进化为掘地虫宿主。</ul>	Einheiten können gegeneinander kämpfen, der Sieger entwickelt sich weiter. Dieser Überlebenskampf gewährt folgende Evolutionen:<n/><ul indent="2" text="•"><li/>Urhydralisken können sich zu Urpfählern weiterentwickeln.<li/>Urwirte können sich zu Zeckenwirten weiterentwickeln.</ul>
在格里维格的巢穴中解锁以下升级：<n/><ul indent="2" text="▪"><li/>原始点火虫对轻甲单位造成额外伤害。<li/>穿刺者的攻击对敌人造成暴捶效果，使其受到持续伤害。德哈卡吞食被暴捶的敌人后产生的冷却时间是通常的25%。</ul>	Schaltet die folgenden Upgrades in Glevigs Bau frei:<n/><ul indent="2" text="•"><li/>Urfeuerschaben fügen leichten Einheiten Bonusschaden zu.<li/>Angriffe von Urpfählern sorgen dafür, dass Gegner ausbluten, wobei sie Schaden über Zeit erleiden. Wenn Dehaka ausgeblutete Einheiten verschlingt, verringert sich die normale Abklingzeit auf 25%.</ul>
虫群首领和原始蠕虫获得新技能：<n/><ul indent="2" text="▪"><li/>格里维格获得火焰吐息，可以造成范围伤害。<li/>穆尔瓦还会孵化爆裂掘地虫。<li/>达克伦可以把伤害反弹给敌方攻击单位。<li/>原始蠕虫和大型原始蠕虫获得发射强力酸液的能力。</ul>	Die Rudelführer und die Urwürmer erhalten neue Fähigkeiten:<n/><ul indent="2" text="•"><li/>Glevig erhält einen Feueratem, der Flächenschaden verursacht.<li/>Murvar erschafft zusätzlich explosive Zecken.<li/>Dakrun reflektiert Schaden zurück zum Angreifer.<li/>Urwürmer und große Urwürmer erhalten die Fähigkeit, einen mächtigen Säurestrahl auszustoßen.</ul>
可以指挥单位进行原始战斗，强迫进化。解锁以下新进化：<n/><ul indent="2" text="▪"><li/>原始雷兽可以进化为暴龙兽。<li/>暴龙兽获得范围性伤害技能。</ul>	Einheiten können gegeneinander kämpfen. Der Sieger entwickelt sich weiter. Dieser Überlebenskampf gewährt folgende Evolutionen:<n/><ul indent="2" text="•"><li/>Urultralisken können sich zu Tyrannozors weiterentwickeln.<li/>Tyrannozors erhalten eine Fähigkeit mit Flächenschaden.</ul>
德哈卡的等级上限从12级提高至14级，并解锁以下突变选择：<n/><ul indent="2" text="▪"><li/>被动治疗附近的友方单位。<li/>可以对空。</ul>	Erhöht Dehakas Maximalstufe von 12 auf 14 und schaltet die folgenden Mutationsmöglichkeiten für Dehaka frei:<n/><ul indent="2" text="•"><li/>Heilt verbündete Einheiten in der Nähe passiv.<li/>Kann Lufteinheiten angreifen.</ul>
在穆尔瓦和达克伦的巢穴中解锁以下升级：<n/><ul indent="2" text="▪"><li>原始雷兽和暴龙兽的攻击有几率击晕敌人。</li><li>暴龙兽使附近友方单位获得额外护甲。</li><li>掘地虫宿主的掘地虫的移动速度提高，而且可以对空。</li></ul>	Schaltet die folgenden Upgrades in Murvars Bau und Dakruns Bau frei:<n/><ul indent="2" text="•"><li>Urultralisken und Tyrannozors haben eine Chance, Gegner zu betäuben.</li><li>Tyrannozors gewähren verbündeten Einheiten in der Nähe zusätzliche Rüstung.</li><li>Die Zecken des Zeckenwirts erhalten erhöhte Bewegungsgeschwindigkeit und können Lufteinheiten angreifen.</li></ul>
德哈卡的等级上限从14级提高至15级，并且一开始就有额外的突变点数。	Dehakas Maximalstufe wird von 14 auf 15 erhöht und er beginnt mit einem zusätzlichen Mutationspunkt.
原始战斗进化有几率变异，可以提供永久被动加成，提高生命值、攻击速度、获得生命吸取等。	Durch Überlebenskampf weiterentwickelte Einheiten haben eine Chance zu mutieren und dauerhaft passive Boni zu verleihen, die unter anderem Trefferpunkte oder Angriffsgeschwindigkeit erhöhen oder Trefferpunkteentzug verleihen können.
菲尼克斯可以在战场上任意位置折跃多种战甲配置。战甲只有在未加入战场的状态下才能恢复生命值和能量值。<n><n>菲尼克斯的战斗单位费用降低20%。	Fenix kann an jedem beliebigen Ort des Schlachtfelds zu einer neuen Panzerungskonfiguration wechseln. Trefferpunkte und Energie werden aber nur regeneriert, wenn Konfigurationen nicht aktiv auf dem Schlachtfeld eingesetzt werden.<n><n>Fenix' Kampfeinheiten kosten 20% weniger.
每当智能人格英雄类型的宿主机体被摧毁时，智能人格英雄获得攻击和移动速度加成（每点补给提供10%），或者智能人格英雄转移至新的宿主机体时，获得50%速度加成。速度加成最多可以叠加到100%，在不刷新的情况下可以持续20秒。	Erhöht die Angriffs- und Bewegungsgeschwindigkeit von KI-Persönlichkeiten pro Versorgung um 10%, wenn eine Wirtseinheit ihres Typs zerstört wird, sowie um 50%, wenn sie zu einer neuen Wirtseinheit wechseln. Geschwindigkeitserhöhungen sind stapelbar bis maximal 100% und halten 20 Sek. lang an, falls sie nicht erneuert werden.
解锁下列升级：<n/><ul indent="2" text="▪"><li/>干扰者成为永久隐形状态 (在机械研究所中研究)<li/>干扰者净化新星爆炸两次 (在机械研究所中研究)<li/>保护者的防护场持续时间延长100% (在控制芯核中研究)</ul>	Schaltet die folgenden Upgrades frei:<n/><ul indent="2" text="•"><li/>Disruptoren bleiben dauerhaft getarnt (wird im Roboterdock erforscht).<li/>Die Psi-Nova des Disruptors explodiert zweimal (wird im Roboterdock erforscht).<li/>Erhöht die Dauer des Schutzfelds des Konservators um 100% (wird im Kybernetik-Kern erforscht).</ul>
每有一个同类型的宿主机体，智能人格英雄的特殊技能便获得加成 (最多获得20个补给的加成)。	Die Spezialfähigkeiten der einzelnen KI-Persönlichkeiten werden stärker mit jeder Wirtseinheit vom gleichen Typ (bis zu einem maximalen Versorgungswert von 20).
建筑不再有科技需求限制，晶体矿费用降低50%，瓦斯费用降低100%。	Produktions- und Technologiegebäude haben keine Tech-Voraussetzungen mehr, kosten 50% weniger Mineralien und 100% weniger Vespingas.
当前离线的菲尼克斯战甲生命恢复和护盾恢复速度加快20%。	Die Trefferpunkte und Schilde von Fenix' Panzerungskonfigurationen, die offline sind, regenerieren 20% schneller.
在光影议会中解锁下列升级：<n/><ul indent="2" text="▪"><li/>卡尔达利斯的攻击造成范围性伤害<li/>塔里斯的回旋刃额外弹跳5次，并使受影响的单位承受额外的伤害</ul>	Schaltet die folgenden Upgrades im Zirkel des Zwielichts frei:<n/><ul indent="2" text="•"><li/>Kaldalis' Angriffe verursachen Flächenschaden.<li/>Talis' Querschlägergleve springt fünfmal mehr über und erhöht den erlittenen Schaden von getroffenen Einheiten.</ul>
解锁下列升级：<n/><ul indent="2" text="▪"><li/>塔尔达林的攻击可储存对敌人造成的伤害，并在敌人被击杀后释放所有储存的伤害，造成范围性伤害 (在机械研究所中研究)<li/>允许摩约发射一轮反物质飞弹弹幕 (在舰队航标中研究)</ul>	Schaltet die foldenden Upgrades frei:<n/><ul indent="2" text="•"><li/>Taldarins Angriffe speichern auf jedem Gegner Schaden, der beim Tod der Einheit als Flächenschaden freigesetzt wird (wird im Roboterdock erforscht).<li/>Erlaubt Mojo, eine Salve Antimaterie-Raketen abzufeuern (wird im Flottensignalgeber erforscht).</ul>
解锁下列升级：<n/><ul indent="2" text="▪"><li/>战争使者获得一项技能，可对敌方单位发射一次毁灭性轰击 (在机械研究所中研究)<li/>科罗拉里昂可以建造强击机轰炸敌方单位 (在舰队航标中研究)</ul>	Schaltet die folgenden Upgrades frei:<n/><ul indent="2" text="•"><li/>Der Warbringer erhält die Fähigkeit, eine zerstörerische Welle auf eine gegnerische Einheit abzufeuern (wird im Roboterdock erforscht).<li/>Clolarion kann Interdiktoren bauen, die gegnerische Einheiten bombardieren (wird im Flottensignalgeber erforscht).</ul>
在锻炉中解锁下列升级：<n/><ul indent="2" text="▪"><li/>所有菲尼克斯战甲获得+15攻击伤害<li/>菲尼克斯的塞布罗斯仲裁者战甲获得侦测能力</ul>	Schaltet die folgenden Upgrades in der Schmiede frei:<n/><ul indent="2" text="•"><li/>Alle Panzerungskonfigurationen von Fenix erhalten +15 Angriffsschaden.<li/>Fenix' Konfiguration Cybros-Arbiter erhält einen Detektoreffekt.</ul>
解锁菲尼克斯的塞布罗斯仲裁者战甲。塞布罗斯号仲裁者战甲可以使其自身以及附近的盟友隐身，将友方单位召回其所在位置，和使用静滞技能禁锢敌方单位。	Schaltet Fenix' Konfiguration Cybros-Arbiter frei. In dieser Konfiguration kann Fenix sich selbst und Verbündete in der Nähe tarnen, verbündete Einheiten zu sich warpen und gegnerische Einheiten mit Stasis außer Gefecht setzen.
机械干扰型单位。可以使用净化新星造成大量范围性伤害。可在机械台中进行折跃。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Robotische Kontereinheit. Kann die Fähigkeit "Psi-Nova" einsetzen, um schweren Flächenschaden zu verursachen.<n/><n/><c val="#ColorAttackInfo">Kann Bodeneinheiten angreifen.</c>
在净化者议会中解锁额外的智能人格：<n/><ul indent="2" text="▪"><li/>塔尔达林 - 不朽者<li/>摩约 - 侦察机</ul>	Schaltet in der Richterkonklave zusätzliche KI-Persönlichkeiten frei:<n/><ul indent="2" text="•"><li/>Taldarin - Unsterblicher<li/>Mojo - Scout</ul>
在净化者议会中解锁额外的智能人格：<n/><ul indent="2" text="▪"><li/>战争使者 - 巨像<li/>科罗拉里昂 - 航母</ul>	Schaltet in der Richterkonklave zusätzliche KI-Persönlichkeiten frei:<n/><ul indent="2" text="•"><li/>Warbringer - Koloss<li/>Clolarion - Träger</ul>
解锁净化者议会建筑，允许你研究星灵英雄的智能人格。研究完成后，这些智能人格会自动下载至任意可用的宿主单位上。<n><n>智能人格已解锁：<n><ul indent="2" text="▪"><li/>卡尔达利斯 - 军团士兵<li/>塔里斯 - 使徒	Schaltet die Richterkonklave frei. Ermöglicht Ihnen, KI-Persönlichkeiten von Protosschampions zu erforschen. Einmal erforscht, werden diese KI-Persönlichkeiten automatisch in jede verfügbare Wirtseinheit heruntergeladen.<n><n>KI-Persönlichkeiten freigeschaltet:<n><ul indent="2" text="•"><li/>Kaldalis - Legionär<li/>Talis - Adept
友方单位被杀死时会为这些单位的指挥官掉落资源。马特·霍纳开局会有一个可以训练精英飞行器的星港。	Verbündete Einheiten hinterlassen bei ihrem Tod Ressourcen für den jeweiligen Kommandanten dieser Einheit. Matt Horner beginnt das Spiel mit einem Raumhafen, der Elite-Lufteinheiten bauen kann.
解锁攻击战斗机平台和精确打击技能。发射一架攻击战斗机，对目标敌人或区域执行空中打击。	Schaltet die Kampfjägerplattform und die Fähigkeit "Präzisionsschlag" frei. Kann Kampfjäger aussenden, die Luftschläge gegen Gegner oder Zielgebiete durchführen.
解锁以下升级：</n><ul indent="2" text="▪"><li/>突击炮舰可以单独升级能自动建造和发射无人战斗机的机库<li/>忒伊亚铁鸦的分析弱点可以额外瞄准2个单位</ul>	Schaltet die folgenden Upgrades frei:<n/><ul indent="2" text="•"><li/>Kampfgaleonen können individuell mit Hangarbuchten ausgestattet werden, die automatisch Angriffsdrohnen bauen und einsetzen.<li/>Die Fähigkeit "Schwachstelle analysieren" von Theia-Raven kann bis zu 2 zusätzliche Einheiten anvisieren.</ul>
在工程站中解锁以下升级：</n><ul indent="2" text="▪"><li/>提高收割者的移动速度，使其获得可以飞行10秒的能力。<li/>寡妇雷的攻击范围扩大50%，可以更加快速地潜地和出地。</ul>	Schaltet die folgenden Upgrades im Maschinendock frei:<n/><ul indent="2" text="•"><li/>Erhöht die Bewegungsgeschwindigkeit von Rächern und erlaubt ihnen, 10 Sek. lang zu fliegen.<li/>Erhöht die Reichweite von Arachnominen um 50% sowie ihre Ein- und Ausgrabegeschwindigkeit.</ul>
解锁呼叫霍纳的舰队进行近轨道火力支援。舰队会对目标区域内的随机敌方单位造成巨量伤害。	Schaltet die Fähigkeit "Flotte anfordern" frei. Ruft planetare Unterstützung durch Horners Armada aus der näheren Umgebung herbei. Die Armada fügt zufälligen Gegnern im Zielgebiet massiven Schaden zu.
米拉单位的建造时间和研究时间缩短30%	Verringert die Forschungszeiten und die Bauzeiten von Miras Einheiten um 30%.
在星港的科技实验室中解锁以下升级：</n><ul indent="2" text="▪"><li/>怨灵战机每攻击一次，其攻击速度提高10%，最高可达100%。<li/>维京战机在机甲模式下可以对目标后方的敌方单位造成伤害。维京战机的变形时间减少75%。</ul>	Schaltet die folgenden Upgrades im Tech-Labor des Raumhafens frei:<n/><ul indent="2" text="•"><li/>Erhöht die Angriffsgeschwindigkeit von Raumjägern mit jedem Angriff um 10% bis um maximal 100%.<li/>Angriffe von Vikings im Sturmmodus durchschlagen Ziele und fügen gegnerischen Einheiten dahinter Schaden zu. Verringert die Transformationszeit von Vikings um 75%.</ul>
补给站已使用帝国科技进行升级，使其生命值和补给提高100%。	Versorgungsdepots werden mit Liga-Technologie ausgerüstet, was ihre Trefferpunkte und Kapazität um 100% erhöht.
在工程站中解锁以下升级：</n><ul indent="2" text="▪"><li/>允许恶火使用焦油炸弹，造成20点伤害，并降低附近敌人的移动速度。<li/>恶蝠的攻击会使敌人燃烧。</ul>	Schaltet die folgenden Upgrades im Maschinendock frei:<n/><ul indent="2" text="•"><li/>Hellions können Teerbomben einsetzen, die 20 Schaden verursachen und nahe Gegner verlangsamen.<li/>Kampfhellions setzen Gegner in Brand.</ul>
解锁使用空间站调度技能。空间站撞击时对英雄目标造成500点伤害，撞击范围内的其它一切存在都将被立即摧毁。攻击型无人机会攻击附近的目标。	Schaltet die Fähigkeit "Weltraumstation kapern" frei. Die Raumstation fügt heroischen Zielen bei Kontakt 500 Schaden zu, alles andere wird auf der Stelle zerstört. Angriffsdrohnen greifen Ziele in der Nähe an.
霍纳的单位脱离战斗后会恢复生命。	Horners Einheiten regenerieren Trefferpunkte, wenn sie sich nicht im Kampf befinden.
呼叫舰队用激光炮组轰击敌方目标，并发射优先攻击高生命值目标的大和炮。	Die Luftflotte bombardiert feindliche Einheiten mit Laserbatterien und feuert Yamato-Kanonen ab, die Ziele mit vielen Trefferpunkten bevorzugen.
在聚变芯体中解锁以下升级：<n/><ul indent="2" text="▪"><li/>战列巡航舰的武器系统升级成威力强大的粒子光炮。<li/>攻击战斗机平台的精确打击会使用凝固汽油弹点燃目标位置。</ul>	Schaltet die folgenden Upgrades im Fusionskern frei:<n/><ul indent="2" text="•"><li/>Erweitert die Waffensysteme von Schweren Kreuzern mit mächtigen Partikelkanonen.<li/>Präzisionsschläge setzen das Zielgebiet mit Napalm in Brand.</ul>
空间站调度会在毁灭时引发核爆装置。	Gekaperte Raumstationen lösen bei ihrer Zerstörung nukleare Explosionen aus.
你的单位会根据军队的构成而获得加成：<n/><ul indent="2" text="▪"><li/>米拉的单位每占用一点补给，霍纳的单位获得0.5%的生命值。<li/>霍纳的单位每占用一点补给，米拉的单位获得0.5%的攻击速度。</ul>	Einheiten erhalten Boni abhängig von der Armeezusammenstellung.<n/><ul indent="2" text="•"><li/>Horners Einheiten erhalten 0,5% zusätzliche Trefferpunkte für jeden Versorgungszähler, der von Miras Einheiten belegt wird.<li/>Miras Einheiten erhalten 0,5% Angriffsgeschwindigkeit für jeden Versorgungszähler, der von Horners Einheiten belegt wird.</ul>
在舰队航标中解锁以下升级：<n/><ul indent="2" text="▪"><li/>允许幻影战机在受到伤害后暂时无敌。<li/>允许航母自动修理附近的机械单位。	Schaltet die folgenden Upgrades im Flottensignalgeber frei:<n/><ul indent="2" text="•"><li/>Mirages werden nach dem Erleiden von Schaden kurzzeitig unverwundbar.<li/>Ermöglicht Trägern die Reparatur mechanischer Einheiten in der Nähe.</ul>
在锻炉中解锁以下升级：<n/><ul indent="2" text="▪"><li/>光子炮台、凯达琳巨石和护盾充能器的射程提高2。<li/>光子炮台和凯达琳巨石的攻击速度提高25%。<li/>使护盾充能器能使建筑获得伤害吸收屏障。</ul>	Schaltet die folgenden Upgrades in der Schmiede frei:<n/><ul indent="2" text="•"><li/>Erhöht die Reichweite von Photonenkanonen, Khaydarin-Monolithen und Schildbatterien um 2.<li/>Erhöht die Angriffsgeschwindigkeit von Photonenkanonen und Khaydarin-Monolithen um 25%.<li/>Schildbatterien können Gebäude mit einer Barriere schützen.</ul>
水晶塔、光子炮台、凯达琳巨石和护盾充能器可瞬间折跃完成。	Pylonen, Photonenkanonen, Khaydarin-Monolithen und Schildbatterien werden ohne Verzögerung herangewarpt.
时空波动现在提高所有友方建筑的生产速度500%，持续20秒。	Die Fähigkeit "Zeitschleifenwelle" erhöht jetzt die Produktionsgeschwindigkeit aller verbündeten Gebäude 20 Sek. lang auf 500%.
凯拉克斯的战斗单位生命值提高50%，但费用增加30%。轨道轰击不再拥有冷却时间或充能计数，每束打击现在消耗5点能量。	Karax' Kampfeinheiten haben 50% mehr Trefferpunkte, kosten aber 30% mehr. Orbitalschlag hat keine Abklingzeit oder Aufladungen mehr und kostet 5 Energie pro Schuss.
净化光束的移动速度提高200%，持续时间延长5秒。	Erhöht die Bewegungsgeschwindigkeit des Destruktorstrahls um 200% und seine Dauer um 5 Sek.
在机械研究所解锁以下升级：<n/><ul indent="2" text="▪"><li/>解锁不朽者的暗影光炮技能，对一个敌方地面或空中单位造成320点伤害。<li/>巨像的攻击会在地面上留下火焰，造成额外的持续伤害。</ul>	Schaltet die folgenden Upgrades im Roboterdock frei:<n/><ul indent="2" text="•"><li/>Ermöglicht Unsterblichen den Einsatz der Fähigkeit "Schattenkanone", die einer gegnerischen Boden- oder Lufteinheit 320 Schaden zufügt.<li/>Angriffe von Kolossen setzen den Boden in Brand, was zusätzlichen Schaden über Zeit verursacht.</ul>
在太阳锻炉解锁以下升级：<n/><ul indent="2" text="▪"><li/>重构光束可以影响一个额外目标。<li/>太阳能利用率等级3。</ul>	Schaltet die folgenden Upgrades in der Solarschmiede frei:<n/><ul indent="2" text="•"><li/>Ermöglicht dem Rekonstruktionsstrahl, zusätzliche Ziele anzuvisieren.<li/>Solareffizienz der Stufe 3.</ul>
在太阳锻炉解锁以下升级：<n/><ul indent="2" text="▪"><li/>轨道轰炸会使区域内的敌人昏迷。<li/>太阳能射线枪会在地面上留下火焰，造成额外的持续伤害。</ul>	Schaltet die folgenden Upgrades in der Solarschmiede frei:<n/><ul indent="2" text="•"><li/>Der Orbitalschlag betäubt Gegner im Zielgebiet.<li/>Die Solarlanze steckt den Boden in Brand und verursacht so zusätzlichen Schaden über Zeit.</ul>
在光影议会中解锁以下升级：<n/><ul indent="2" text="▪"><li/>使警戒者在被杀死时可以自动复活。<li/>使激励者获得临时控制敌方机械单位的能力。<li/>激励者和护盾充能器的能量恢复速度提高200%。</ul>	Schaltet die folgenden Upgrades im Zirkel des Zwielichts frei:<n/><ul indent="2" text="•"><li/>Vollstrecker werden nach dem Tod automatisch wiederbelebt.<li/>Induktoren können kurzzeitig die Kontrolle über gegnerische mechanische Einheiten übernehmen.<li/>Erhöht Energieregeneration für Protektoren und Schildbatterien um 200%.</ul>
所有友方单位获得一个屏障，能够阻挡一次至少20点伤害的攻击或法术。单位诞生时获得该屏障，并且该效果每240秒只能触发一次。	Alle verbündeten Einheiten erhalten eine Barriere, die einen Angriff oder eine Fähigkeit blockt, die mindestens 20 Schaden verursacht. Diese Barriere entsteht bei der Erschaffung einer Einheit und tritt nur alle 240 Sek. auf.
发射一枚光束，在15秒内造成750（1500 vs 重甲单位）点伤害。若不手动控制，该光束会自动获取目标。	Feuert einen Strahl ab, der im Verlauf von 15 sek. 750 (1500 gegen gepanzerte Ziele) Schaden verursacht. Der Strahl sucht sich seine Ziele automatisch, wenn er nicht manuell gesteuert wird.
自动对友方机械单位进行持续修理。最多可以同时修理3个目标。<n/><n/><c val="ffff8a">被动技能。</c>	Verbündete mechanische Einheiten werden mit der Zeit automatisch repariert. Es können bis zu 3 Ziele gleichzeitig repariert werden.<n/><n/><c val="ffff8a">Passive Fähigkeit.</c>
所有友方建筑的生产速度提高15%。<n/><n/><c val="#ColorAttackInfo">被动技能。</c>	Erhöht die Produktionsgeschwindigkeit aller verbündeten Gebäude um 15%.<n/><n/><c val="#ColorAttackInfo">Passive Fähigkeit.</c>
亚顿之矛获得超载水晶塔的能力，使其获得远距离攻击武器，攻击附近的敌方地面和空中单位。<n/><n/><c val="ffff8a">被动技能。</c>	Die Speer des Adun kann Pylonen überladen und gewährt ihnen eine Langstreckenwaffe, die gegnerische Boden- und Lufteinheiten angreift.<n/><n/><c val="ffff8a">Passive Fähigkeit.</c>
解锁凯瑞甘的定身波技能，对位于其周围的一个大范围内的敌人造成伤害并陷入昏迷。	Schaltet Kerrigans Fähigkeit "Lähmende Welle" frei, die Gegner in einem großen Bereich um sie herum betäubt und ihnen Schaden zufügt.
将虫道网络升级为虫道网络欧米茄，可召唤坑道虫欧米茄。坑道虫欧米茄无需消耗资源，能立即部署单位，且能被你的盟友使用。<n/><n/><c val="#ColorAttackInfo">被动技能。</c>	Verbessert das Nydusnetzwerk zum Omeganetzwerk, welches Omegawürmer herbeirufen kann. Omegawürmer kosten keine Ressourcen, laden Einheiten ohne Verzögerung aus und können von Verbündeten genutzt werden.<n/><n/><c val="#ColorAttackInfo">Passive Fähigkeit.</c>
在刺蛇巢和潜伏者巢穴中解锁以下升级：<n/><ul indent="2" text="▪"><li/>刺蛇的生命值由80提高到100。<li/>解锁刺蛇的狂暴技能，可使其在15秒内的攻击速度提高50%。<li/>潜伏者的射程由9提高到12。</ul>	Schaltet die folgenden Upgrades im Hydraliskenbau und Schleicherbau frei:<n/><ul indent="2" text="•"><li/>Erhöht die Trefferpunkte von Hydralisken von 80 auf 100.<li/>Schaltet die Fähigkeit "Raserei" für Hydralisken frei, die ihre Angriffsgeschwindigkeit 15 Sek. lang um 50% erhöht.<li/>Erhöht die Angriffsreichweite von Schleichern von 9 auf 12.</ul>
凯瑞甘的跳击的伤害由150提高到300，施法距离由6提高到12。凯瑞甘的灵能位移的伤害由50提高至100。	Erhöht den Schaden von Kerrigans Fähigkeit "Sprungangriff" von 150 auf 300 und die Einsatzreichweite von 6 auf 12. Erhöht den Schaden von Kerrigans Fähigkeit "Psi-Verschiebung" von 50 auf 100.
凯瑞甘的能量恢复速度提高50%。	Erhöht Kerrigans Energieregeneration um 50%.
在进化腔中解锁以下升级：<n/><ul indent="2" text="▪"><li/>使凯瑞甘的攻击除了能对她的目标造成普通伤害外，还会跳跃到附近一个敌人身上。<li/>凯瑞甘的技能消耗和冷却时间降低20%。</ul>	Schaltet die folgenden Upgrades in der Evolutionskammer frei:<n/><ul indent="2" text="•"><li/>Verbessert Kerrigans Angriffe, sodass sie dem Ziel normalen Schaden zufügen und dann auf zusätzliche Ziele überspringen.<li/>Verringert die Kosten und Abklingzeiten von Kerrigans Fähigkeiten um 20%.</ul>
凯瑞甘的每次攻击都能提高自身10%的攻击速度，最多叠加到50%。<n/><n/><c val="#ColorAttackInfo">被动技能。</c>	Erhöht Kerrigans Angriffsgeschwindigkeit mit jedem Angriff um 10% bis maximal 50%.<n/><n/><c val="#ColorAttackInfo">Passive Fähigkeit.</c>
当处于菌毯上时，所有友方地面单位的攻击速度和生命恢复速度提高。提高菌毯肿瘤散布菌毯的速度和范围。<n/><n/><c val="#ColorAttackInfo">被动技能。</c>	Erhöht die Angriffsgeschwindigkeit und Trefferpunktregeneration verbündeter Einheiten auf Kriecher. Außerdem verbreiten Kriechertumore Kriecher schneller und weiter.<n/><n/><c val="#ColorAttackInfo">Passive Fähigkeit.</c>
凯瑞甘在造成伤害时可暂时获得额外的生命值。凯瑞甘若被消灭，则能快速在孵化场处复活。	Kerrigan erhält temporäre Trefferpunkte, wenn sie Schaden verursacht. Wenn sie getötet wird, wird sie an der Brutstätte schnell wiederbelebt.
在尖塔和巨型尖塔中解锁以下升级：<n/><ul indent="2" text="▪"><li/>异龙的每次后续弹射攻击不再降低伤害。<li/>巢虫领主的移动速度提高75%，生命值提高+100点。	Schaltet die folgenden Upgrades im Schössling und Großen Schössling frei:<n/><ul indent="2" text="•"><li/>Der Schaden der Angriffe von Mutalisken wird nicht mehr mit jedem Übersprung verringert.<li/>Erhöht die Bewegungsgeschwindigkeit von Brutlords um 75% und ihre Trefferpunkte um 100.
将凯瑞甘的雷兽升级为暴龙兽变种。<n/><n/>重型攻击猛兽，可造成范围顺劈伤害。死亡后可以复活。<n/><n/><c val="ffff8a">可以对地。</c>	Verbessert Kerrigans Ultralisken zur Gattung Torrasque.<n/><n/>Schwere Angriffsbestie. Verfügt über einen Flächenschadenangriff. Kann nach dem Tod wiederbelebt werden.<n/><n/><c val="ffff8a">Kann Bodeneinheiten angreifen.</c>
