Amorphous Armorcloud	무정형 방어구름
Orders selected units to move to the target area or follow the target unit. Scan-moving units will not engage enemies.	선택한 지점으로 이동하거나 대상 유닛을 따라갑니다. 수색 이동 중인 유닛은 적과 교전하지 않습니다.
Ranged specialist. Can be upgraded to use Psionic Projection.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	원거리 전문가입니다. 업그레이드하면 사이오닉 투영을 사용할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛 공격 가능</c>
Sacrifices 2 Templar to create an Archon.	기사 두 명을 희생하여 집정관을 탄생시킵니다.
Contains weapon and armor upgrades for Factory and Starport structures. <n/><n/><c val="ffff8a">Enables:</c><n/>- Thors at the Factory	군수공장과 우주공항에서 생산하는 유닛의 무기와 장갑을 업그레이드합니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 토르 (군수공장)
Transforms the Viking to Assault Mode. In this mode Vikings move on the ground and can only attack ground targets.	바이킹을 돌격 모드로 전환합니다. 돌격 모드에서는 지상으로 이동하며 지상 유닛만을 공격할 수 있습니다.
Automated defensive turret. Times out after <d ref="Behavior,AutoTurretTimedLife,Duration"/> seconds.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	자동 방어 포탑입니다. <d ref="Behavior,AutoTurretTimedLife,Duration"/>초 후에 사라집니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛 공격 가능</c>
Suicide unit. Does damage over a small area. <n/><n/>Zergling will unburrow before morphing.<n/><n/><c val="ffff8a">Can attack ground units.</c>	자폭 유닛입니다. 소규모 지역에 피해를 줍니다.<n/><n/>잠복 중인 저글링은 변태를 시작하면 잠복 상태에서 벗어납니다.<n/><n/><c val="ffff8a">지상 유닛 공격 가능</c>
Tactical-strike aircraft.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	전술 타격기입니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 공격 가능</c>
Infantry-production facility. <n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Bunkers from SCVs<n/>- Orbital Commands from Command Centers	보병 생산 시설입니다. <n/><n/><c val="ffff8a">사용 가능:</c><n/>- 해병<n/>- 벙커 (건설로봇 건설)<n/>- 궤도 사령부 (사령부 업그레이드)
Powerful warship.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>	강력한 군함입니다.<n/><n/><c val="#ColorAttackInfo">지상 및 공중 유닛 공격 가능</c>
Defensive structure which bombards target locations with bile, damaging ground and air units in the area.	방어 구조물입니다. 대상 지역을 담즙으로 포격하여 그곳의 지상 및 공중 유닛에게 피해를 줍니다.
Flying heavy-assault unit. Shoots Broodlings at its target. A Broodling is a small creature that can attack ground units.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	중돌격 비행 유닛입니다. 대상에게 공생충을 발사합니다. 공생충은 지상 유닛을 공격하는 작은 생명체입니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 공격 가능</c>
Infantry-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marauders<n/>- Reapers<n/>- Ghosts with Ghost Academy	보병 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 불곰<n/>- 사신<n/>- 유령 (유령 사관학교 필요)
Vehicle-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Siege Tanks<n/>- Thors with Armory	차량 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 공성 전차<n/>- 토르 (무기고 필요)
Aircraft-research structure. A Tech Lab can fit onto any production structure.<n/><n/><c val="ffff8a">Enables:</c><n/>- Banshees<n/>- Ravens<n/>- Battlecruisers with Fusion Core	항공기 기술을 연구합니다. 기술실은 모든 생산 건물에 부착할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 밴시<n/>- 밤까마귀<n/>- 전투순양함 (융합로 필요)
Defensive structure. <n/>Infantry fights from inside. <n/><n/><c val="#ColorAttackInfo">Bonus: +1 range to units inside.</c>	방어 구조물입니다. <n/>보병들이 내부에서 적을 공격할 수 있습니다. <n/><n/><c val="#ColorAttackInfo">추가 효과: 유닛 사거리 1만큼 증가</c>
Defensive structure. Infantry fight from inside with +1 range bonus.	방어 구조물입니다. 보병들이 내부에서 사거리가 1만큼 증가한 상태로 적을 공격할 수 있습니다.
Loads infantry into Bunker.	벙커에 보병을 들입니다.
Defensive structure. Infantry fight from inside with +1 range bonus.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	방어 구조물입니다. 보병들이 내부에서 사거리가 1만큼 증가한 상태로 적을 공격할 수 있습니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
Buries the unit underground. Burrowed units are unable to move or attack, but they cannot be seen without detection.	땅속으로 몸을 숨깁니다. 잠복 상태에서는 적을 공격하거나 움직일 수 없으며 탐지 기능 없이는 위치가 발각되지 않습니다.
Buries the unit underground. Burrowed units are unable to attack, but they cannot be seen without detection. This unit may move while burrowed.	땅속으로 숨어듭니다. 잠복한 유닛은 공격할 순 없지만 탐지 기능 없이는 적에게 발각되지 않습니다. 이 유닛은 잠복 상태로 이동할 수 있습니다.
Returns the unit to the surface.	지상으로 모습을 드러냅니다.
Drops an experimental robotic MULE miner onto the target Mineral Field. MULEs collect minerals more quickly than SCVs.  <n/><n/>MULEs last <d time="90"/> before their systems fail.	선택한 광물 지대에 실험용 채광 기계인 지게로봇을 투하합니다. 지게로봇은 건설로봇보다 더 빠르게 광물을 채취합니다.<n/><n/>지게로봇은 <d time="90"/> 후에 작동을 멈춥니다.
Drops the current order without performing it, and allows you to select a different order.	유닛에게 내린 지시를 취소하여 다른 지시를 받을 수 있게 합니다.
Cancels construction of this structure, destroying the structure and giving a partial refund.	건물의 건설을 취소합니다. 건설 중인 건물이 파괴되고 건설 비용의 일부를 돌려받습니다.
Cancels the build order, killing the larva in the process.	건설 지시를 취소하고, 변화 중인 애벌레를 없앱니다.
Cancels the morph order.	변태 지시를 취소합니다.
Drops a specific selected order from a point in the queue without performing it.	대기열에 있는 특정 유닛을 취소합니다.
Cancels the upgrade order, returning the structure to its original state.	업그레이드 명령을 취소하여 이 구조물을 원상태로 되돌립니다.
Capital ship. Builds and launches Interceptors that attack enemy targets.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	주력함입니다. 요격기를 생산하고 출격시켜 적 대상을 공격합니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
Changelings cannot attack. When a Changeling first encounters an enemy unit, it will match that unit's color and change into a Zealot, Marine, or Zergling, depending on the enemy race. Dies after <d time="150"/>.	공격 능력이 없는 유닛입니다. 처음 만나는 적 유닛에게 맞게 색을 바꾸고, 적의 종족에 따라 광전사, 해병, 저글링으로 변신합니다. <d time="150"/> 후에 죽습니다.
Orders selected units to cheer. (If they have the animations to do so)	선택한 유닛이 환호합니다. (환호 애니메이션이 있어야 합니다.)
The Colossus can walk up and down cliffs.	거신은 언덕을 오르내릴 수 있습니다.
Cloaks the unit, preventing enemy units from seeing or attacking it. A cloaked unit will only be revealed by detectors or effects.<n/><n/><c val="f078ff">Drains <d ref="-1 * (Behavior,BansheeCloak,Modification.VitalRegenArray[2] + Unit,Banshee,EnergyRegenRate)" precision="1"/> energy per second.</c>	적 유닛이 보거나 공격하지 못하게 유닛을 은폐합니다. 은폐 상태인 유닛은 탐지기나 탐지 효과로만 적에게 드러납니다.<n/><n/><c val="f078ff">초당 <d ref="-1 * (Behavior,BansheeCloak,Modification.VitalRegenArray[2] + Unit,Banshee,EnergyRegenRate)" precision="1"/>의 에너지 소모</c>
Cloaks the unit, preventing enemy units from seeing or attacking it. A cloaked unit will only be revealed by detectors or effects.<n/><n/><c val="f078ff">Drains <d ref="-1 * (Behavior,GhostCloak,Modification.VitalRegenArray[2] + Unit,Ghost,EnergyRegenRate)" precision="1"/> energy per second.</c>	적 유닛이 보거나 공격하지 못하게 유닛을 은폐합니다. 은폐 상태인 유닛은 탐지기나 탐지 효과로만 적에게 드러납니다.<n/><n/><c val="f078ff">초당 <d ref="-1 * (Behavior,GhostCloak,Modification.VitalRegenArray[2] + Unit,Ghost,EnergyRegenRate)" precision="1"/>의 에너지 소모</c>
Powerful battle strider. Can walk up and down cliffs. Attacks incinerate multiple enemies at once.<n/><n/><c val="ffff8a">Can attack ground units.</c>	강력한 전투형 4족 보행 유닛입니다. 언덕을 오르내릴 수 있습니다. 한 번에 여러 적에게 불을 붙일 수 있습니다.<n/><n/><c val="ffff8a">지상 유닛 공격 가능</c>
Battle strider with a powerful area attack. Can walk up and down cliffs.<n/><n/><c val="ffff8a">Can attack ground units.</c>	강력한 범위 공격 능력을 갖춘 전투형 4족 보행 유닛입니다. 언덕을 오르내릴 수 있습니다.<n/><n/><c val="ffff8a">지상 유닛 공격 가능</c>
Battle strider with a powerful area attack. Can walk up and down cliffs. Attacks set fire to the ground, dealing extra damage to enemies over time.<n/><n/><c val="ffff8a">Can attack ground units.</c>	강력한 범위 공격 능력을 갖춘 전투형 4족 보행 유닛입니다. 언덕을 오르내릴 수 있습니다. 공격 시 지면에 불길을 일으켜 적에게 추가 지속 피해를 줍니다.<n/><n/><c val="ffff8a">지상 유닛 공격 가능</c>
Primary structure. Used to receive gathered resources. Can use the Lift Off ability and can upgrade into an Orbital Command or a Planetary Fortress.<n/><n/><c val="ffff8a">Enables:</c><n/>- SCVs	주 건물입니다. 채취한 자원을 수집합니다. 이륙을 사용할 수 있고, 궤도 사령부나 행성 요새로 업그레이드할 수 있습니다.<n/><n/><c val="ffff8a">사용 가능:</c><n/>- 건설로봇
Loads nearby SCVs into Command Center.	주위에 있는 건설로봇을 사령부에 들입니다.
Abathur's units gain increased life, attack speed, and energy regeneration by collecting Biomass from fallen enemies. Roaches do not cost vespene gas. Larvae spawn at an increased rate.	아바투르의 유닛들이 죽은 적에게서 생체 물질을 수집하여 체력, 공격 속도, 에너지 재생 속도를 증가시킵니다. 바퀴 생성에 베스핀 가스가 소모되지 않습니다. 애벌레의 생성 속도가 증가합니다.
Abathur's units heal themselves for 1% of the damage they deal per stack of Biomass they possess.	아바투르의 유닛이 자신이 보유한 생체 물질 1 중첩당 자신이 주는 피해의 1%만큼 체력을 회복합니다.
When killed, your units have a 50% chance to drop all of their Biomass.	아바투르의 유닛이 죽으면, 50% 확률로 수집한 모든 생체 물질을 떨어트립니다.
Brutalisks and Leviathans gain Symbiotes that follow them, attacking enemies and protecting their host with a damage absorbing shell.	브루탈리스크와 거대괴수에 공생체가 생성됩니다. 공생체는 숙주를 따라다니며 적을 공격하고, 피해를 흡수하는 껍질로 숙주를 보호합니다.
Mend can store up to 3 charges and its cooldown is reduced by 30 seconds.	치유가 최대 3회 충전되고, 충전 대기시간이 30초만큼 감소합니다.
Upgrades Abathur's Roaches to the Vile Strain.<n/><n/>Assault unit. Regenerates life quickly while burrowed. Attacks debilitate the target, slowing its attack and movement speeds.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	아바투르의 바퀴를 고름 변종으로 업그레이드합니다.<n/><n/>돌격 유닛입니다. 잠복해 있는 동안 체력을 빠르게 회복합니다. 공격이 적을 약화시켜 공격 및 이동 속도를 감소시킵니다.<n/><n/><c val="#ColorAttackInfo">지상 유닛 공격 가능</c>
Enemy units have a chance to spawn friendly Locusts upon death.	적 유닛이 죽었을 때 시체에서 일정 확률로 아군 식충들이 생성됩니다.
Enemies damaged by Toxic Nests drop additional Biomass and have attack and movement speeds slowed. Toxic Nests have a chance to respawn on death. Toxic Nests can not be targeted by the enemy.	독성 둥지의 피해를 받은 적이 생체 물질을 추가로 떨어트리고 공격 및 이동 속도가 감소합니다. 독성 둥지가 파괴되면 일정 확률로 재생성됩니다. 적이 독성 둥지를 대상으로 지정할 수 없습니다.
Ravager, Guardian, Devourer morph times and resource costs reduced by 50%.	궤멸충, 수호군주, 포식귀의 변태 시간 및 자원 비용이 50%만큼 감소합니다.
Unlocks the ability for ground units with 100 stacks of Biomass to evolve into Brutalisks. Air units with 100 stacks of Biomass evolve into Leviathans.	생체 물질 100개를 중첩한 지상 유닛이 브루탈리스크로 진화할 수 있습니다. 생체 물질 100개를 중첩한 공중 유닛은 거대괴수로 진화할 수 있습니다.
Unlocks the following upgrades at the Evolution Chamber:<n/><ul indent="2" text="•"><li/>Allow Hatcheries, Lairs and Hives to birth two Swarm Queens simultaneously.<li/>Increase the healing of the Swarm Queen's Rapid Transfusion by 10 and allow it to heal both biological and mechanical units.	진화장에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>부화장, 번식지, 군락에서 군단 여왕 두 기를 동시에 생성할 수 있습니다.<li/>군단 여왕의 급속 수혈 능력 치유량이 10만큼 증가하고 생체 유닛과 기계 유닛을 모두 치료할 수 있습니다.
Unlocks the following upgrades at the Spire and Greater Spire:<n/><ul indent="2" text="•"><li/>Increase the Guardian's attack range.<li/>Enable the Devourer's attacks to deal area damage.<li/>Upgrade the Mutalisk's attacks to deal 100% bonus damage to armored units.	둥지탑과 거대 둥지탑에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>수호군주의 공격 사거리가 증가합니다.<li/>포식귀의 공격이 범위 피해를 줄 수 있습니다.
Unlocks the following upgrades at the Infestation Pit:<n/><ul indent="2" text="•"><li/>Unlock the Swarm Host's Deep Tunnel ability, which allows it to quickly burrow to a target location.<li/>Unlock the Viper's Paralytic Barbs ability, which increases the stun duration of Abduct.	감염 구덩이에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>군단 숙주가 굴 파기 능력을 사용하여 대상 위치로 빠르게 잠복해 이동할 수 있습니다.<li/>살모사의 마비 미늘 진화로 납치의 기절 지속 시간을 증가시킬 수 있습니다.
Unlocks the following upgrades at the Roach Warren:<n/><ul indent="2" text="•"><li/>Roaches gain +6 armor when under 50% life. <li/>Increase the damage of the Ravager's Corrosive Bile ability by 40.	바퀴 소굴에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>바퀴가 체력 50% 미만일 때 방어력을 6만큼 추가로 얻습니다.<li/>궤멸충의 부식성 담즙 능력의 공격력이 40만큼 증가합니다.
Unlocks Alarak's Empower Me ability, which grants him increased attack and ability damage for each nearby friendly unit. This effect lasts for 20 seconds.	알라라크의 날 강화하라 능력이 해제되어, 알라라크가 주위 아군 유닛 수에 따라 공격력과 능력 피해를 증가시킬 수 있습니다. 이 효과는 20초 동안 지속됩니다.
Unlocks the following upgrades at the Forge:<n/><ul indent="2" text="•"><li/>Allow Alarak's basic attacks to stun enemies and slow heroic enemies for 2 seconds.<li/>Increase Destruction Wave's knockback distance by 100%.</ul>	제련소에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>알라라크의 기본 공격이 2초 동안 적을 기절시키고 적 영웅 유닛은 느려지게 만듭니다.<li/>파괴 파동이 밀쳐내는 거리가 100%만큼 증가합니다.</ul>
Unlocks the following upgrades at the Cybernetics Core:<n/><ul indent="2" text="•"><li/>Increase Target Lock's bonus damage by an additional 15%.<li/>Increase the radius of Squad Sight and the range of Target Lock and Force Field.</ul>	인공제어소에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>목표 고정의 추가 피해가 15%만큼 추가로 증가합니다.<li/>시야 공유의 반경과, 목표 고정 및 역장의 사거리가 증가합니다.</ul>
Increases the range of Alarak's Deadly Charge by 3 and reduces its cooldown by 5 seconds.	알라라크의 치명적인 돌진의 사거리가 3만큼 증가하고 재사용 대기시간이 5초만큼 감소합니다.
Unlocks the Mothership's Thermal Lance ability and warps in 4 additional Destroyers when summoning the Death Fleet.	모선의 열 광선 능력이 해제되고 죽음의 함대를 소환할 때 파멸자 4기가 추가로 소환됩니다.
Structure Overcharge now also grants a Barrier that absorbs up to 400 damage.	구조물 과충전이 추가로 400의 피해를 흡수하는 보호막을 부여합니다.
When Alarak sacrifices a Supplicant, his next Deadly Charge will deal an additional 50 damage to 4 enemy units near the primary target.	광신자를 희생시키면 알라라크의 다음 치명적인 돌진이 주 대상 주위의 적 유닛 4기에게 50의 추가 피해를 줍니다.
Unlocks the following upgrades at the Robotics Bay:<n/><ul indent="2" text="•"><li/>Increase the Vanguard's splash damage area by 50%.<li/>Increase the Wrathwalker's attack speed.	로봇공학 지원소에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>선봉대의 방사 피해 범위가 50%만큼 증가합니다.<li/>분노수호자의 공격 속도가 증가합니다.
Reduces the cooldown of Alarak's Deadly Charge by 10 seconds and Destruction Wave by 5 seconds whenever a Supplicant is sacrificed.	광신자가 희생될 때마다 알라라크의 치명적인 돌진이 10초만큼, 파괴 파동이 5초만큼 재사용 대기시간이 감소합니다.
Unlocks the following upgrades at the Ascendant Archives:<n/><ul indent="2" text="•"><li/>Increase the travel distance of the Ascendant's Psionic Orb.<li/>Sacrifice grants Ascendants a stacking permanent increase to ability damage and shields.</ul>	승천자 기록보관소에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>승천자의 사이오닉 구체 이동 거리가 증가합니다.<li/>제물이 승천자의 능력 피해와 보호막을 영구히 증가시킵니다. 이 효과는 중첩됩니다.</ul>
Unlocks the following upgrades at the Death Council:<n/><ul indent="2" text="•"><li/>Supplicants gain +25 shields.<li/>Allow Slayers to become temporarily invulnerable after taking damage.</ul>	죽음의 의회에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>광신자의 보호막이 25만큼 증가합니다.<li/>학살자가 피해를 받은 후 일시적으로 무적 상태가 됩니다.</ul>
Unlocks the ability to warp in a Tal'darim Mothership and an escort of Destroyers with timed life. Summon the Death Fleet from the top panel.	시한부 탈다림 모선과 파멸자 호위 편대를 소환할 수 있습니다. 죽음의 함대는 상단 패널에서 사용할 수 있습니다.
Unlocks the following upgrades at the Fleet Beacon:<n/><ul indent="2" text="•"><li/>Allow Phoenixes to use Graviton Beam on two targets at once.<li/>Unlock the Tempest's Disintegration ability, which deals 500 damage to target unit or structure over 20 seconds.</ul>	함대 신호소에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>불사조가 동시에 두 개의 대상에 중력자 광선을 사용할 수 있습니다.<li/>폭풍함이 분해 능력으로 대상 유닛 또는 구조물에 20초에 걸쳐 500의 피해를 줄 수 있습니다.</ul>
Unlocks the ability for Archons to use the Feedback and Psionic Storm abilities.	집정관이 환류 및 사이오닉 폭풍 시전 능력을 사용할 수 있습니다.
Increases the number of shots fired during the Spear of Adun's Solar Bombardment ability from 200 to 400. Activate Solar Bombardment from the top panel.	아둔의 창에서 발사되는 태양 포격의 공격 횟수가 200에서 400으로 증가합니다. 태양 포격은 상단 패널에서 사용할 수 있습니다.
Unlocks the following upgrades at the Robotics Bay:<n/><ul indent="2" text="•"><li/>Increase the maximum number of Scarabs that Reavers can hold from 5 to 10.<li/>Increase the splash radius of Scarab explosions by 25%.	로봇공학 지원소에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>파괴자가 보유할 수 있는 최대 갑충탄 수가 5에서 10으로 증가합니다.<li/>갑충탄 폭발 시 방사 피해 반경이 25%만큼 증가합니다.
Unlocks the following upgrades at the Robotics Bay:<n/><ul indent="2" text="•"><li/>Increase the maximum number of Scarabs that Reavers can hold from 5 to 10.<li/>Increase the splash radius of Scarab explosions by 25%.</ul>	로봇공학 지원소에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>파괴자가 보유할 수 있는 최대 갑충탄 수가 5에서 10으로 증가합니다.<li/>갑충탄 폭발 시 방사 피해 반경이 25%만큼 증가합니다.</ul>
Upon taking fatal damage, friendly units become invulnerable for a short time, escaping death and restoring 15% life and shields. The same unit cannot be shielded again for 4 minutes.<n/><n/><c val="#ColorAttackInfo">Passive ability.</c>	치명적인 피해를 받은 아군 유닛을 잠시 무적 상태로 만들어 소멸을 방지하고 체력과 보호막을 15%만큼 회복시킵니다. 해당 유닛은 4분 동안 다시 보호를 받을 수 없습니다.<n/><n/><c val="#ColorAttackInfo">지속 능력</c>
Grants Pylons the ability to energize friendly units within their power field, temporarily increasing their movement and attack speed.	수정탑이 동력장 안의 아군 유닛에게 힘을 불어 넣어 일시적으로 이동 및 공격 속도를 증가시킵니다.
Increases the amount of damage absorbed by the Spear of Adun's Shield Overcharge ability from 100 to 200. Activate Shield Overcharge from the top panel.	아둔의 창의 보호막 과충전의 피해 흡수량이 100에서 200으로 증가합니다. 보호막 과충전은 상단 패널에서 사용할 수 있습니다.
Unlocks the ability for the Spear of Adun to randomly bombard an area for massive damage over 15 seconds. Activate Solar Bombardment from the top panel.	아둔의 창이 15초에 걸쳐 대상 지역에 무작위 포격을 가해 엄청난 피해를 주는 능력을 사용할 수 있습니다. 태양 포격은 상단 패널에서 사용할 수 있습니다.
Stargates and Robotics Facilities can warp in units at any location with Pylon power.<n/><n/><c val="#ColorAttackInfo">Passive ability.</c>	우주관문과 로봇공학 시설이 동력장이 있는 곳이라면 어디로든 유닛을 소환할 수 있습니다.<n/><n/><c val="#ColorAttackInfo">지속 능력</c>
Increases starting supply to 200.	시작 보급품이 200으로 증가합니다.
Artanis warps units into the battlefield almost instantly.	아르타니스가 유닛을 전장에 순간적으로 소환합니다.
Unlocks the following upgrades at the Templar Archives:<n/><ul indent="2" text="•"><li/>Increase the High Templar's starting energy from 50 to 200.<li/>Upgrade the High Templar's Psionic Storm ability to also restore 50 shields to friendly units in the target area.</ul>	기사단 기록보관소에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>고위 기사의 초기 에너지가 50에서 200으로 증가합니다.<li/>고위 기사의 사이오닉 폭풍이 대상 지역에 있는 아군 유닛의 보호막을 50만큼 회복시킵니다.</ul>
Unlocks the following upgrades at the Twilight Council:<n/><ul indent="2" text="•"><li/>Unlock the Zealot's Whirlwind ability, which damages all nearby enemies while active.<li/>Increase the Dragoon's life from 100 to 120 and double its shield regenerate rate. Also allow the Dragoon to regenerate shields in combat.</ul>	황혼 의회에서 다음 업그레이드를 사용할 수 있습니다.<n/><ul indent="2" text="•"><li/>광전사가 소용돌이 능력을 사용하여 주위의 모든 적에게 피해를 줍니다.<li/>용기병의 생명력이 100에서 120으로 증가하고, 보호막 회복 속도가 두 배로 증가합니다. 또한 전투 중에도 용기병의 보호막이 회복됩니다.</ul>
Area-damage siege unit. Shoots Scarabs for high burst damage. Warped in at the Robotics Facility.<n/><n/><c val="ffff8a">Can attack ground units.</c>	범위 피해를 주는 공성 유닛입니다. 갑충탄을 발사하여 강력한 폭발 피해를 줍니다. 로봇공학 시설에서 소환할 수 있습니다.<n/><n/><c val="ffff8a">지상 유닛 공격 가능</c>
Siege artillery craft. Attacks from long range. Warped in at the Stargate.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	공성 포함입니다. 장거리에서 공격합니다. 우주관문에서 소환할 수 있습니다.<n/><n/><c val="ffff8a">지상 및 공중 유닛 공격 가능</c>
Increases the number of charges on Warp Gates from 1 to 3.	차원 관문의 충전 횟수가 1회에서 3회로 증가합니다.
Dehaka can collect essence, grow stronger, and choose mutations. Dehaka spawns in faster than other hero units and can devour Primal Drones to reduce his respawn time.	데하카는 정수를 수집해서 더 강해지고 변이를 선택할 수 있습니다. 데하카는 다른 영웅 유닛들보다 더 빨리 생성되고 원시 일벌레를 섭취해서 부활 시간을 단축시킬 수 있습니다.
Units can be commanded to engage in primal combat to force evolutions. Unlocks the following new evolutions:<n/><ul indent="2" text="•"><li/>Primal Zerglings can evolve into Ravasaurs.<li/>Primal Roaches can evolve into Primal Igniters.</ul>	유닛들에게 원시 전투를 펼치게 하여 승리한 유닛을 진화시킬 수 있습니다. 새로운 진화 해제:<n/><ul indent="2" text="•"><li/>원시 저글링이 원시 라바사우르스로 진화 가능<li/>원시 바퀴가 원시 점화자로 진화 가능</ul>
Unlocks the following upgrades at Glevig's Den:<n/><ul indent="2" text="•"><li/>Ravasaurs gain increased movement speed and attack range.<li/>Ravasaurs gain +15 attack damage against armored enemies.</ul>	글레빅의 굴에서 다음 업그레이드를 해제합니다.<n/><ul indent="2" text="•"><li/>라바사우르스의 이동 속도와 공격 사거리가 증가합니다.<li/>라바 사우르스가 중장갑 유닛에게 주는 피해가 +5만큼 증가합니다.</ul>
Dehaka, Primal Wurms, and Greater Primal Wurms gain the ability to Deep Tunnel.	데하카, 원시 벌레, 거대 원시 벌레가 굴 파기 능력을 얻습니다.
Dehaka's maximum level increases from 10 to 12 and unlocks the following mutation choices for Dehaka:<n/><ul indent="2" text="•"><li/>Gain the ability to detect cloaked and burrowed units.<li/>Gain increased armor.</ul>	데하카의 최고 레벨이 10에서 12로 증가하고 새로운 변이가 해제됩니다.<n/><ul indent="2" text="•"><li/>은폐 또는 잠복한 유닛을 탐지합니다.<li/>방어력이 증가합니다.</ul>
Units can be commanded to engage in primal combat to force evolutions. Unlocks the following new evolutions:<n/><ul indent="2" text="•"><li/>Primal Hydralisks can evolve into Primal Mutalisks.<li/>Primal Roaches can evolve into Primal Guardians.</ul>	유닛들에게 원시 전투를 펼치게 하여 승리한 유닛을 진화시킬 수 있습니다. 새로운 진화 해제:<n/><ul indent="2" text="•"><li/>원시 히드라리스크가 원시 뮤탈리스크로 진화할 수 있습니다.<li/>원시 바퀴가 원시 수호군주로 진화할 수 있습니다.</ul>
Unlocks the following upgrades at Murvar's Den:<n/><ul indent="2" text="•"><li/>Primal Mutalisks revive on death after a short time.<li/>Primal Guardians can fire area damaging spores at enemy ground units.</ul>	멀바르의 굴에서 다음 업그레이드를 해제합니다.<n/><ul indent="2" text="•"><li/>원시 뮤탈리스크가 죽으면 잠시 후에 부활합니다.<li/>원시 수호군주가 적 지상 유닛에게 범위 피해를 주는 포자를 발사합니다.</ul>
Units can be commanded to engage in primal combat to force evolutions. Unlocks the following new evolutions:<n/><ul indent="2" text="•"><li/>Primal Hydralisks can evolve into Impalers.<li/>Primal Hosts can evolve into Creeper Hosts.</ul>	유닛들에게 원시 전투를 펼치게 하여 승리한 유닛을 진화시킬 수 있습니다. 새로운 진화 해제:<n/><ul indent="2" text="•"><li/>원시 히드라리스크가 관통 촉수로 진화할 수 있습니다.<li/>원시 숙주가 땅무지 숙주로 진화할 수 있습니다.</ul>
Unlocks the following upgrades at Glevig's Den:<n/><ul indent="2" text="•"><li/>Primal Igniters deal bonus damage to light units.<li/>Impaler attacks tenderize enemies, causing them to take damage over time. Devouring tenderized enemies with Dehaka invokes 25% of the normal cooldown time.</ul>	글레빅의 굴에서 다음 업그레이드를 해제합니다.<n/><ul indent="2" text="•"><li/>원시 점화자가 경장갑 유닛에게 추가 피해를 줍니다.<li/>관통 촉수의 공격이 적을 저며서 지속 피해를 줍니다. 저며진 적을 데하카로 섭취하면 재사용 대기시간이 25%로 감소합니다.</ul>
