Amorphous Armorcloud	無定型防護雲
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Nova gains permanent Super Cloak. Her abilities have a 50% increased radius and a 50% reduced cooldown.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Nova cannot switch to her Combat Suit and loses Super Cloak for 4 seconds upon attacking or using Snipe.	<s val="Coop_Prestige_Advantage">優點：</s><n/>諾娃獲得超級匿蹤。她的技能距離提高50%，冷卻時間降低50%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>諾娃無法切換戰鬥服，且在攻擊或狙擊後會失去超級匿蹤狀態4秒。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Ignite Afterburners additionally increases attack speed by 100%. Cooldown reduced by 50%.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Units no longer cost less. Ignite Afterburners costs 10 life and its movement speed bonus is reduced to 50%.	<s val="Coop_Prestige_Advantage">優點：</s><n/>啟動後燃器使攻擊速度額外提高100%。冷卻時間降低50%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>不再降低單位花費。啟動後燃器會消耗10點生命值，且移動速度加成降低為50%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Biological combat units gain 100% increased life.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>MULEs are unavailable.	<s val="Coop_Prestige_Advantage">優點：</s><n/>生物戰鬥單位獲得額外100%生命值。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>無法使用礦騾。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>The Starport, Armory, and Orbital Command no longer have tech requirements. The Starport no longer has a gas cost and its units cost 30% less gas. Vikings, Banshees, and Battlecruisers increase top bar cooldown rates by 1% per supply used.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Combat units cost 50% more minerals.	<s val="Coop_Prestige_Advantage">優點：</s><n/>星際港、兵工廠與星軌指揮總部不再有科技需求。星際港不再有高能瓦斯需求，且其單位的高能瓦斯花費降低30%。維京戰機、女妖轟炸機和戰巡艦所使用的每點補給值會使上方技能列的冷卻速度提高1%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>戰鬥單位的晶礦花費提高50%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Combat units gain a stack of The Best Oil when they kill an enemy unit.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Combat units cost 40% more minerals. Mecha Infestors are unavailable.	<s val="Coop_Prestige_Advantage">優點：</s><n/>戰鬥單位擊殺一名敵方單位時會獲得一層頂級機油。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>戰鬥單位的晶礦花費提高40%，無法使用機械感染蟲。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Gary's health and damage increased by 100%.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Gary's movement speed is reduced by 90% outside of Stetzones.	<s val="Coop_Prestige_Advantage">優點：</s><n/>蓋瑞的生命值和傷害提高100%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>蓋瑞在斯特領域以外的移動速度降低90%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Stetellites are invulnerable once they are online. Stetellites generate a 50% larger Stetzone.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Super Gary is unavailable.	<s val="Coop_Prestige_Advantage">優點：</s><n/>斯特衛星上線時無敵，且產生的斯特領域面積增加50%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>無法使用超級蓋瑞。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Banshees can load up to 16 Infested infantry and can launch their cargo at a ground target.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Infested Civilians have 30% reduced timed life.	<s val="Coop_Prestige_Advantage">優點：</s><n/>女妖轟炸機可以裝載最多16名受感染的步兵，並且可以將他們往地面目標發射。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>受感染的平民存活時間降低30%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Infested Bunkers spawn Infested Troopers 200% faster.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Infested Bunkers no longer have cargo capacity.	<s val="Coop_Prestige_Advantage">優點：</s><n/>受感染的碉堡產生受感染的士兵速度提高200%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>受感染的碉堡無法裝載人員。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Factory and Starport no longer have tech requirements. Mechanical combat units cost 30% less. Automated Mitosis generates Infested Siege Tank ammunition 200% faster.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>The Infested Colonist Compound does not spawn and cannot be built.	<s val="Coop_Prestige_Advantage">優點：</s><n/>軍工廠和星際港不再擁有科技需求。機械戰鬥單位的花費降低30%。自動分裂產生受感染的攻城坦克彈藥速率提高200%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>不再產生且無法建造受感染的殖民住宅。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>The Laser Drill deals 100% splash damage, slows movement speed by 70%, and locks on targets 50% faster.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>The Laser Drill's abilities are unavailable.	<s val="Coop_Prestige_Advantage">優點：</s><n/>雷射鑽洞機會造成100%的擴散傷害，並使移動速度降低70%，鎖定目標的速度提高50%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>無法使用雷射鑽洞機的技能。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Hercules have twice the cargo capacity and unload units instantly. Science Vessels can use Tactical Jump and its cooldown reduced by 50%.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Top bar cooldowns increased by 50%.	<s val="Coop_Prestige_Advantage">優點：</s><n/>海克力士的容量提高為兩倍，且可以立即卸載單位。科學研究船可以使用戰術躍傳，且其冷卻時間降低50%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>上方技能列的冷卻時間提高50%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Turret upgrades are 100% more effective.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Combat units cost 50% more vespene gas.	<s val="Coop_Prestige_Advantage">優點：</s><n/>砲台升級的效果提高100%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>戰鬥單位的高能瓦斯花費提高50%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>When beyond the vision range of all other Outlaws, Outlaws deal 30% more damage for each Outlaw recruited and take 50% less damage.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Ultimate Gear is unavailable. Gear costs 25% more.	<s val="Coop_Prestige_Advantage">優點：</s><n/>亡命之徒在其他所有亡命之徒視野範圍以外時，其受到的傷害降低50%，且每個雇用的亡命之徒會使其造成的傷害提高30%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>無法使用終極裝備。裝備的花費提高25%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>The Odin no longer requires Tychus as its pilot, its duration is increased by 100%, and its cooldown is reduced by 40%.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Barrage and Big Red Button are unavailable.	<s val="Coop_Prestige_Advantage">優點：</s><n/>奧丁不再需要由泰科斯來駕駛，其持續時間提高100%，且冷卻時間降低40%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>無法使用彈幕砲擊與限制解除。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Outlaws' active ability cooldowns reduced by 35%.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Outlaw cost and time between Outlaw recruitment increased by 50%.	<s val="Coop_Prestige_Advantage">優點：</s><n/>亡命之徒的主動技能冷卻時間降低35%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>亡命之徒的花費，以及雇用亡命之徒的間隔時間提高50%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Void Stasis, Confusion, Stasis Ward, Disruption Web, and Darkcoil may affect heroic units and cause enemies to lose 20 life per second. This effect cannot kill.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Combat units deal 25% reduced damage. Stasis Ward duration reduced by 75%.	<s val="Coop_Prestige_Advantage">優點：</s><n/>虛空靜滯、混亂、靜滯詭雷、癱瘓電網、暗影纏繞可以影響英雄單位，並使敵人每秒失去20點生命值。此效果無法擊殺單位。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>戰鬥單位造成的傷害降低25%。靜滯詭雷的持續時間降低75%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Emergency Recall recalls cloaked units to the closest Nexus or Dark Pylon instead of the primary structure and heals life and shields to full. Deploy Dark Pylon cooldown and cost reduced by 50%.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Dark Pylons lose Recall.	<s val="Coop_Prestige_Advantage">優點：</s><n/>緊急傳送會將匿蹤單位的生命值與護盾值恢復至全滿，並將其召回至最近的星核或黑暗水晶塔，而非主要建築。部署黑暗水晶塔的冷卻時間與花費降低50%。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>黑暗水晶塔無法使用召回。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Time Stop becomes targeted. All Shadow Guard who have died are resurrected at the target location.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Shadow Guard duration reduced by 40%.	<s val="Coop_Prestige_Advantage">優點：</s><n/>時間靜滯可以指定位置，所有死亡的暗影護衛會在此指定位置復活。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>暗影護衛的持續時間降低40%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Aberrations and Corruptors cost 25% less, gain 50% increased health, and possess greatly increased health regeneration.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>No free Banelings.	<s val="Coop_Prestige_Advantage">優點：</s><n/>變異體與腐化飛蟲的花費降低25%，生命值提高50%，生命值恢復速度大幅提升。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>不再免費生成毒爆蟲。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Max supply increased by 50. Zerglings and Scourge spawn one extra unit per egg. Baneling Nests will spawn an additional 4 free Banelings and Scourge Nests will spawn 4 free Scourge.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Zagara is unavailable.	<s val="Coop_Prestige_Advantage">優點：</s><n/>最大補給值提高50點。孵化異化蟲或自殺蟲時，每個蟲卵可以額外孵化出一個單位。毒爆蟲巢會額外孵化出4隻免費的毒爆蟲，自殺蟲巢會額外孵化出4隻免費的自殺蟲。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>無法使用札迦拉。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Zagara gains reduced ability cooldowns, increased health and energy regeneration, and access to the Deep Tunnel ability.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Mass Frenzy only affects Zagara and her summoned units. Combat units cost 25% more.	<s val="Coop_Prestige_Advantage">優點：</s><n/>札迦拉的技能冷卻時間降低，生命值和能量恢復速度提高，且可使用深度挖掘技能。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>群體狂怒只會影響札迦拉和她召喚的單位。戰鬥單位的花費提高25%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Zeratul can collect an unlimited number of Artifact Fragments.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Zeratul's combat units cost 25% more.	<s val="Coop_Prestige_Advantage">優點：</s><n/>澤拉圖可以收集的神器部件數量沒有上限。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>澤拉圖的戰鬥單位花費提高25%。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Each collected Artifact Fragment reduces the cooldown of Zeratul's Shadow Cleave by 5 seconds. Shadow Cleave spawns a tornado that damages and slows enemy units.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>Zeratul can only collect up to two Artifact Fragments.	<s val="Coop_Prestige_Advantage">優點：</s><n/>每個收集到的神器部件會使澤拉圖的暗影瞬劈斬冷卻時間降低5秒。暗影順劈斬會產生一股旋風，對敵方單位造成傷害並使其緩速。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>澤拉圖最多只能收集2個神器部件。
<s val="Coop_Prestige_Advantage">Advantage</s><n/>Zeratul can deploy the Void Seeker, granting all friendly units in a target area Super Cloak for 15 seconds.<n/><n/><s val="Coop_Prestige_Disadvantage">Disadvantage</s><n/>The Void Seeker can no longer transport Zeratul.	<s val="Coop_Prestige_Advantage">優點：</s><n/>澤拉圖可以部署虛空追尋者，使目標範圍內的所有友方單位獲得超級匿蹤，持續15秒。<n/><n/><s val="Coop_Prestige_Disadvantage">缺點：</s><n/>虛空追尋者無法運送澤拉圖。
Unlocks the following upgrades at the Armory:<n/><ul indent="2" text="•"><li/>Increase the attack range of all vehicles and ships by 1.<li/>Allow all vehicles and ships to increase their movement speed by 100% for 8 seconds.</ul>	能在兵工廠研發下列升級：<n/><ul indent="2" text="•"><li/>所有載具與船艦的攻擊距離提高1格。<li/>所有載具與船艦的移動速度提高100%，持續8秒。</ul>
Armor upgrades at the Armory and Engineering Bay increase the life of affected units in addition to increasing their armor.	在兵工廠和電機工程所進行裝甲升級，可提高影響單位的生命值並且提高裝甲值。
Refineries do not require workers	瓦斯精煉廠不需要工作單位
Unlocks the ability to call down cloaked Dusk Wings with timed life, dealing damage to the target area upon arrival. Call down Banshee Airstrikes from the top panel.	可部署有存在時間限制並且匿蹤的幽暗之翼，抵達時對目標區域造成傷害。可於頂端面板呼叫女妖轟炸機空襲。
Specialist units have +100 max energy and start with full energy	特種單位的最大能量值提高100點，起始能量為全滿。
SCVs can be built two at a time	可一次建造兩台太空工程車
Equips Bunkers with automated turrets that attack ground and air units. Increases the life of Bunkers from 400 to 550.	碉堡配備可攻擊地面及空中單位的自動砲台。碉堡的生命值從400點提高為550點。
Unlocks the following upgrades at the Factory Tech Lab:<n/><ul indent="2" text="•"><li/>Increase the blast and trigger radius of the Vulture's Spider Mine by 33%.<li/>Reduce Siege Tanks' transformation time and increase their armor in Siege Mode from 1 to 3.</ul>	能在軍工廠的科技實驗室研發下列升級：<n/><ul indent="2" text="•"><li/>禿鷹蜘蛛詭雷的爆炸範圍和觸發範圍提高33%。<li/>降低攻城坦克的變形時間，並且攻城模式下的裝甲值從1點提高為3點。</ul>
All structure fires are automatically put out and all structures automatically repair themselves to 50% life	所有建築物都具有自我滅火能力，並且會自動修復至50%生命值。
Increases Firebat attack range and Medic heal range from 2 to 4.	火焰兵的攻擊距離和醫療兵的治療距離從2格提高為4格。
Enables the Hyperion to deploy defensive drones that shoot down enemy missiles. Call down the Hyperion from the top panel.	使海伯利昂號能夠部署定點防禦無人機來擊落敵方飛彈。可於頂端面板呼叫海伯利昂號。
Increases the damage dealt by friendly units near the Hyperion by 2. Call down the Hyperion from the top panel.	使海伯利昂號附近所有友方單位的傷害提高2點。可於頂端面板呼叫海伯利昂號。
The Hyperion's duration is increased	提高海伯利昂號的持續時間
The Hyperion's Yamato deals splash damaged in a larger area	提高海伯利昂號大和砲的擴散傷害範圍
Increases the attack speed of Raynor's combat units and calldowns by 15%.	雷諾的戰鬥單位攻擊速度和冷卻時間提高15%。
Increases the number of MULEs called down by the Orbital Command Center from 1 to 2.	星軌指揮總部空投的礦騾數量從1台提高為2台。
Raynor trains combat units and builds Barracks 50% faster. <n/>Mechanical units cost 20% less gas. <n/>Stimpack grants increased bonuses, costs less life, and does not require research.	雷諾訓練戰鬥單位與建築兵營的時間加快50%。<n/>機械單位的瓦斯花費減少20%。<n/>戰鬥藥劑的加成效果更高，消耗的生命值更少，並且不需研發即可使用。
Unlocks the following upgrades at the Barracks Tech Lab:<n/><ul indent="2" text="•"><li/>Widen Firebats' damage radius by 40%.<li/>Increase Firebats' life from 100 to 200 and armor from 1 to 3.<li/>Increase Medics' healing speed, allow them to heal mechanical units, and reduce the damage taken by units they heal.</ul>	能在兵營的科技實驗室研發下列升級：<n/><ul indent="2" text="•"><li/>火焰兵的傷害範圍提高40%。<li/>火焰兵的生命值從100點提高為200點，裝甲值從1點提高為3點。<li/>提高醫護兵的治療速度，使醫護兵可以治療機械單位，並且使單位在接受治療時降低受到的傷害。</ul>
Unlock Medic Mercanaries from the Merc Compound	解鎖傭兵基地的傭兵醫護兵部隊
Unlock Vulture Mercanaries from the Merc Compound	解鎖傭兵基地的傭兵禿鷹部隊
Allows SCVs to instantly deploy Supply Depots from orbit, eliminating their construction time.	讓太空工程車從星軌瞬間部署補給站，完全不需要建造時間。
Barracks, Factory, and Starport units are delivered directly to the structure's Rally Point.	兵營和軍工廠的單位會直接搭乘空投艙降落到該建築的集結點。
The Raven's Point Defense Drone also provides an attack damage aura for nearby units	渡鴉的定點防禦無人機可提高附近單位的攻擊傷害
Unlocks the following upgrades at the Starport Tech Lab:<n/><ul indent="2" text="•"><li/>Upgrade the Banshee's attacks to fire multiple missiles in a straight line.<li/>Upgrade the Viking's missile attacks to deal area damage.</ul>	能在星際港的科技實驗室研發下列升級：<n/><ul indent="2" text="•"><li/>女妖轟炸機可發射多枚飛彈攻擊一直線上的敵人。<li/>維京戰機的飛彈可造成範圍傷害。</ul>
Stim pack life cost reduced by 50%	戰鬥藥劑消耗的生命值降低50%
Powerful warship. Can use Yamato Cannon and Tactical Jump. Built at the Starport.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>	威力強大的戰艦。可以使用大和砲和戰術躍傳。由星際港所製造。<n/><n/><c val="ffff8a">可攻擊地面及空中單位。</c>
Banshee attacks gain splash damage and reduced cloak cost	女妖轟炸機的攻擊帶有擴散效果，並且降低匿蹤消耗
Stetmann can deploy Stetellites, which grant passive Stetzone enhancements. Structures that unlock units are limited to 1. Mecha Larvae spawn at an increased rate. Stetmann's Mecha units utilize Egonergy, which does not regenerate on its own.	斯特曼可以部署斯特衛星，產生有被動效果的斯特領域。可解鎖單位的建築物僅限1座。機甲幼蟲生成的速率提高。斯特曼的機甲單位使用的是伊崗超能量，無法自行回復。
Unlocks the J.U.I.C.E. Configuration, which regenerates Egonergy for Stetmann's units and energy for allied units.	解鎖充能設定，它可以讓斯特曼的單位恢復伊崗超能量，以及讓盟友的單位恢復能量。
Gary gains the ability to overcharge a Stetellite, allowing it to actively grant bonuses to nearby units depending on the current Stetellite configuration.	蓋瑞獲得超載斯特衛星的能力，讓它可以依照當前斯特衛星的設定，為附近的單位提供加成效果。
Unlocks the following upgrades at the Mecha Spawning Pool and the Mecha Baneling Nest:<n/><ul indent="2" text="•"><li/>Mecha Zerglings gain 100% increased attack speed at the cost of Egonergy.<li/>Mecha Banelings gain increased attack damage for each point of Egonergy remaining when they explode.<li/>Improves the Mecha Baneling's Egonergy Impact Barrier to absorb more damage per point of Egonergy.	解鎖下列機甲孵化池和機甲毒爆蟲巢升級：<n/><ul indent="2" text="•"><li/>機甲異化蟲消耗伊崗超能量，使攻擊速度提高100%。<li/>機甲毒爆蟲爆炸時，殘存的每點伊崗超能量會提高傷害。<li/>加強機甲毒爆蟲的伊崗超能量衝擊護盾，每點伊崗超能量可以吸收更多傷害。
Gary gains the ability to transform into Super Gary. Super Gary can hold twice the number of ability charges. He can also temporarily generate his own Stetzone and gains attack speed and health regeneration when he collects Mecha Remnants.	蓋瑞獲得成為超級蓋瑞的能力。超級蓋瑞技能使用次數是蓋瑞的兩倍。它收集到機甲碎塊時，會暫時產生自己的斯特領域，獲得攻擊速度和生命值恢復加成。
Area damage ambusher. Must burrow to attack. Can use Tunnel of TERROR Algorithm and Focused Strike Algorithm. Morphed from Mecha Hydralisks.<n/><n/><c val="ffff8a">Can attack ground units.</c>	範圍傷害伏擊單位。必須先遁地才能攻擊。可以使用恐隧演算法和集火演算法。從機甲刺蛇變形而來。<n/><n/><c val="ffff8a">可攻擊地面單位。</c>
Upgrading to Mecha Lair and Mecha Hive reduces the cooldown and increases the maximum charges of Deploy Stetellite.	升級機甲蟲穴和機甲蟲巢，能降低部署斯特衛星的冷卻時間，並提高其使用次數上限。
Unlocks the following upgrades at the Mecha Hydralisk Den and the Mecha Lurker Den:<n/><ul indent="2" text="•"><li/>Increases the Mecha Hydralisk's anti-air range by 3.<li/>Unlock the Mecha Lurker's Focused Strike Algorithm ability, which allows it to concentrate fire in a small area around a target enemy unit for 10 seconds.	能在機甲刺蛇獸穴和機甲遁地獸穴研發下列升級：<n/><ul indent="2" text="•"><li/>機甲刺蛇的對空距離提高3格。<li/>解鎖機甲遁地獸的集火演算法能力，可以將火力集中在目標敵方單位周圍的小範圍內，持續10秒。
Allows Gary and Stetellites to pick up the Remnants of destroyed Mecha units. When enough Remnants are picked up, Mecha units will be rebuilt at no cost at their respective unlock structures.	讓蓋瑞和斯特衛星可以收集機甲單位碎塊。收集到足夠的碎塊以後，就會在其各自已解除鎖定的建築中重新製造機甲單位，且不需花費資源。
Unlocks the following upgrades at the Mecha Infestation Pit:<n/><ul indent="2" text="•"><li/>Unlock the Mecha Infestor's UMI-C Charging Protocol ability, which allows it to restore health, Egonergy, and energy over time to a target friendly unit. The unit's ability cooldown rate is also increased.<li/>Allow the Mecha Infestor's Roaches Away! and Deconstructive Roach-nite abilities to spawn an additional Mecha Ravager.	能在機甲感染巢研發下列升級：<n/><ul indent="2" text="•"><li/>解鎖機甲感染蟲的UMI-C充能協定能力，它可以使目標友方單位隨時間恢復生命值、伊崗超能量，和能量，且該單位的技能冷卻速度同時提高。<li/>讓機甲感染蟲的蟑螂出動！和蟑螂重組技能可以生成一隻額外的劫毀蟲。
Unlocks the following upgrades at the Mecha Ultralisk Cavern:<n/><ul indent="2" text="•"><li/>Unlock the Mecha Ultralisk's ability to absorb 25 life from nearby friendly or enemy mechanical units, healing for that amount.<li/>Reduces the damage taken by Mecha Ultralisks by 25%.	能在機甲雷獸洞穴研發下列升級：<n/><ul indent="2" text="•"><li/>解鎖機甲雷獸的技能，讓它可以從附近的友方或敵方機械單位身上吸取25點生命值，並對自己造成相同的治療量。<li/>機甲雷獸所受到的傷害降低25%。
Mecha Zerglings and Mecha Banelings drop double the amount of Mecha Zergling Remnant.	機甲異化蟲和機甲毒爆蟲會掉落雙倍的機甲異化蟲碎塊。
Unlocks the following upgrades at the Mecha Spire and the Mecha Greater Spire:<n/><ul indent="2" text="•"><li/>Unlock the Mecha Corruptor's Terraclean Solvent ability, which allows it to deal damage over time to an enemy ground unit.<li/>Unlock the Mecha Battlecarrier Lord's ability to build and deploy Mecha Locusceptors, which can attack enemy ground units.<li/>Unlock the Mecha Battlecarrier Lord's Stetmato Cannon ability, which allows it to fire a blast of energy, dealing 300 damage to an enemy unit.	能在機甲螺旋塔和機甲巨型螺旋塔研發下列升級：<n/><ul indent="2" text="•"><li/>解鎖機甲腐化飛蟲的地表清潔溶劑技能，其可以對敵方地面單位造成持續性傷害。<li/>解鎖機甲戰艦蟲建造與部署機甲蝗蟲機體的能力，機甲蝗蟲可以攻擊敵方地面單位。<li/>解鎖機甲戰艦蟲的斯特曼砲技能，可以發射一股能量，對一名敵方單位造成300點傷害。
Allows Stetmann's structures to research two upgrades simultaneously.	讓斯特曼的建築可以同時研發兩項升級。
Unlocks the ability to call down the Aleksander at the target location. The Aleksander is controllable and will fight for 60 seconds. Call down the Aleksander from the top panel.	可呼叫亞歷克桑德號前往目標地點。你可以控制亞歷克桑德號戰鬥，持續60秒。可於頂端面板呼叫亞歷克桑德號。
Stukov gains control of enemy units who are under attack from the Aleksander’s tentacles.	斯杜科夫可控制被亞歷克桑德號觸手攻擊的單位。
Unlocks the ability to spawn an Apocalisk at the target location. The Apocalisk is controllable and will fight for 60 seconds. Spawn the Apocalisk from the top panel.	在目標地點生成一隻雷神獸。你可以控制雷神獸戰鬥，持續60秒。可於頂端面板生成雷神獸。
Increases the area damage dealt by the Apocalisk’s attacks and its initial spawn by 100%.	雷神獸於初始孵化的範圍攻擊傷害提高100%。
Stukov begins with an Infested Colonist Compound that automatically generates Infested infantry units every 60 seconds for no cost.</n></n>Stukov’s primary structure generates creep at an accelerated rate and unlimited range.	斯杜科夫一開始即擁有一座受感染的殖民基地，每60秒會自動產生受感染的步兵單位，不需花費資源。</n></n>斯杜科夫的主要建築會加速產生蟲苔，無擴張範圍限制。
Increases the number of units that Infested Bunkers can hold by 2, and increases the spawning rate of Infested Troopers by 20%.	受感染的碉堡內所容納的單位數量增加2名，並提升受感染的士兵的孵化速度20%。
Unlocks the following upgrades at the Infested Engineering Bay:<n/><ul indent="2" text="•"><li/>Increase the armor of Infested Bunkers.<li/>Increase the life regeneration rate of Infested Bunkers while they are rooted.</ul>	能在受感染的電機工程所研發下列升級：<n/><ul indent="2" text="•"><li/>提高受感染的碉堡裝甲值。<li/>當受感染的碉堡扎根時，提高碉堡生命值恢復速度。</ul>
Unlocks an additional level of Infestation at the Infested Colonist Compound.</n></n>Also unlocks an upgrade at the Infested Command Center to increase the number of Broodlings spawned by Infest Structure by 50%.	在受感染的殖民基地解鎖下一個感染等級。</n></n>同時在受感染的指揮中心解鎖升級，讓感染建築所孵化的寄生蟲數量提高50%。
Infest Structure can now store 2 additional charges and can target enemy structures, disabling them in addition to spawning Broodlings.	現在可以額外累積2次感染建築的使用次數，並且能夠以敵方建築為目標，使其癱瘓並且孵化寄生蟲。
Spawn Infested Marine can now store 10 additional charges and Infested Marines now spawn 100% faster.	孵化受感染的陸戰隊的使用次數上限提高10次，孵化速度提高100%。
Unlocks an upgrade at the Infested Colonist Compound that spawns Broodlings when Infested Civilians die.</n></n>Unlocks an upgrade at the Infested Barracks Tech Lab that enables Infested Marines and Infested Troopers to deal additional damage over time to units they attack.	在受感染的殖民基地中解鎖升級，讓受感染的平民在死亡時孵化寄生蟲。</n></n>解鎖受感染的兵營科技實驗室中的升級，讓受感染的陸戰隊和受感染的士兵可對敵人額外造成持續性傷害。
Unlocks the following upgrades at the Infested Factory Tech Lab:<n/><ul indent="2" text="•"><li/>Increase the damage that Infested Siege Tanks deal to armored targets.<li/>Enable Infested Diamondbacks to leave behind a trail of slime while moving that deals damage and slows enemy ground units.	能在受感染的軍工廠科技實驗室研發下列升級：<n/><ul indent="2" text="•"><li/>提高受感染的攻城坦克對重甲單位的傷害。<li/>受感染的響尾蛇移動時會留下一道黏液，對敵方地面單位造成傷害，並使其移動速度降低。
Unlocks the following upgrades at the Infested Starport Tech Lab:<n/><ul indent="2" text="•"><li/>Increase the life of Infested Banshees.<li/>Reduce the damage taken by Infested Liberators while they are attacking.	能在受感染的星際港科技實驗室研發下列升級：<n/><ul indent="2" text="•"><li/>提高受感染的女妖轟炸機生命值。<li/>當受感染的解放者攻擊時，降低其所受到的傷害。
Still Evolving...	還在進化中…
Unlocks the following upgrade at the Infested Starport Tech Lab:<n/><ul indent="2" text="•"><li/>Increase the Brood Queen's energy regeneration rate by 100% and allow it to spawn with full energy.<li/>Enable Brood Queens to immobilize and reveal enemy units while dealing damage to them over time.	能在受感染的星際港科技實驗室研發下列升級：<n/><ul indent="2" text="•"><li/>寄生后蟲的初始能量值全滿，並且能量恢復速度提高100%。<li/>寄生后蟲能癱瘓敵方單位，造成持續性傷害並且使其現形。
